timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780597403019101,0,0.0237349,0.00794605,-0.00369263,0.250242,0.249928,-5,-0.226507,-0.241982,4.99631,5.00729,0.0230448,0.0185563,0.00333525,2.49687,2.48748,0
1780597403043101,0.024,0.0237765,0.00788132,-0.00338745,0.30031,0.299768,-5,-0.276533,-0.291886,4.99661,5.01276,0.022783,0.0201971,0.00393939,2.49549,2.48196,0
1780597403059101,0.04,0.0238365,0.00786612,-0.00320435,0.350194,0.349334,-5,-0.326357,-0.341467,4.9968,5.01907,0.0233843,0.0198104,0.00322891,2.49386,2.47547,0
1780597403083101,0.064,0.0239694,0.00787571,-0.00292969,0.400116,0.398833,-5,-0.376147,-0.390957,4.99707,5.02643,0.0233079,0.0199551,0.00335064,2.49198,2.46798,0
1780597403099101,0.08,0.0240769,0.00791793,-0.00274658,0.44985,0.448026,-5,-0.425773,-0.440108,4.99725,5.03463,0.023577,0.0209866,0.00356598,2.48986,2.45953,0
1780597403123101,0.104,0.0242593,0.00804428,-0.00247192,0.499622,0.497121,-5,-0.475363,-0.489077,4.99753,5.04385,0.0227696,0.022097,0.00527597,2.48749,2.45008,0
1780597403139101,0.12,0.0244097,0.00816464,-0.0022583,0.549266,0.545942,-5,-0.524856,-0.537777,4.99774,5.05392,0.0234078,0.0229772,0.00667766,2.48487,2.43966,0
1780597403163101,0.144,0.0246748,0.00838037,-0.00192261,0.599048,0.594733,-5,-0.574373,-0.586352,4.99808,5.06503,0.0226586,0.0225956,0.00633184,2.48199,2.42823,0
1780597403179101,0.16,0.0248542,0.00853476,-0.00170898,0.648665,0.643184,-5,-0.623811,-0.634649,4.99829,5.07689,0.0220246,0.020913,0.0063182,2.47887,2.41585,0
1780597403203101,0.184,0.0251723,0.00875554,-0.00143433,0.698248,0.691406,-5,-0.673076,-0.68265,4.99857,5.08967,0.0234377,0.0202938,0.00683856,2.4755,2.40249,0
1780597403219101,0.2,0.0254158,0.00892428,-0.00125122,0.747561,0.739158,-5,-0.722145,-0.730234,4.99875,5.10316,0.024023,0.0201167,0.00707802,2.4719,2.38823,0
1780597403243101,0.224,0.025516,0.00890468,-0.00112915,0.796967,0.786778,-5,-0.771451,-0.777873,4.99887,5.11751,0.0249034,0.0204675,0.00507244,2.46804,2.37297,0
