timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780597597187681,0,0.0310786,0.0133391,-0.00582886,0.125281,0.125242,-5,-0.0942027,-0.111903,4.99417,4.99631,0.0373506,0.0328851,-0.00209167,1.24961,1.24843,0
1780597597211681,0.024,0.0304699,0.0126917,-0.00604248,0.150432,0.150364,-5,-0.119962,-0.137672,4.99396,4.99729,0.0380311,0.0331654,-0.00328299,1.24943,1.24774,0
1780597597227681,0.04,0.0301435,0.0123301,-0.00619507,0.175372,0.175265,-5,-0.145229,-0.162934,4.9938,4.99857,0.038585,0.0325779,-0.00256959,1.24923,1.24692,0
1780597597251681,0.064,0.0297596,0.0118705,-0.00640869,0.200325,0.200164,-5,-0.170565,-0.188294,4.99359,5.00005,0.0383365,0.0322982,-0.00278876,1.249,1.24599,0
1780597597267681,0.08,0.0295615,0.0115987,-0.00653076,0.225232,0.225004,-5,-0.195671,-0.213405,4.99347,5.00186,0.0377821,0.0299204,-0.00237325,1.24873,1.24493,0
1780597597291681,0.104,0.0293423,0.0112465,-0.0067749,0.250211,0.249898,-5,-0.220869,-0.238651,4.99323,5.0038,0.038185,0.0312351,-0.00418414,1.24843,1.24374,0
1780597597307681,0.12,0.0292514,0.0110916,-0.00692749,0.275196,0.274779,-5,-0.245944,-0.263687,4.99307,5.00608,0.037484,0.032161,-0.00322811,1.24811,1.24243,0
1780597597331681,0.144,0.0291522,0.010929,-0.00708008,0.300192,0.29965,-5,-0.271039,-0.288721,4.99292,5.0086,0.0350918,0.0314178,-0.00250778,1.24775,1.24099,0
1780597597347681,0.16,0.0291115,0.0108478,-0.00720215,0.325046,0.324358,-5,-0.295934,-0.31351,4.9928,5.01138,0.0351302,0.0310337,-0.00266476,1.24736,1.23943,0
1780597597363681,0.176,0.0291103,0.0108092,-0.0072937,0.349979,0.34912,-5,-0.320868,-0.338311,4.99271,5.01443,0.0347038,0.0311127,-0.00293122,1.24693,1.23775,0
1780597597387681,0.2,0.0291735,0.0108044,-0.00744629,0.374936,0.37388,-5,-0.345763,-0.363076,4.99255,5.01767,0.0349481,0.0313875,-0.00276204,1.24648,1.23594,0
1780597597411743,0.224062,0.029301,0.0108568,-0.00759888,0.399743,0.398464,-5,-0.370442,-0.387607,4.9924,5.02111,0.0341829,0.0306618,-0.00281902,1.246,1.23402,0
1780597597427743,0.240062,0.0294085,0.0109221,-0.00769043,0.424813,0.423277,-5,-0.395405,-0.412355,4.99231,5.02489,0.033079,0.0313286,-0.00202182,1.24548,1.23195,0
1780597597451743,0.264062,0.0296217,0.0110672,-0.0078125,0.449858,0.448034,-5,-0.420236,-0.436966,4.99219,5.02886,0.0345693,0.0296889,-0.00179544,1.24493,1.22976,0
1780597597467743,0.280062,0.0298153,0.0111738,-0.00787354,0.474504,0.472362,-5,-0.444689,-0.461188,4.99213,5.03307,0.0350584,0.0298902,-0.00147431,1.24436,1.22748,0
1780597597491743,0.304062,0.0301563,0.0113901,-0.00799561,0.499502,0.497003,-5,-0.469346,-0.485613,4.992,5.03748,0.0346706,0.0305142,-0.00159729,1.24375,1.22505,0
1780597597507743,0.320062,0.0304101,0.0115642,-0.00805664,0.524426,0.521534,-5,-0.494016,-0.50997,4.99194,5.04218,0.0339826,0.0301154,-0.000904763,1.24311,1.2225,0
1780597597531743,0.344062,0.0308157,0.0118583,-0.00814819,0.549317,0.545992,-5,-0.518501,-0.534133,4.99185,5.04705,0.033651,0.0297087,-0.00187751,1.24243,1.21983,0
1780597597547743,0.360062,0.0311171,0.0120764,-0.00823975,0.574127,0.57033,-5,-0.54301,-0.558253,4.99176,5.05215,0.0335917,0.0299232,-0.00289009,1.24173,1.21704,0
1780597597571743,0.384062,0.0316022,0.0124631,-0.00836182,0.599039,0.594725,-5,-0.567437,-0.582262,4.99164,5.05742,0.033521,0.0300131,-0.00255399,1.241,1.21412,0
1780597597587743,0.400062,0.0319371,0.0127382,-0.00848389,0.623718,0.618846,-5,-0.591781,-0.606108,4.99152,5.06289,0.0324754,0.0298749,-0.00335864,1.24024,1.2111,0
1780597597611743,0.424062,0.03089,0.0121801,-0.00857544,0.648456,0.642979,-5,-0.617566,-0.630799,4.99142,5.06889,0.0315105,0.0291368,-0.00415319,1.23944,1.20795,0
1780597597627743,0.440062,0.0302641,0.0118757,-0.00863647,0.673309,0.667176,-5,-0.643045,-0.6553,4.99136,5.0751,0.0307188,0.0303077,-0.00420584,1.23861,1.20467,0
1780597597651743,0.464062,0.0294205,0.0115269,-0.00872803,0.698038,0.691202,-5,-0.668617,-0.679675,4.99127,5.08152,0.0300704,0.0314902,-0.00481418,1.23776,1.20127,0
1780597597667743,0.480062,0.0289226,0.0113374,-0.00881958,0.722871,0.715276,-5,-0.693948,-0.703939,4.99118,5.08812,0.0294863,0.029482,-0.00574559,1.23687,1.19775,0
1780597597683743,0.496062,0.028466,0.0111791,-0.00891113,0.747407,0.739009,-5,-0.718941,-0.72783,4.99109,5.09486,0.0284084,0.0302115,-0.00643605,1.23596,1.19414,0
1780597597707743,0.520062,0.02786,0.0110044,-0.00906372,0.772131,0.762869,-5,-0.744271,-0.751864,4.99094,5.10183,0.027519,0.0293462,-0.00496806,1.23501,1.19038,0
1780597597731743,0.544062,0.0273402,0.0109061,-0.00915527,0.796992,0.786802,-5,-0.769652,-0.775896,4.99084,5.1091,0.0260492,0.0300469,-0.00449123,1.23402,1.18648,0
1780597597747743,0.560062,0.0270318,0.0108855,-0.00918579,0.821702,0.810529,-5,-0.79467,-0.799644,4.99081,5.11656,0.02555,0.0307863,-0.00404096,1.233,1.18248,0
1780597597771743,0.584062,0.026615,0.0109082,-0.00927734,0.846339,0.834126,-5,-0.819724,-0.823218,4.99072,5.12415,0.0236941,0.0302331,-0.00475495,1.23196,1.17837,0
