t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg,pose_source
0.018500,1.009949,0.979885,0.104519,1.009907,0.979877,-0.895481,-0.000043,-0.000008,-1.000000,1.000000,0.000043,0.002478,gazebo_link_pair
0.018520,1.009949,0.979885,0.104519,1.009907,0.979877,-0.895481,-0.000042,-0.000008,-1.000000,1.000000,0.000043,0.002458,gazebo_link_pair
0.018530,1.009949,0.979885,0.104519,1.009907,0.979877,-0.895481,-0.000042,-0.000008,-1.000000,1.000000,0.000043,0.002438,gazebo_link_pair
0.018538,1.009949,0.979885,0.104519,1.009908,0.979877,-0.895481,-0.000042,-0.000008,-1.000000,1.000000,0.000042,0.002431,gazebo_link_pair
0.021800,1.009949,0.979885,0.104519,1.009908,0.979877,-0.895481,-0.000041,-0.000008,-1.000000,1.000000,0.000042,0.002410,gazebo_link_pair
0.031827,1.009949,0.979885,0.104519,1.009908,0.979877,-0.895481,-0.000041,-0.000008,-1.000000,1.000000,0.000042,0.002389,gazebo_link_pair
0.031843,1.009949,0.979885,0.104519,1.009909,0.979877,-0.895481,-0.000041,-0.000008,-1.000000,1.000000,0.000041,0.002367,gazebo_link_pair
0.041932,1.009949,0.979885,0.104519,1.009909,0.979877,-0.895481,-0.000040,-0.000008,-1.000000,1.000000,0.000041,0.002345,gazebo_link_pair
0.041957,1.009949,0.979885,0.104519,1.009909,0.979877,-0.895481,-0.000040,-0.000008,-1.000000,1.000000,0.000041,0.002323,gazebo_link_pair
0.041970,1.009949,0.979885,0.104519,1.009910,0.979877,-0.895481,-0.000039,-0.000008,-1.000000,1.000000,0.000040,0.002301,gazebo_link_pair
0.051948,1.009949,0.979885,0.104519,1.009910,0.979877,-0.895481,-0.000039,-0.000008,-1.000000,1.000000,0.000040,0.002278,gazebo_link_pair
0.052002,1.009949,0.979885,0.104519,1.009910,0.979877,-0.895481,-0.000039,-0.000008,-1.000000,1.000000,0.000039,0.002255,gazebo_link_pair
0.062070,1.009949,0.979885,0.104519,1.009911,0.979877,-0.895481,-0.000038,-0.000008,-1.000000,1.000000,0.000039,0.002231,gazebo_link_pair
0.062145,1.009949,0.979885,0.104519,1.009911,0.979877,-0.895481,-0.000038,-0.000007,-1.000000,1.000000,0.000039,0.002207,gazebo_link_pair
0.062188,1.009949,0.979885,0.104519,1.009912,0.979877,-0.895481,-0.000037,-0.000007,-1.000000,1.000000,0.000038,0.002183,gazebo_link_pair
0.072066,1.009949,0.979885,0.104519,1.009912,0.979877,-0.895481,-0.000037,-0.000007,-1.000000,1.000000,0.000038,0.002158,gazebo_link_pair
0.072179,1.009949,0.979885,0.104519,1.009913,0.979877,-0.895481,-0.000037,-0.000007,-1.000000,1.000000,0.000037,0.002133,gazebo_link_pair
0.082017,1.009949,0.979885,0.104519,1.009913,0.979878,-0.895481,-0.000036,-0.000007,-1.000000,1.000000,0.000037,0.002108,gazebo_link_pair
0.082054,1.009949,0.979885,0.104519,1.009913,0.979878,-0.895481,-0.000036,-0.000007,-1.000000,1.000000,0.000036,0.002082,gazebo_link_pair
0.082074,1.009949,0.979885,0.104519,1.009914,0.979878,-0.895481,-0.000035,-0.000007,-1.000000,1.000000,0.000036,0.002069,gazebo_link_pair
0.092163,1.009949,0.979885,0.104519,1.009914,0.979878,-0.895481,-0.000035,-0.000007,-1.000000,1.000000,0.000036,0.002043,gazebo_link_pair
0.092248,1.009949,0.979885,0.104519,1.009915,0.979878,-0.895481,-0.000034,-0.000007,-1.000000,1.000000,0.000035,0.002016,gazebo_link_pair
0.102147,1.009949,0.979885,0.104519,1.009915,0.979878,-0.895481,-0.000034,-0.000007,-1.000000,1.000000,0.000035,0.001990,gazebo_link_pair
0.102218,1.009949,0.979885,0.104519,1.009916,0.979878,-0.895481,-0.000034,-0.000007,-1.000000,1.000000,0.000034,0.001962,gazebo_link_pair
0.102259,1.009949,0.979885,0.104519,1.009916,0.979878,-0.895481,-0.000033,-0.000007,-1.000000,1.000000,0.000034,0.001935,gazebo_link_pair
0.111941,1.009949,0.979885,0.104519,1.009917,0.979878,-0.895481,-0.000033,-0.000007,-1.000000,1.000000,0.000033,0.001907,gazebo_link_pair
0.112010,1.009949,0.979885,0.104519,1.009917,0.979878,-0.895481,-0.000032,-0.000007,-1.000000,1.000000,0.000033,0.001879,gazebo_link_pair
0.121882,1.009949,0.979885,0.104519,1.009917,0.979878,-0.895481,-0.000032,-0.000007,-1.000000,1.000000,0.000032,0.001851,gazebo_link_pair
0.121953,1.009949,0.979885,0.104519,1.009918,0.979878,-0.895481,-0.000031,-0.000007,-1.000000,1.000000,0.000032,0.001822,gazebo_link_pair
0.121997,1.009949,0.979885,0.104519,1.009918,0.979878,-0.895481,-0.000031,-0.000007,-1.000000,1.000000,0.000031,0.001793,gazebo_link_pair
0.132085,1.009949,0.979885,0.104519,1.009919,0.979878,-0.895481,-0.000030,-0.000006,-1.000000,1.000000,0.000031,0.001764,gazebo_link_pair
0.132167,1.009949,0.979885,0.104519,1.009919,0.979878,-0.895481,-0.000030,-0.000006,-1.000000,1.000000,0.000030,0.001734,gazebo_link_pair
0.141875,1.009949,0.979885,0.104519,1.009920,0.979878,-0.895481,-0.000029,-0.000006,-1.000000,1.000000,0.000030,0.001705,gazebo_link_pair
0.141946,1.009949,0.979885,0.104519,1.009920,0.979879,-0.895481,-0.000029,-0.000006,-1.000000,1.000000,0.000029,0.001675,gazebo_link_pair
0.141988,1.009949,0.979885,0.104519,1.009921,0.979879,-0.895481,-0.000028,-0.000006,-1.000000,1.000000,0.000029,0.001644,gazebo_link_pair
0.152006,1.009949,0.979885,0.104519,1.009921,0.979879,-0.895481,-0.000028,-0.000006,-1.000000,1.000000,0.000028,0.001627,gazebo_link_pair
0.152102,1.009949,0.979885,0.104519,1.009922,0.979879,-0.895481,-0.000027,-0.000006,-1.000000,1.000000,0.000028,0.001596,gazebo_link_pair
0.161966,1.009949,0.979885,0.104519,1.009923,0.979879,-0.895481,-0.000027,-0.000006,-1.000000,1.000000,0.000027,0.001565,gazebo_link_pair
0.162037,1.009949,0.979885,0.104519,1.009923,0.979879,-0.895481,-0.000026,-0.000006,-1.000000,1.000000,0.000027,0.001534,gazebo_link_pair
0.162079,1.009949,0.979885,0.104519,1.009924,0.979879,-0.895481,-0.000026,-0.000006,-1.000000,1.000000,0.000026,0.001503,gazebo_link_pair
0.172263,1.009949,0.979885,0.104519,1.009924,0.979879,-0.895481,-0.000025,-0.000006,-1.000000,1.000000,0.000026,0.001471,gazebo_link_pair
0.172376,1.009949,0.979885,0.104519,1.009925,0.979879,-0.895481,-0.000024,-0.000006,-1.000000,1.000000,0.000025,0.001439,gazebo_link_pair
0.172457,1.009949,0.979885,0.104519,1.009925,0.979879,-0.895481,-0.000024,-0.000006,-1.000000,1.000000,0.000025,0.001407,gazebo_link_pair
0.182224,1.009949,0.979885,0.104519,1.009926,0.979879,-0.895481,-0.000023,-0.000006,-1.000000,1.000000,0.000024,0.001375,gazebo_link_pair
0.182335,1.009949,0.979885,0.104519,1.009926,0.979879,-0.895481,-0.000023,-0.000006,-1.000000,1.000000,0.000023,0.001342,gazebo_link_pair
0.192091,1.009949,0.979885,0.104519,1.009927,0.979879,-0.895481,-0.000022,-0.000005,-1.000000,1.000000,0.000023,0.001309,gazebo_link_pair
0.192165,1.009949,0.979885,0.104519,1.009927,0.979880,-0.895481,-0.000022,-0.000005,-1.000000,1.000000,0.000022,0.001276,gazebo_link_pair
