timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1781247043439894,0,0.0269054,-0.0133474,0.00756836,0,0,-0.0023273,0.0269054,-0.0133474,0.00989566,0.0316225,0.0257927,-0.0271467,-0.000801131,0,0,-0.0463194
1781247043463894,0.024,0.0273517,-0.0137748,0.00750732,0,0,-0.00334367,0.0273517,-0.0137748,0.010851,0.0324901,0.024927,-0.0273576,-0.00175896,0,0,-0.0554261
1781247043479894,0.04,0.0276715,-0.0140882,0.00747681,0,0,-0.0045427,0.0276715,-0.0140882,0.0120195,0.0332965,0.0260824,-0.0291103,-0.00311441,0,0,-0.0644944
1781247043503894,0.064,0.0281689,-0.0145802,0.00738525,0,0,-0.00592432,0.0281689,-0.0145802,0.0133096,0.0343979,0.0249452,-0.0296382,-0.00253506,0,0,-0.0735265
1781247043519894,0.08,0.0277834,-0.0141382,0.00732422,0,0,-0.00748382,0.0277834,-0.0141382,0.014808,0.0345121,0.0242355,-0.0309722,-0.00233642,0,0,-0.0824981
1781247043543894,0.104,0.027263,-0.0135708,0.00720215,0,0,-0.00921929,0.027263,-0.0135708,0.0164214,0.0345991,0.0227276,-0.030688,-0.00232472,0,0,-0.0914089
1781247043559894,0.12,0.0269452,-0.0132301,0.00714111,0,0,-0.0111384,0.0269452,-0.0132301,0.0182795,0.0351457,0.0219867,-0.0307459,-0.00192249,0,0,-0.100301
1781247043583894,0.144,0.0265528,-0.0127737,0.00701904,0,0,-0.013232,0.0265528,-0.0127737,0.0202511,0.0357537,0.0227046,-0.0293938,-0.00176223,0,0,-0.109133
1781247043599894,0.16,0.0263408,-0.0124956,0.00698853,0,0,-0.0155048,0.0263408,-0.0124956,0.0224934,0.0368229,0.0229964,-0.0295266,-0.000774267,0,0,-0.11793
1781247043623894,0.184,0.0260769,-0.012138,0.00689697,0,0,-0.0179474,0.0260769,-0.012138,0.0248443,0.0380076,0.0220946,-0.029767,-0.00117873,0,0,-0.12666
1781247043639894,0.2,0.0259317,-0.0119406,0.00686646,0,0,-0.0205683,0.0259317,-0.0119406,0.0274348,0.0395942,0.0218066,-0.0292559,-0.000761554,0,0,-0.135358
1781247043663894,0.224,0.0257629,-0.0116766,0.00680542,0,0,-0.0233594,0.0257629,-0.0116766,0.0301648,0.041352,0.0219996,-0.0284924,-0.00049826,0,0,-0.143998
1781247043679894,0.24,0.0256991,-0.0115253,0.00680542,0,0,-0.0263237,0.0256991,-0.0115253,0.0331292,0.0434835,0.0227584,-0.0288818,-0.000131938,0,0,-0.152595
1781247043703894,0.264,0.025627,-0.0113534,0.0067749,0,0,-0.0294617,0.025627,-0.0113534,0.0362366,0.0458119,0.0208416,-0.0291908,-5.58675e-05,0,0,-0.161151
1781247043719894,0.28,0.0255952,-0.0112675,0.0067749,0,0,-0.0327707,0.0255952,-0.0112675,0.0395456,0.0484347,0.0201352,-0.0288804,-0.000371492,0,0,-0.169661
1781247043743894,0.304,0.0255875,-0.0111788,0.00665283,0,0,-0.0362474,0.0255875,-0.0111788,0.0429002,0.0511871,0.0212077,-0.0290684,-0.00115938,0,0,-0.178119
1781247043759894,0.32,0.0256077,-0.0111424,0.00656128,0,0,-0.0398943,0.0256077,-0.0111424,0.0464556,0.0542036,0.0206627,-0.0288991,-0.00229641,0,0,-0.186534
1781247043775894,0.336,0.0256487,-0.0111273,0.00643921,0,0,-0.0437084,0.0256487,-0.0111273,0.0501476,0.0574148,0.0211778,-0.0295181,-0.00314279,0,0,-0.1949
1781247043799894,0.36,0.0257399,-0.0111585,0.00631714,0,0,-0.0476862,0.0257399,-0.0111585,0.0540034,0.0608557,0.0199412,-0.0293697,-0.00373644,0,0,-0.203213
1781247043815894,0.376,0.0258123,-0.0111821,0.00619507,0,0,-0.051835,0.0258123,-0.0111821,0.0580301,0.0644888,0.0199312,-0.0282884,-0.00448849,0,0,-0.21149
1781247043839894,0.4,0.0259423,-0.0112349,0.00604248,0,0,-0.0561379,0.0259423,-0.0112349,0.0621804,0.0683054,0.0187514,-0.0283957,-0.00363594,0,0,-0.2197
1781247043863894,0.424,0.0261068,-0.0113382,0.00592041,0,0,-0.0606182,0.0261068,-0.0113382,0.0665386,0.0723706,0.0196597,-0.0289877,-0.00366588,0,0,-0.227887
