timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780917976581967,0,0.0219966,-0.00560609,0.0255127,0,0,-0.00149843,0.0219966,-0.00560609,0.0270111,0.0352829,0.0238094,-0.0176674,-5.28369e-05,0,0,-0.0372292
1780917976597967,0.016,0.0216248,-0.00578994,0.0253906,0,0,-0.00233573,0.0216248,-0.00578994,0.0277264,0.0356358,0.0240597,-0.0187654,0.000192318,0,0,-0.0464026
1780917976621967,0.04,0.0211183,-0.0060908,0.025238,0,0,-0.00335088,0.0211183,-0.0060908,0.0285889,0.0360611,0.0220121,-0.0189258,-0.000519748,0,0,-0.0554852
1780917976637967,0.056,0.0208133,-0.00627456,0.025116,0,0,-0.00455425,0.0208133,-0.00627456,0.0296702,0.0367816,0.0221267,-0.0181055,-0.0016207,0,0,-0.0645754
1780917976653967,0.072,0.0205467,-0.00645719,0.0249939,0,0,-0.00592571,0.0205467,-0.00645719,0.0309196,0.0376814,0.0230771,-0.019065,-0.00263503,0,0,-0.073535
1780917976677967,0.096,0.0202202,-0.00674443,0.0248108,0,0,-0.00748487,0.0202202,-0.00674443,0.0322957,0.0386956,0.0224594,-0.0183687,-0.00247217,0,0,-0.0825038
1780917976701967,0.12,0.0199348,-0.00698568,0.0246277,0,0,-0.0092277,0.0199348,-0.00698568,0.0338554,0.0399047,0.0225109,-0.0160114,-0.00346132,0,0,-0.0914498
1780917976717967,0.136,0.0197825,-0.00713011,0.0244751,0,0,-0.0111427,0.0197825,-0.00713011,0.0356178,0.0413619,0.0211492,-0.0161797,-0.00411468,0,0,-0.100319
1780917976741967,0.16,0.0195844,-0.00736481,0.0242615,0,0,-0.0132373,0.0195844,-0.00736481,0.0374987,0.0429412,0.0205129,-0.0175106,-0.00532427,0,0,-0.109154
1780917976757967,0.176,0.0194769,-0.00752685,0.0240784,0,0,-0.0155071,0.0194769,-0.00752685,0.0395854,0.044755,0.0201835,-0.0174259,-0.00482865,0,0,-0.117939
1780917976781967,0.2,0.0193586,-0.00778011,0.0238953,0,0,-0.0179545,0.0193586,-0.00778011,0.0418497,0.046762,0.0196936,-0.0182137,-0.00320073,0,0,-0.126685
1780917976797967,0.216,0.019308,-0.00795581,0.0237732,0,0,-0.0205752,0.019308,-0.00795581,0.0443484,0.0490191,0.0195363,-0.0183703,-0.0030187,0,0,-0.13538
1780917976813967,0.232,0.01926,-0.00813804,0.0236816,0,0,-0.0233683,0.01926,-0.00813804,0.0470499,0.0514866,0.0189806,-0.0186007,-0.00277204,0,0,-0.144025
1780917976837967,0.256,0.0192261,-0.00840516,0.0235596,0,0,-0.0263334,0.0192261,-0.00840516,0.0498929,0.0541257,0.0195672,-0.0187873,-0.00172465,0,0,-0.152622
1780917976861967,0.28,0.0192719,-0.0086777,0.023468,0,0,-0.0294738,0.0192719,-0.0086777,0.0529418,0.0570048,0.0209379,-0.019351,-0.000497637,0,0,-0.161183
1780917976877967,0.296,0.0193436,-0.00886705,0.023407,0,0,-0.0327787,0.0193436,-0.00886705,0.0561857,0.0600802,0.0214277,-0.0197733,-0.00048958,0,0,-0.169681
1780917976901967,0.32,0.0193035,-0.00911297,0.0233154,0,0,-0.0362563,0.0193035,-0.00911297,0.0595718,0.0632808,0.0210143,-0.0204801,0.000526531,0,0,-0.17814
1780917976917967,0.336,0.0190833,-0.00922013,0.0232544,0,0,-0.0399064,0.0190833,-0.00922013,0.0631608,0.0666218,0.0213882,-0.0207303,7.14722e-05,0,0,-0.186561
1780917976941967,0.36,0.0187955,-0.00941057,0.0231323,0,0,-0.0437308,0.0187955,-0.00941057,0.0668631,0.0700893,0.0200374,-0.0220555,0.000626926,0,0,-0.194948
1780917976958049,0.376082,0.0186438,-0.00955956,0.0230713,0,0,-0.0476958,0.0186438,-0.00955956,0.0707671,0.0738035,0.0201351,-0.0229119,-0.000213546,0,0,-0.203233
1780917976982049,0.400082,0.0184875,-0.009803,0.0229492,0,0,-0.0518439,0.0184875,-0.009803,0.0747931,0.0776652,0.019847,-0.0231598,-0.000528705,0,0,-0.211508
1780917976998049,0.416082,0.0184151,-0.00996862,0.0228882,0,0,-0.0561608,0.0184151,-0.00996862,0.0790489,0.0817755,0.0202682,-0.0227118,-8.2666e-05,0,0,-0.219742
1780917977022049,0.440082,0.0183797,-0.010227,0.0227966,0,0,-0.0606301,0.0183797,-0.010227,0.0834267,0.0860374,0.0212295,-0.0231299,-0.00213309,0,0,-0.227909
1780917977038049,0.456082,0.0184001,-0.0103891,0.0227051,0,0,-0.0652786,0.0184001,-0.0103891,0.0879837,0.0904855,0.0210031,-0.022889,-0.0013997,0,0,-0.236057
1780917977062049,0.480082,0.0184417,-0.0106521,0.022644,0,0,-0.0700787,0.0184417,-0.0106521,0.0927227,0.0951371,0.0195755,-0.0238482,-0.000654249,0,0,-0.244139
1780917977078049,0.496082,0.0184899,-0.010854,0.0226135,0,0,-0.0750484,0.0184899,-0.010854,0.0976619,0.0999877,0.0205763,-0.0252959,0.000590953,0,0,-0.252189
1780917977102049,0.520082,0.0186326,-0.0112008,0.0226135,0,0,-0.0801715,0.0186326,-0.0112008,0.102785,0.105059,0.0206419,-0.0266225,0.00245522,0,0,-0.26018
1780917977118049,0.536082,0.0187481,-0.0114599,0.022644,0,0,-0.0854439,0.0187481,-0.0114599,0.108088,0.110299,0.0209307,-0.027145,0.00217468,0,0,-0.268109
1780917977142049,0.560082,0.0189787,-0.011867,0.0226746,0,0,-0.0908775,0.0189787,-0.011867,0.113552,0.115737,0.0227693,-0.0267078,0.00171764,0,0,-0.275996
1780917977158049,0.576082,0.0191729,-0.0121247,0.0226746,0,0,-0.0964717,0.0191729,-0.0121247,0.119146,0.121287,0.0229499,-0.0260286,0.00104559,0,0,-0.283842
1780917977182049,0.600082,0.0194979,-0.0125304,0.0226746,0,0,-0.102226,0.0194979,-0.0125304,0.1249,0.127032,0.0229266,-0.0265148,0.000514702,0,0,-0.291645
1780917977198049,0.616082,0.0197285,-0.012796,0.022644,0,0,-0.108139,0.0197285,-0.012796,0.130783,0.13288,0.0222293,-0.0257854,0.00110072,0,0,-0.299407
1780917977222049,0.640082,0.0200974,-0.0132075,0.022644,0,0,-0.114208,0.0200974,-0.0132075,0.136852,0.138949,0.0236394,-0.0268999,0.00199869,0,0,-0.307123
1780917977238049,0.656082,0.0203754,-0.0135031,0.022644,0,0,-0.120426,0.0203754,-0.0135031,0.14307,0.145143,0.0222177,-0.0273173,0.001099,0,0,-0.314785
1780917977262049,0.680082,0.0207539,-0.013939,0.0226135,0,0,-0.126788,0.0207539,-0.013939,0.149402,0.151479,0.0222014,-0.0278444,0.000215008,0,0,-0.322391
1780917977278049,0.696082,0.0210345,-0.0142546,0.0226135,0,0,-0.133346,0.0210345,-0.0142546,0.15596,0.158016,0.0228892,-0.0291305,-0.000891929,0,0,-0.330001
1780917977302049,0.720082,0.0214599,-0.0147448,0.022583,0,0,-0.139994,0.0214599,-0.0147448,0.162577,0.164649,0.0216826,-0.0301539,-0.000261048,0,0,-0.337493
1780917977318049,0.736082,0.0211175,-0.0146606,0.0224609,0,0,-0.146808,0.0211175,-0.0146606,0.169269,0.17121,0.0209429,-0.0315531,-7.80206e-05,0,0,-0.344958
1780917977342049,0.760082,0.0206539,-0.0145974,0.0222778,0,0,-0.153788,0.0206539,-0.0145974,0.176066,0.177873,0.0192301,-0.0311349,-3.01212e-05,0,0,-0.352395
1780917977358049,0.776082,0.0203707,-0.0145782,0.0221863,0,0,-0.160901,0.0203707,-0.0145782,0.183087,0.184793,0.019321,-0.0313408,0.00029803,0,0,-0.359769
1780917977382049,0.800082,0.0200289,-0.0145744,0.0220337,0,0,-0.168169,0.0200289,-0.0145744,0.190203,0.191809,0.0198899,-0.0300244,0.000500916,0,0,-0.367104
1780917977398049,0.816082,0.0198403,-0.0145891,0.0219421,0,0,-0.175585,0.0198403,-0.0145891,0.197527,0.199056,0.0200584,-0.0303716,0.00133119,0,0,-0.374394
1780917977422049,0.840082,0.0196019,-0.0146528,0.0218506,0,0,-0.183148,0.0196019,-0.0146528,0.204999,0.206455,0.0191822,-0.0310987,0.00124279,0,0,-0.381639
1780917977438049,0.856082,0.0194807,-0.0147222,0.0217896,0,0,-0.190848,0.0194807,-0.0147222,0.212637,0.214035,0.0186884,-0.0304559,0.00156061,0,0,-0.38883
1780917977462049,0.880082,0.0193456,-0.0148431,0.021759,0,0,-0.198718,0.0193456,-0.0148431,0.220477,0.221821,0.0190143,-0.0299054,0.00237079,0,0,-0.395998
1780917977478049,0.896082,0.0192899,-0.0149412,0.0217285,0,0,-0.20668,0.0192899,-0.0149412,0.228408,0.229708,0.0191247,-0.0306074,0.00218297,0,0,-0.403074
1780917977502049,0.920082,0.019216,-0.015126,0.0217285,0,0,-0.214821,0.019216,-0.015126,0.236549,0.23781,0.0176635,-0.030853,0.00178109,0,0,-0.410136
1780917977518049,0.936082,0.0191824,-0.0152665,0.0216675,0,0,-0.223085,0.0191824,-0.0152665,0.244752,0.245977,0.0172318,-0.0307374,0.00175094,0,0,-0.417137
