timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780918551216963,0,-0.149403,0.0115913,-0.101685,0,0,-0.214497,-0.149403,0.0115913,0.112813,0.18757,-0.0558264,-0.0248379,-0.0348963,0,0,-0.409859
1780918551232963,0.016,-0.149659,0.0118551,-0.101654,0,0,-0.222742,-0.149659,0.0118551,0.121088,0.192875,-0.0559832,-0.0231817,-0.0352121,0,0,-0.41685
1780918551256963,0.04,-0.150073,0.0122214,-0.101654,0,0,-0.231152,-0.150073,0.0122214,0.129498,0.198598,-0.0541788,-0.0228242,-0.0352476,0,0,-0.423816
1780918551280963,0.064,-0.150536,0.0125047,-0.101715,0,0,-0.239695,-0.150536,0.0125047,0.13798,0.204587,-0.0543077,-0.0238357,-0.0359066,0,0,-0.43073
1780918551296963,0.08,-0.150889,0.0126564,-0.101715,0,0,-0.248346,-0.150889,0.0126564,0.146631,0.21078,-0.0550481,-0.023283,-0.0357983,0,0,-0.437574
1780918551320963,0.104,-0.15154,0.0129407,-0.101807,0,0,-0.257172,-0.15154,0.0129407,0.155365,0.217417,-0.0600331,-0.0119695,-0.0371756,0,0,-0.444401
1780918551336963,0.12,-0.152086,0.0132855,-0.101929,0,0,-0.266115,-0.152086,0.0132855,0.164186,0.224196,-0.0643329,-0.00180588,-0.0433963,0,0,-0.451167
1780918551360963,0.144,-0.15309,0.014034,-0.102325,0,0,-0.275191,-0.15309,0.014034,0.172866,0.231335,-0.0709513,0.011083,-0.0526544,0,0,-0.457885
1780918551376963,0.16,-0.153871,0.0146707,-0.102753,0,0,-0.284392,-0.153871,0.0146707,0.181639,0.238504,-0.0745834,0.0191427,-0.0602655,0,0,-0.46455
1780918551400963,0.184,-0.155141,0.0158277,-0.103668,0,0,-0.29384,-0.155141,0.0158277,0.190171,0.245936,-0.0787133,0.0322665,-0.0699609,0,0,-0.471249
1780918551416963,0.2,-0.156066,0.0167434,-0.10437,0,0,-0.303312,-0.156066,0.0167434,0.198942,0.253407,-0.0808414,0.0403983,-0.0772031,0,0,-0.477824
1780918551432963,0.216,-0.157049,0.0177465,-0.105225,0,0,-0.312865,-0.157049,0.0177465,0.20764,0.260948,-0.082572,0.045865,-0.0820639,0,0,-0.484319
1780918551456963,0.24,-0.157608,0.0200831,-0.105927,0,0,-0.322689,-0.157608,0.0200831,0.216763,0.268755,-0.0832284,0.0536531,-0.0903127,0,0,-0.490862
1780918551472963,0.256,-0.157739,0.0219243,-0.106323,0,0,-0.332462,-0.157739,0.0219243,0.226139,0.276589,-0.0839868,0.058449,-0.0952774,0,0,-0.497239
1780918551496963,0.28,-0.158067,0.0247353,-0.107056,0,0,-0.342543,-0.158067,0.0247353,0.235488,0.284696,-0.0835259,0.0642416,-0.102285,0,0,-0.503686
1780918551520963,0.304,-0.158557,0.0275587,-0.108093,0,0,-0.352583,-0.158557,0.0275587,0.24449,0.292703,-0.0813931,0.0673483,-0.109644,0,0,-0.509979
1780918551536963,0.32,-0.158918,0.0294338,-0.108917,0,0,-0.362846,-0.158918,0.0294338,0.253928,0.301,-0.0776625,0.0693466,-0.115094,0,0,-0.516286
1780918551552963,0.336,-0.159259,0.0312877,-0.109894,0,0,-0.373232,-0.159259,0.0312877,0.263338,0.309337,-0.0725349,0.0698076,-0.120374,0,0,-0.522546
1780918551576963,0.36,-0.159692,0.0340038,-0.111603,0,0,-0.383734,-0.159692,0.0340038,0.272131,0.317353,-0.0633823,0.0702158,-0.128375,0,0,-0.528753
1780918551592963,0.376,-0.159894,0.0357805,-0.112915,0,0,-0.394438,-0.159894,0.0357805,0.281523,0.325732,-0.0554301,0.0704616,-0.133679,0,0,-0.534958
1780918551616963,0.4,-0.160017,0.038373,-0.115082,0,0,-0.405106,-0.160017,0.038373,0.290024,0.333455,-0.0419627,0.0692301,-0.144847,0,0,-0.541026
1780918551640963,0.424,-0.159896,0.0408382,-0.117584,0,0,-0.415965,-0.159896,0.0408382,0.29838,0.340977,-0.0279185,0.0667015,-0.155087,0,0,-0.547087
1780918551656963,0.44,-0.159669,0.0424112,-0.119476,0,0,-0.427041,-0.159669,0.0424112,0.307565,0.349126,-0.0175251,0.0646357,-0.164285,0,0,-0.553154
1780918551680963,0.464,-0.159029,0.0446419,-0.122681,0,0,-0.438066,-0.159029,0.0446419,0.315386,0.356021,0.000384519,0.060679,-0.187578,0,0,-0.559081
1780918551696963,0.48,-0.158409,0.0460615,-0.125275,0,0,-0.4493,-0.158409,0.0460615,0.324025,0.363603,0.0124358,0.0593845,-0.212246,0,0,-0.56501
1780918551720963,0.504,-0.158224,0.0493687,-0.130096,0,0,-0.460646,-0.158224,0.0493687,0.330549,0.369777,0.0307614,0.0556874,-0.265338,0,0,-0.570889
1780918551736963,0.52,-0.1582,0.0518818,-0.134125,0,0,-0.472109,-0.1582,0.0518818,0.337985,0.376766,0.0429947,0.0546955,-0.310344,0,0,-0.576722
1780918551760963,0.544,-0.157773,0.0554761,-0.141632,0,0,-0.483692,-0.157773,0.0554761,0.34206,0.380756,0.0606972,0.0520788,-0.379284,0,0,-0.582509
1780918551776963,0.56,-0.157245,0.057755,-0.147583,0,0,-0.495398,-0.157245,0.057755,0.347815,0.386053,0.0727664,0.0508774,-0.421563,0,0,-0.588254
1780918551800963,0.584,-0.156091,0.0610046,-0.157745,0,0,-0.507197,-0.156091,0.0610046,0.349452,0.38756,0.0904106,0.0498596,-0.4852,0,0,-0.593941
1780918551816963,0.6,-0.155027,0.0630818,-0.165375,0,0,-0.519123,-0.155027,0.0630818,0.353748,0.391344,0.102669,0.0486121,-0.526076,0,0,-0.599588
1780918551840963,0.624,-0.153085,0.0660579,-0.178101,0,0,-0.53116,-0.153085,0.0660579,0.353059,0.390448,0.117822,0.0468692,-0.586777,0,0,-0.605188
1780918551856963,0.64,-0.151257,0.0684441,-0.186432,0,0,-0.543308,-0.151257,0.0684441,0.356876,0.393603,0.128101,0.047851,-0.625415,0,0,-0.610742
1780918551880963,0.664,-0.148269,0.0719331,-0.200165,0,0,-0.555634,-0.148269,0.0719331,0.355469,0.391812,0.140833,0.0494896,-0.683705,0,0,-0.616278
1780918551896963,0.68,-0.14613,0.0742093,-0.210175,0,0,-0.56801,-0.14613,0.0742093,0.357835,0.393582,0.149693,0.0515948,-0.720988,0,0,-0.62174
1780918551920963,0.704,-0.142707,0.0775826,-0.22641,0,0,-0.580479,-0.142707,0.0775826,0.354069,0.38955,0.159819,0.0563177,-0.771086,0,0,-0.627149
1780918551936963,0.72,-0.1403,0.079828,-0.237885,0,0,-0.593107,-0.1403,0.079828,0.355222,0.390179,0.166645,0.0607276,-0.798853,0,0,-0.632533
1780918551961300,0.744337,-0.136553,0.0832401,-0.255981,0,0,-0.605725,-0.136553,0.0832401,0.349744,0.384573,0.173285,0.0680699,-0.833836,0,0,-0.637821
1780918551977300,0.760337,-0.133978,0.0855569,-0.268555,0,0,-0.618504,-0.133978,0.0855569,0.349949,0.384362,0.177896,0.0734541,-0.855243,0,0,-0.643085
1780918552001300,0.784337,-0.129979,0.089108,-0.288116,0,0,-0.631397,-0.129979,0.089108,0.34328,0.377725,0.184551,0.0826546,-0.884167,0,0,-0.648307
1780918552017300,0.800337,-0.127234,0.0915425,-0.301544,0,0,-0.644427,-0.127234,0.0915425,0.342883,0.377011,0.188835,0.089557,-0.902841,0,0,-0.653495
1780918552041300,0.824337,-0.123026,0.0953651,-0.322357,0,0,-0.657545,-0.123026,0.0953651,0.335188,0.369568,0.192383,0.102619,-0.93143,0,0,-0.65863
1780918552057300,0.840337,-0.120182,0.09802,-0.33667,0,0,-0.670798,-0.120182,0.09802,0.334128,0.368366,0.194299,0.111209,-0.953356,0,0,-0.663732
1780918552081300,0.864337,-0.115861,0.102207,-0.358887,0,0,-0.68407,-0.115861,0.102207,0.325183,0.36002,0.197254,0.125021,-0.987805,0,0,-0.668754
1780918552097300,0.880337,-0.112966,0.105108,-0.374207,0,0,-0.697447,-0.112966,0.105108,0.323241,0.358181,0.197678,0.132193,-1.01025,0,0,-0.673733
1780918552121300,0.904337,-0.108616,0.109629,-0.397888,0,0,-0.710988,-0.108616,0.109629,0.3131,0.349067,0.198537,0.144491,-1.03913,0,0,-0.678688
1780918552137300,0.920337,-0.105711,0.112758,-0.414062,0,0,-0.724599,-0.105711,0.112758,0.310536,0.346874,0.198312,0.152796,-1.05606,0,0,-0.683586
1780918552161300,0.944337,-0.101345,0.117622,-0.438843,0,0,-0.738306,-0.101345,0.117622,0.299464,0.337319,0.19858,0.1641,-1.0763,0,0,-0.688437
1780918552177300,0.960337,-0.0984396,0.120964,-0.455597,0,0,-0.752112,-0.0984396,0.120964,0.296515,0.335028,0.197658,0.170586,-1.08712,0,0,-0.693242
1780918552201300,0.984337,-0.0940925,0.126088,-0.48114,0,0,-0.765993,-0.0940925,0.126088,0.284853,0.325412,0.197642,0.178521,-1.09996,0,0,-0.697993
1780918552217300,1.00034,-0.091195,0.129567,-0.498352,0,0,-0.780005,-0.091195,0.129567,0.281653,0.32316,0.196921,0.183411,-1.10741,0,0,-0.70271
1780918552241300,1.02434,-0.0868705,0.134867,-0.524353,0,0,-0.794105,-0.0868705,0.134867,0.269752,0.31385,0.194509,0.190236,-1.11526,0,0,-0.707378
1780918552257300,1.04034,-0.0824618,0.137436,-0.540253,0,0,-0.808273,-0.0824618,0.137436,0.268021,0.312288,0.193157,0.194288,-1.11796,0,0,-0.711991
1780918552281300,1.06434,-0.0760308,0.141425,-0.564301,0,0,-0.822547,-0.0760308,0.141425,0.258246,0.304094,0.190933,0.198548,-1.11854,0,0,-0.716561
1780918552297300,1.08034,-0.0718624,0.144157,-0.580475,0,0,-0.83689,-0.0718624,0.144157,0.256415,0.302811,0.189318,0.19955,-1.11845,0,0,-0.721079
1780918552321300,1.10434,-0.0657733,0.148306,-0.604858,0,0,-0.851367,-0.0657733,0.148306,0.246508,0.295105,0.186755,0.200232,-1.1192,0,0,-0.725563
1780918552337300,1.12034,-0.0618187,0.151099,-0.621246,0,0,-0.865906,-0.0618187,0.151099,0.24466,0.294127,0.185134,0.200377,-1.11827,0,0,-0.729992
1780918552361300,1.14434,-0.0560295,0.155289,-0.645935,0,0,-0.880512,-0.0560295,0.155289,0.234576,0.286845,0.18312,0.198052,-1.11672,0,0,-0.734368
1780918552377300,1.16034,-0.052265,0.158054,-0.662415,0,0,-0.895248,-0.052265,0.158054,0.232833,0.286224,0.181052,0.195433,-1.11538,0,0,-0.73871
1780918552401300,1.18434,-0.0467798,0.162141,-0.687256,0,0,-0.910084,-0.0467798,0.162141,0.222828,0.279518,0.177389,0.191003,-1.11278,0,0,-0.743009
1780918552417300,1.20034,-0.043228,0.164823,-0.703827,0,0,-0.924996,-0.043228,0.164823,0.221169,0.279197,0.174713,0.188296,-1.11046,0,0,-0.747258
1780918552441300,1.22434,-0.0380532,0.16875,-0.728821,0,0,-0.939927,-0.0380532,0.16875,0.211106,0.272929,0.170762,0.181063,-1.10807,0,0,-0.751442
1780918552457300,1.24034,-0.0346919,0.171274,-0.745483,0,0,-0.955003,-0.0346919,0.171274,0.20952,0.272831,0.169361,0.175196,-1.10497,0,0,-0.755597
1780918552481300,1.26434,-0.0297723,0.17491,-0.770538,0,0,-0.970155,-0.0297723,0.17491,0.199617,0.26707,0.16481,0.166764,-1.1005,0,0,-0.759703
1780918552497300,1.28034,-0.0266034,0.177212,-0.787231,0,0,-0.985485,-0.0266034,0.177212,0.198254,0.267239,0.160833,0.158104,-1.0967,0,0,-0.763787
1780918552521300,1.30434,-0.0220234,0.180436,-0.812164,0,0,-1.00071,-0.0220234,0.180436,0.188547,0.261901,0.156035,0.146964,-1.09218,0,0,-0.767776
1780918552537300,1.32034,-0.0190604,0.18246,-0.828796,0,0,-1.01609,-0.0190604,0.18246,0.187293,0.262171,0.153684,0.138801,-1.08863,0,0,-0.771737
1780918552561300,1.34434,-0.0147638,0.185237,-0.85376,0,0,-1.03155,-0.0147638,0.185237,0.177793,0.257179,0.149143,0.125261,-1.08514,0,0,-0.775653
1780918552577300,1.36034,-0.0119757,0.186916,-0.870361,0,0,-1.0471,-0.0119757,0.186916,0.176734,0.257519,0.147223,0.116268,-1.08243,0,0,-0.779523
1780918552601300,1.38434,-0.00791763,0.189182,-0.895264,0,0,-1.06268,-0.00791763,0.189182,0.167412,0.252743,0.143414,0.102552,-1.0779,0,0,-0.783336
1780918552617300,1.40034,-0.00528099,0.190535,-0.911865,0,0,-1.07839,-0.00528099,0.190535,0.166528,0.253106,0.141318,0.0940518,-1.07428,0,0,-0.787117
1780918552641300,1.42434,-0.00142759,0.192308,-0.936646,0,0,-1.09418,-0.00142759,0.192308,0.157531,0.248596,0.137989,0.0803504,-1.06918,0,0,-0.790849
1780918552657300,1.44034,0.00361524,0.193804,-0.951904,0,0,-1.10994,0.00361524,0.193804,0.158037,0.250097,0.136491,0.0713164,-1.06621,0,0,-0.794513
1780918552681300,1.46434,0.01087,0.195723,-0.974854,0,0,-1.12583,0.01087,0.195723,0.150973,0.247424,0.133279,0.0560891,-1.05915,0,0,-0.798142
1780918552697300,1.48034,0.0155074,0.196799,-0.990173,0,0,-1.14178,0.0155074,0.196799,0.151608,0.248908,0.131847,0.0472603,-1.05498,0,0,-0.801723
1780918552721300,1.50434,0.0221664,0.198141,-1.01315,0,0,-1.15783,0.0221664,0.198141,0.14468,0.24634,0.127541,0.0361366,-1.04923,0,0,-0.805263
1780918552737300,1.52034,0.0264069,0.198885,-1.02853,0,0,-1.17396,0.0264069,0.198885,0.145424,0.247792,0.125887,0.0293639,-1.04514,0,0,-0.808758
1780918552761300,1.54434,0.0325386,0.199778,-1.05157,0,0,-1.19016,0.0325386,0.199778,0.138588,0.245309,0.124275,0.0184327,-1.03994,0,0,-0.812207
