timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780599419362314,0,0.00590863,-0.00732646,-0.00979614,0,0,-5,0.00590863,-0.00732646,4.9902,4.99021,0.00254401,-0.0145343,0.0025701,0,0,0
1780599419378314,0.016,0.00589142,-0.007389,-0.00976562,0,0,-5,0.00589142,-0.007389,4.99023,4.99024,0.00184794,-0.0142095,0.00291508,0,0,0
1780599419402314,0.04,0.00575972,-0.00710494,-0.00967407,0,0,-5,0.00575972,-0.00710494,4.99033,4.99033,0.00346184,-0.0143253,0.00338522,0,0,0
1780599419418314,0.056,0.00569585,-0.00695166,-0.00958252,0,0,-5,0.00569585,-0.00695166,4.99042,4.99043,0.00390967,-0.0149352,0.00454107,0,0,0
1780599419434314,0.072,0.0056392,-0.00682798,-0.00949097,0,0,-5,0.0056392,-0.00682798,4.99051,4.99052,0.00349576,-0.0157274,0.00495402,0,0,0
1780599419458314,0.096,0.00555459,-0.0066669,-0.00933838,0,0,-5,0.00555459,-0.0066669,4.99066,4.99067,0.00272339,-0.0144152,0.00602161,0,0,0
1780599419482314,0.12,0.00546334,-0.00652342,-0.00918579,0,0,-5,0.00546334,-0.00652342,4.99081,4.99082,0.00205571,-0.0139688,0.00577324,0,0,0
1780599419498314,0.136,0.00540796,-0.00643444,-0.00909424,0,0,-5,0.00540796,-0.00643444,4.99091,4.99091,0.00263006,-0.0130604,0.00539897,0,0,0
1780599419514314,0.152,0.00535661,-0.00634185,-0.00900269,0,0,-5,0.00535661,-0.00634185,4.991,4.991,0.00226811,-0.012336,0.00669252,0,0,0
1780599419538314,0.176,0.00525664,-0.00620755,-0.0088501,0,0,-5,0.00525664,-0.00620755,4.99115,4.99116,0.000171508,-0.0121191,0.00558373,0,0,0
1780599419562314,0.2,0.00514198,-0.00611996,-0.00872803,0,0,-5,0.00514198,-0.00611996,4.99127,4.99128,0.00108146,-0.0132005,0.00502293,0,0,0
1780599419578314,0.216,0.00508122,-0.00609367,-0.00863647,0,0,-5,0.00508122,-0.00609367,4.99136,4.99137,0.000654566,-0.0137618,0.00670672,0,0,0
1780599419594314,0.232,0.00497017,-0.00610326,-0.0085144,0,0,-5,0.00497017,-0.00610326,4.99149,4.99149,0.000173442,-0.0137527,0.00557552,0,0,0
