t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg,pose_source
0.016680,-5.979712,0.186362,-328.895389,-5.974786,0.186916,-327.895402,0.004926,0.000553,0.999988,1.000000,0.004957,0.284025,gazebo_link_pair
0.016704,-5.980705,0.186251,-329.097644,-5.975782,0.186804,-328.097656,0.004922,0.000553,0.999988,1.000000,0.004953,0.283811,gazebo_link_pair
0.016715,-5.981697,0.186139,-329.299930,-5.976778,0.186692,-328.299942,0.004919,0.000553,0.999988,1.000000,0.004950,0.283596,gazebo_link_pair
0.016724,-5.982688,0.186028,-329.502248,-5.977773,0.186580,-328.502260,0.004915,0.000552,0.999988,1.000000,0.004946,0.283382,gazebo_link_pair
0.022165,-5.983679,0.185917,-329.704596,-5.978767,0.186468,-328.704609,0.004911,0.000552,0.999988,1.000000,0.004942,0.283169,gazebo_link_pair
0.032305,-5.984669,0.185805,-329.906976,-5.979761,0.186357,-328.906989,0.004908,0.000551,0.999988,1.000000,0.004938,0.282956,gazebo_link_pair
0.032335,-5.985658,0.185694,-330.109388,-5.980754,0.186245,-329.109400,0.004904,0.000551,0.999988,1.000000,0.004935,0.282743,gazebo_link_pair
0.032345,-5.986647,0.185583,-330.311830,-5.981747,0.186134,-329.311842,0.004900,0.000551,0.999988,1.000000,0.004931,0.282530,gazebo_link_pair
0.042306,-5.987635,0.185472,-330.514304,-5.982738,0.186022,-329.514316,0.004897,0.000550,0.999988,1.000000,0.004927,0.282318,gazebo_link_pair
0.042349,-5.988623,0.185361,-330.716809,-5.983730,0.185911,-329.716821,0.004893,0.000550,0.999988,1.000000,0.004924,0.282106,gazebo_link_pair
0.052200,-5.989610,0.185250,-330.919345,-5.984720,0.185799,-329.919357,0.004889,0.000549,0.999988,1.000000,0.004920,0.281895,gazebo_link_pair
0.052247,-5.990596,0.185139,-331.121912,-5.985710,0.185688,-330.121924,0.004886,0.000549,0.999988,1.000000,0.004916,0.281684,gazebo_link_pair
0.052271,-5.991582,0.185028,-331.324510,-5.986700,0.185577,-330.324523,0.004882,0.000549,0.999988,1.000000,0.004913,0.281473,gazebo_link_pair
0.062169,-5.992567,0.184918,-331.527140,-5.987688,0.185466,-330.527152,0.004878,0.000548,0.999988,1.000000,0.004909,0.281263,gazebo_link_pair
0.062225,-5.993551,0.184807,-331.729801,-5.988677,0.185355,-330.729813,0.004875,0.000548,0.999988,1.000000,0.004905,0.281053,gazebo_link_pair
0.072258,-5.994535,0.184696,-331.932492,-5.989664,0.185244,-330.932505,0.004871,0.000547,0.999988,1.000000,0.004902,0.280843,gazebo_link_pair
0.072312,-5.995518,0.184586,-332.135215,-5.990651,0.185133,-331.135227,0.004867,0.000547,0.999988,1.000000,0.004898,0.280634,gazebo_link_pair
0.072345,-5.996501,0.184475,-332.337969,-5.991637,0.185022,-331.337981,0.004864,0.000547,0.999988,1.000000,0.004894,0.280425,gazebo_link_pair
0.082272,-5.997483,0.184365,-332.540754,-5.992623,0.184911,-331.540766,0.004860,0.000546,0.999988,1.000000,0.004891,0.280216,gazebo_link_pair
0.082325,-5.998465,0.184255,-332.743570,-5.993608,0.184801,-331.743582,0.004856,0.000546,0.999988,1.000000,0.004887,0.280008,gazebo_link_pair
0.092190,-5.999446,0.184145,-332.946417,-5.994593,0.184690,-331.946429,0.004853,0.000545,0.999988,1.000000,0.004883,0.279800,gazebo_link_pair
0.092227,-6.000426,0.184034,-333.149295,-5.995577,0.184579,-332.149307,0.004849,0.000545,0.999988,1.000000,0.004880,0.279593,gazebo_link_pair
0.092239,-6.001406,0.183924,-333.352204,-5.996560,0.184469,-332.352216,0.004846,0.000545,0.999988,1.000000,0.004876,0.279385,gazebo_link_pair
0.102252,-6.002385,0.183814,-333.555143,-5.997543,0.184359,-332.555155,0.004842,0.000544,0.999988,1.000000,0.004873,0.279178,gazebo_link_pair
0.102300,-6.003363,0.183704,-333.758114,-5.998525,0.184248,-332.758126,0.004838,0.000544,0.999988,1.000000,0.004869,0.278972,gazebo_link_pair
0.112201,-6.004341,0.183594,-333.961116,-5.999506,0.184138,-332.961127,0.004835,0.000544,0.999988,1.000000,0.004865,0.278766,gazebo_link_pair
0.112268,-6.005318,0.183484,-334.164148,-6.000487,0.184028,-333.164160,0.004831,0.000543,0.999988,1.000000,0.004862,0.278560,gazebo_link_pair
