timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780598312201928,0,-0.00184761,0.938817,0.230682,1.26147,1.22066,-5,-1.26332,-0.281843,5.23068,5.38845,0.0258981,-0.272621,-0.63529,1.20956,1.09087,0
1780598312225928,0.024,-0.0020703,0.938377,0.235413,1.28564,1.24241,-5,-1.28771,-0.304033,5.23541,5.40002,0.0116427,-0.272321,-0.642478,1.20797,1.08471,0
1780598312241928,0.04,-0.00222203,0.937852,0.238556,1.30981,1.26407,-5,-1.31204,-0.326219,5.23856,5.41021,0.0225742,-0.276264,-0.64219,1.20635,1.07844,0
1780598312265928,0.064,-0.00214996,0.936642,0.242554,1.33384,1.2855,-5,-1.33599,-0.34886,5.24255,5.42134,0.0229138,-0.278776,-0.627645,1.2047,1.07209,0
1780598312281928,0.08,-0.00217382,0.93564,0.245056,1.35797,1.30693,-5,-1.36014,-0.371287,5.24506,5.43125,0.00646513,-0.278525,-0.64218,1.20301,1.06559,0
1780598312305928,0.104,-0.00229503,0.933828,0.248627,1.38193,1.3281,-5,-1.38422,-0.394268,5.24863,5.44239,0.0213793,-0.284757,-0.634937,1.20131,1.05903,0
1780598312321928,0.12,-0.00214038,0.932336,0.250671,1.40615,1.3494,-5,-1.40829,-0.417063,5.25067,5.45223,0.0223492,-0.2876,-0.629805,1.19955,1.05227,0
1780598312345928,0.144,-0.0019605,0.929805,0.253601,1.43017,1.37041,-5,-1.43213,-0.440609,5.2536,5.4631,0.00734118,-0.287963,-0.634832,1.19777,1.04546,0
1780598312361928,0.16,-0.00191782,0.927919,0.255066,1.45399,1.39115,-5,-1.45591,-0.463235,5.25507,5.47266,0.0193827,-0.293783,-0.630334,1.19598,1.03859,0
1780598312385928,0.184,-0.00150262,0.924666,0.257507,1.47785,1.41183,-5,-1.47936,-0.48716,5.25751,5.48336,0.0237523,-0.300583,-0.626438,1.19415,1.03159,0
1780598312401928,0.2,-0.00166263,0.927468,0.263672,1.50175,1.43241,-5,-1.50341,-0.504943,5.26367,5.4974,0.019382,-0.298088,-0.607435,1.19229,1.02448,0
1780598312425928,0.224,-0.00214715,0.931193,0.272095,1.52585,1.45306,-5,-1.52799,-0.521867,5.27209,5.51381,0.00823939,-0.293433,-0.602356,1.19037,1.01718,0
1780598312441959,0.240031,-0.00230447,0.933307,0.277405,1.54964,1.47334,-5,-1.55195,-0.54003,5.2774,5.52731,0.0204063,-0.296234,-0.615441,1.18845,1.00986,0
1780598312457959,0.256031,-0.00237574,0.935143,0.282562,1.5731,1.49322,-5,-1.57548,-0.558075,5.28256,5.54067,0.0212238,-0.294935,-0.589985,1.18652,1.00253,0
1780598312481959,0.280031,-0.00260309,0.937483,0.289856,1.59692,1.51328,-5,-1.59953,-0.575801,5.28986,5.55631,0.00837736,-0.291495,-0.592552,1.18453,0.994984,0
1780598312505959,0.304031,-0.00275974,0.939258,0.296753,1.62065,1.53315,-5,-1.62341,-0.593894,5.29675,5.57169,0.0186343,-0.295241,-0.594601,1.18252,0.987351,0
1780598312521959,0.320031,-0.0027427,0.940131,0.301117,1.6442,1.55276,-5,-1.64694,-0.612628,5.30112,5.58476,0.0185052,-0.293309,-0.57016,1.18048,0.979661,0
1780598312545959,0.344031,-0.00288453,0.941109,0.30722,1.66784,1.57231,-5,-1.67072,-0.631203,5.30722,5.59967,0.00372724,-0.29126,-0.57438,1.17841,0.971833,0
1780598312561959,0.360031,-0.00291545,0.94147,0.311035,1.69143,1.59171,-5,-1.69435,-0.650242,5.31104,5.61255,0.0183851,-0.29658,-0.576149,1.1763,0.963905,0
1780598312585959,0.384031,-0.00278374,0.941547,0.316498,1.71491,1.61089,-5,-1.7177,-0.669342,5.3165,5.62705,0.015567,-0.29858,-0.553648,1.17418,0.955908,0
1780598312601959,0.400031,-0.00278728,0.941369,0.319977,1.73825,1.62983,-5,-1.74104,-0.688457,5.31998,5.6398,-0.00184001,-0.295472,-0.567765,1.17203,0.947848,0
1780598312625959,0.424031,-0.00293477,0.940755,0.324554,1.76201,1.64897,-5,-1.76494,-0.708217,5.32455,5.65398,0.01076,-0.301085,-0.559325,1.16981,0.939533,0
1780598312641959,0.440031,-0.00283893,0.940021,0.327484,1.78517,1.66751,-5,-1.78801,-0.727489,5.32748,5.66642,0.0108813,-0.304024,-0.553499,1.16761,0.931318,0
1780598312665959,0.464031,-0.0027697,0.938582,0.331696,1.80848,1.68604,-5,-1.81125,-0.747454,5.3317,5.68034,-0.00519925,-0.302682,-0.558232,1.16537,0.922942,0
1780598312681959,0.480031,-0.00285034,0.937401,0.334045,1.83161,1.70429,-5,-1.83446,-0.76689,5.33405,5.69257,-0.00194033,-0.304069,-0.540716,1.16311,0.914521,0
1780598312705959,0.504031,-0.0026949,0.935184,0.337219,1.85492,1.72255,-5,-1.85761,-0.787365,5.33722,5.70584,0.00977994,-0.31383,-0.547173,1.1608,0.905928,0
1780598312721959,0.520031,-0.00253165,0.933439,0.339447,1.87806,1.74054,-5,-1.88059,-0.8071,5.33945,5.71819,0.00619942,-0.313953,-0.532676,1.15847,0.897291,0
1780598312737959,0.536031,-0.00254852,0.931553,0.341248,1.9012,1.7584,-5,-1.90375,-0.826847,5.34125,5.73035,-0.00276709,-0.315532,-0.545335,1.15611,0.888542,0
1780598312761959,0.560031,-0.00231241,0.92828,0.343353,1.9243,1.77608,-5,-1.92662,-0.847804,5.34335,5.743,0.0100816,-0.323971,-0.55298,1.15372,0.879705,0
1780598312785959,0.584031,-0.00200308,0.924584,0.34552,1.94738,1.79361,-5,-1.94939,-0.869027,5.34552,5.75586,0.0044014,-0.325234,-0.52678,1.1513,0.87077,0
1780598312801959,0.600031,-0.00244759,0.927655,0.351349,1.97037,1.81092,-5,-1.97281,-0.883266,5.35135,5.7714,-0.00479195,-0.320124,-0.534305,1.14885,0.861766,0
1780598312825959,0.624031,-0.00293782,0.931637,0.359436,1.99329,1.82805,-5,-1.99623,-0.896412,5.35944,5.78896,0.00635111,-0.322527,-0.535831,1.14637,0.852678,0
1780598312841959,0.640031,-0.00314765,0.933872,0.364716,2.01624,1.84504,-5,-2.01938,-0.911168,5.36472,5.80416,0.00530145,-0.319439,-0.511729,1.14386,0.843479,0
1780598312865959,0.664031,-0.00363732,0.936764,0.37207,2.03905,1.86179,-5,-2.04269,-0.925027,5.37207,5.82129,-0.00916061,-0.314569,-0.513283,1.14133,0.834226,0
1780598312881959,0.680031,-0.00399656,0.938366,0.376648,2.06185,1.87838,-5,-2.06584,-0.940011,5.37665,5.83607,0.000361103,-0.316304,-0.510696,1.13877,0.824878,0
1780598312905959,0.704031,-0.00427937,0.940214,0.382996,2.08463,1.89481,-5,-2.08891,-0.954591,5.383,5.85247,0.00083932,-0.314114,-0.491291,1.13618,0.815431,0
1780598312921959,0.720031,-0.00453716,0.941188,0.387115,2.10733,1.91102,-5,-2.11187,-0.969835,5.38712,5.86699,-0.0153231,-0.310134,-0.503178,1.13355,0.805914,0
1780598312945959,0.744031,-0.00497988,0.942209,0.392548,2.12996,1.92703,-5,-2.13494,-0.984821,5.39255,5.88281,-0.000297541,-0.314468,-0.496689,1.13091,0.796328,0
1780598312961959,0.760031,-0.00514118,0.942569,0.395782,2.15255,1.94286,-5,-2.15769,-1.00029,5.39578,5.89667,-0.00417863,-0.313415,-0.486874,1.12823,0.786655,0
1780598312985959,0.784031,-0.00546253,0.942759,0.401001,2.17521,1.95858,-5,-2.18067,-1.01582,5.401,5.91253,-0.019749,-0.309967,-0.490584,1.12551,0.776846,0
1780598313001959,0.800031,-0.00583219,0.942638,0.404022,2.19776,1.97406,-5,-2.20359,-1.03143,5.40402,5.92647,-0.0187918,-0.309729,-0.472617,1.12277,0.766986,0
1780598313025959,0.824031,-0.00613023,0.941972,0.40799,2.21996,1.98915,-5,-2.22609,-1.04718,5.40799,5.94125,-0.00697852,-0.316716,-0.478083,1.12004,0.757177,0
1780598313041959,0.840031,-0.00627395,0.941242,0.410675,2.24229,2.00417,-5,-2.24857,-1.06293,5.41068,5.95494,-0.00987257,-0.316771,-0.464226,1.11725,0.747213,0
1780598313065959,0.864031,-0.00673458,0.939827,0.414307,2.26473,2.0191,-5,-2.27147,-1.07927,5.41431,5.96985,-0.0197642,-0.316178,-0.464432,1.11442,0.737098,0
1780598313081959,0.880031,-0.00690701,0.938564,0.416382,2.28695,2.03371,-5,-2.29386,-1.09515,5.41638,5.98317,-0.00818018,-0.324144,-0.479266,1.11158,0.726984,0
1780598313105959,0.904031,-0.00707731,0.936235,0.41922,2.30909,2.0481,-5,-2.31616,-1.11187,5.41922,5.9974,-0.0121708,-0.324302,-0.453377,1.10872,0.716812,0
1780598313121959,0.920031,-0.0073808,0.934505,0.421143,2.33128,2.06237,-5,-2.33867,-1.12786,5.42114,6.01084,-0.0229524,-0.32348,-0.466014,1.10581,0.706511,0
1780598313145959,0.944031,-0.00773082,0.93149,0.423523,2.35333,2.07637,-5,-2.36106,-1.14488,5.42352,6.02494,-0.0124836,-0.332026,-0.474396,1.10289,0.696185,0
1780598313161959,0.960031,-0.00786498,0.929191,0.424805,2.37539,2.09021,-5,-2.38326,-1.16102,5.4248,6.03791,-0.0126911,-0.333489,-0.454219,1.09993,0.68575,0
1780598313185959,0.984031,-0.00822492,0.925451,0.426575,2.39748,2.10389,-5,-2.4057,-1.17844,5.42657,6.05176,-0.0247591,-0.334663,-0.461575,1.09693,0.67521,0
1780598313201959,1.00003,-0.00838395,0.928712,0.432281,2.41921,2.11718,-5,-2.42759,-1.18847,5.43228,6.06757,-0.00940018,-0.337346,-0.460939,1.09394,0.664742,0
1780598313225959,1.02403,-0.00845441,0.932953,0.440186,2.44111,2.13041,-5,-2.44957,-1.19745,5.44019,6.08522,-0.0113304,-0.330121,-0.436799,1.0909,0.654097,0
1780598313241959,1.04003,-0.00859124,0.935454,0.445221,2.46298,2.14343,-5,-2.47157,-1.20797,5.44522,6.10068,-0.0269189,-0.322746,-0.448215,1.08782,0.643375,0
1780598313265959,1.06403,-0.00893705,0.93869,0.452301,2.48476,2.15622,-5,-2.4937,-1.21753,5.4523,6.11788,-0.0143774,-0.325362,-0.437085,1.08472,0.632598,0
1780598313281959,1.08003,-0.0089817,0.940402,0.456604,2.50647,2.16879,-5,-2.51545,-1.22839,5.4566,6.13278,-0.0136074,-0.324843,-0.430611,1.0816,0.62176,0
1780598313305959,1.10403,-0.00913896,0.942536,0.462769,2.52793,2.18104,-5,-2.53707,-1.2385,5.46277,6.14918,-0.0287565,-0.316655,-0.432185,1.07847,0.610958,0
1780598313321959,1.12003,-0.00939191,0.943699,0.466644,2.54947,2.19315,-5,-2.55887,-1.24945,5.46664,6.16386,-0.0271616,-0.314807,-0.413402,1.0753,0.600018,0
1780598313345959,1.14403,-0.00952981,0.944894,0.471924,2.57086,2.20499,-5,-2.58039,-1.2601,5.47192,6.17966,-0.0160862,-0.319318,-0.416507,1.07211,0.58907,0
1780598313361959,1.16003,-0.00960366,0.945401,0.475281,2.59234,2.2167,-5,-2.60195,-1.2713,5.47528,6.19395,-0.0209481,-0.317326,-0.401647,1.06887,0.577975,0
1780598313385959,1.18403,-0.00997257,0.945794,0.479828,2.6137,2.22816,-5,-2.62367,-1.28236,5.47983,6.2094,-0.0228764,-0.319272,-0.415019,1.06562,0.566858,0
1780598313401959,1.20003,-0.010051,0.945678,0.482513,2.63511,2.23945,-5,-2.64516,-1.29377,5.48251,6.22324,-0.019332,-0.321398,-0.419369,1.06231,0.55562,0
1780598313425959,1.22403,-0.0102059,0.945154,0.48642,2.6563,2.25044,-5,-2.6665,-1.30528,5.48642,6.23817,-0.0244451,-0.317293,-0.390817,1.05901,0.544409,0
1780598313441993,1.24006,-0.0105098,0.94461,0.488617,2.6774,2.26119,-5,-2.68791,-1.31658,5.48862,6.25166,-0.0345299,-0.315009,-0.401752,1.05568,0.533151,0
