t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg
0.081852,0.024119,0.912094,0.031006,1.043216,0.966420,0.149992,1.019097,0.054326,0.118986,1.027457,1.020544,83.349853
0.081871,0.024119,0.912094,0.031006,1.043213,0.966414,0.149993,1.019094,0.054320,0.118987,1.027454,1.020541,83.349804
0.081879,0.024119,0.912094,0.031006,1.043208,0.966416,0.149993,1.019089,0.054322,0.118987,1.027449,1.020536,83.349745
0.091841,0.024119,0.912094,0.031006,1.043202,0.966412,0.149994,1.019083,0.054318,0.118988,1.027442,1.020529,83.349676
0.091867,0.024119,0.912094,0.031006,1.043194,0.966415,0.149994,1.019075,0.054321,0.118988,1.027435,1.020522,83.349598
0.101853,0.022645,0.914393,0.020172,1.043185,0.966412,0.149995,1.020540,0.052019,0.129822,1.030078,1.021865,82.759666
0.101892,0.022645,0.914393,0.020172,1.043176,0.966415,0.149995,1.020530,0.052022,0.129823,1.030069,1.021855,82.759572
0.101917,0.022645,0.914393,0.020172,1.043166,0.966412,0.149996,1.020520,0.052019,0.129823,1.030059,1.021845,82.759473
0.111976,0.022645,0.914393,0.020172,1.043159,0.966419,0.149998,1.020514,0.052026,0.129826,1.030053,1.021839,82.759315
0.112035,0.022645,0.914393,0.020172,1.043157,0.966419,0.149998,1.020511,0.052026,0.129826,1.030051,1.021837,82.759270
0.122127,0.021638,0.915749,0.013245,1.043152,0.966423,0.149999,1.021514,0.050675,0.136754,1.031872,1.022770,82.384187
0.122249,0.021638,0.915749,0.013245,1.043147,0.966420,0.149999,1.021509,0.050671,0.136755,1.031867,1.022765,82.384122
0.122304,0.021638,0.915749,0.013245,1.043140,0.966423,0.150000,1.021502,0.050674,0.136755,1.031861,1.022758,82.384043
0.131936,0.021638,0.915749,0.013245,1.043133,0.966419,0.150000,1.021495,0.050670,0.136756,1.031853,1.022751,82.383961
0.131995,0.021638,0.915749,0.013245,1.043127,0.966423,0.149945,1.021489,0.050674,0.136700,1.031840,1.022745,82.386949
0.142292,0.020062,0.917498,0.003632,1.043122,0.966416,0.149947,1.023060,0.048918,0.146315,1.034627,1.024229,81.870083
