timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780598607153711,0,-0.0400648,-0.0107237,0.00125122,0.0252119,0.0252116,-5,-0.0652767,-0.0359352,5.00125,5.00181,0.00634327,0.0128101,-0.000848978,1.24998,1.24994,0
1780598607169711,0.016,-0.0399819,-0.0107173,0.00100708,0.0503517,0.0503492,-5,-0.0903336,-0.0610665,5.00101,5.0022,0.00674198,0.0130272,-0.000950449,1.24994,1.24975,0
1780598607193711,0.04,-0.0398766,-0.0107064,0.000671387,0.0752952,0.0752867,-5,-0.115172,-0.0859931,5.00067,5.00274,0.00535597,0.0124238,-0.00206903,1.24986,1.24943,0
1780598607209711,0.056,-0.0398223,-0.0106994,0.000427246,0.100202,0.100182,-5,-0.140024,-0.110881,5.00043,5.00362,0.005513,0.011705,-0.00236787,1.24975,1.249,0
1780598607233711,0.08,-0.0397404,-0.0106904,6.10352e-05,0.12541,0.12537,-5,-0.16515,-0.136061,5.00006,5.00464,0.00496895,0.0120129,-0.00269278,1.24961,1.24843,0
1780598607249711,0.096,-0.0397085,-0.0106736,-0.000152588,0.150207,0.15014,-5,-0.189916,-0.160813,4.99985,5.00604,0.00454782,0.011317,-0.00286126,1.24944,1.24774,0
1780598607273711,0.12,-0.0396658,-0.0106635,-0.000457764,0.175216,0.175108,-5,-0.214882,-0.185772,4.99954,5.0076,0.004194,0.00997127,-0.00329203,1.24923,1.24693,0
1780598607289711,0.136,-0.0396391,-0.0106638,-0.000671387,0.20021,0.200049,-5,-0.239849,-0.210713,4.99933,5.00951,0.0043221,0.00907569,-0.00395802,1.249,1.24599,0
1780598607313711,0.16,-0.0396235,-0.0107058,-0.00100708,0.225188,0.22496,-5,-0.264812,-0.235665,4.99899,5.01155,0.00297343,0.00635467,-0.00262911,1.24873,1.24493,0
1780598607329711,0.176,-0.0396371,-0.0107375,-0.00119019,0.250048,0.249735,-5,-0.289685,-0.260472,4.99881,5.01397,0.003486,0.00636325,-0.00204585,1.24844,1.24375,0
