t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg
0.081983,-0.039822,-0.010699,-0.000427,0.627289,1.120785,0.149864,0.667111,1.131484,0.150291,1.322075,1.313504,83.472596
0.082015,-0.039822,-0.010699,-0.000427,0.627290,1.120788,0.149864,0.667112,1.131488,0.150291,1.322078,1.313508,83.472614
0.082027,-0.039822,-0.010699,-0.000427,0.627291,1.120792,0.149864,0.667113,1.131491,0.150291,1.322082,1.313512,83.472632
0.091975,-0.039822,-0.010699,-0.000427,0.627292,1.120796,0.149864,0.667114,1.131495,0.150291,1.322086,1.313515,83.472650
0.092004,-0.039822,-0.010699,-0.000427,0.627293,1.120799,0.149864,0.667115,1.131499,0.150291,1.322089,1.313519,83.472668
0.102119,-0.039740,-0.010690,-0.000061,0.627294,1.120803,0.149864,0.667035,1.131493,0.149925,1.322002,1.313474,83.488212
0.102148,-0.039740,-0.010690,-0.000061,0.627295,1.120807,0.149864,0.667036,1.131497,0.149925,1.322006,1.313477,83.488230
0.102159,-0.039740,-0.010690,-0.000061,0.627296,1.120810,0.149864,0.667037,1.131501,0.149925,1.322010,1.313481,83.488249
0.112000,-0.039740,-0.010690,-0.000061,0.627297,1.120814,0.149864,0.667038,1.131505,0.149925,1.322013,1.313485,83.488267
0.112028,-0.039740,-0.010690,-0.000061,0.627298,1.120818,0.149864,0.667039,1.131508,0.149925,1.322017,1.313488,83.488285
0.121956,-0.039708,-0.010674,0.000153,0.627299,1.120822,0.149864,0.667008,1.131495,0.149712,1.321966,1.313461,83.497351
0.121983,-0.039708,-0.010674,0.000153,0.627300,1.120825,0.149864,0.667009,1.131499,0.149712,1.321970,1.313465,83.497369
0.121994,-0.039708,-0.010674,0.000153,0.627302,1.120829,0.149864,0.667010,1.131503,0.149712,1.321973,1.313469,83.497387
0.131977,-0.039708,-0.010674,0.000153,0.627303,1.120833,0.149864,0.667011,1.131506,0.149712,1.321977,1.313473,83.497405
0.132000,-0.039708,-0.010674,0.000153,0.627304,1.120836,0.149864,0.667012,1.131510,0.149712,1.321981,1.313476,83.497424
0.142048,-0.039666,-0.010664,0.000458,0.627305,1.120840,0.149864,0.666970,1.131503,0.149406,1.321920,1.313450,83.510435
0.142097,-0.039666,-0.010664,0.000458,0.627306,1.120844,0.149864,0.666972,1.131507,0.149406,1.321924,1.313453,83.510453
0.142127,-0.039666,-0.010664,0.000458,0.627307,1.120847,0.149864,0.666973,1.131511,0.149406,1.321927,1.313457,83.510471
0.152260,-0.039666,-0.010664,0.000458,0.627308,1.120851,0.149864,0.666974,1.131515,0.149406,1.321931,1.313461,83.510489
0.152327,-0.039666,-0.010664,0.000458,0.627309,1.120855,0.149864,0.666975,1.131518,0.149406,1.321935,1.313464,83.510507
0.162155,-0.039639,-0.010664,0.000671,0.627310,1.120858,0.149864,0.666949,1.131522,0.149193,1.321901,1.313455,83.519660
0.162219,-0.039639,-0.010664,0.000671,0.627311,1.120862,0.149864,0.666950,1.131526,0.149193,1.321905,1.313458,83.519678
