timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780598815811733,0,-0.0332469,0.0107805,0.0262146,0.125144,0.125104,-5,-0.158391,-0.114324,5.02621,5.03001,-0.00692943,0.00972376,0.00959505,1.24961,1.24843,0
1780598815835733,0.024,-0.0334418,0.0108546,0.0260315,0.15016,0.150092,-5,-0.183601,-0.139237,5.02603,5.03131,-0.00774759,0.00928977,0.00867038,1.24944,1.24775,0
1780598815859733,0.048,-0.0336513,0.0109366,0.0259094,0.17527,0.175163,-5,-0.208922,-0.164226,5.02591,5.03293,-0.0089316,0.00910417,0.0087825,1.24923,1.24693,0
1780598815875733,0.064,-0.0338086,0.0109943,0.0258789,0.200131,0.199971,-5,-0.23394,-0.188977,5.02588,5.03487,-0.00899551,0.00936077,0.00942095,1.249,1.24599,0
1780598815899733,0.088,-0.0340491,0.0111074,0.0259094,0.225109,0.22488,-5,-0.259158,-0.213773,5.02591,5.03712,-0.00900562,0.0102189,0.00978099,1.24873,1.24493,0
1780598815915759,0.104026,-0.0342116,0.0111884,0.0259705,0.250184,0.24987,-5,-0.284395,-0.238682,5.02597,5.03967,-0.00900696,0.00963461,0.00984874,1.24843,1.24374,0
1780598815939759,0.128026,-0.0335142,0.0108479,0.0253296,0.275089,0.274673,-5,-0.308604,-0.263825,5.02533,5.0417,-0.00879057,0.00969466,0.010372,1.24811,1.24243,0
1780598815955759,0.144026,-0.0330734,0.0106542,0.0249939,0.300013,0.299473,-5,-0.333087,-0.288819,5.02499,5.0443,-0.00703876,0.0101143,0.0100896,1.24775,1.241,0
1780598815979759,0.168026,-0.032442,0.0104053,0.0245361,0.324932,0.324245,-5,-0.357374,-0.31384,5.02454,5.047,-0.00712141,0.0112108,0.00860915,1.24736,1.23944,0
1780598815995759,0.184026,-0.0320706,0.0102785,0.0242615,0.350148,0.349288,-5,-0.382218,-0.339009,5.02426,5.05017,-0.00726775,0.0112113,0.00851098,1.24693,1.23774,0
1780598816019759,0.208026,-0.0315725,0.0101185,0.0239258,0.374837,0.373782,-5,-0.406409,-0.363663,5.02393,5.05344,-0.00823702,0.011518,0.0082044,1.24648,1.23595,0
1780598816035759,0.224026,-0.031269,0.0100264,0.0237122,0.399758,0.398478,-5,-0.431027,-0.388452,5.02371,5.05711,-0.00754829,0.010691,0.00823038,1.246,1.23402,0
1780598816051759,0.240026,-0.0309773,0.00993153,0.0235291,0.424662,0.423128,-5,-0.45564,-0.413196,5.02353,5.06105,-0.00685888,0.00993851,0.00791422,1.24548,1.23197,0
1780598816075759,0.264026,-0.0305862,0.00981037,0.0232544,0.449592,0.44777,-5,-0.480178,-0.43796,5.02325,5.06512,-0.00864391,0.00977722,0.0075348,1.24494,1.22979,0
1780598816099759,0.288026,-0.0302584,0.00969195,0.0230713,0.47447,0.472329,-5,-0.504728,-0.462637,5.02307,5.06952,-0.00844205,0.00874471,0.00691963,1.24436,1.22749,0
1780598816115759,0.304026,-0.0300705,0.00961944,0.0229797,0.499759,0.497256,-5,-0.52983,-0.487637,5.02298,5.07433,-0.00905569,0.00838087,0.00653908,1.24374,1.22502,0
1780598816139759,0.328026,-0.0298292,0.00953744,0.0228577,0.524263,0.521373,-5,-0.554092,-0.511835,5.02286,5.07918,-0.00985614,0.00901154,0.00657226,1.24311,1.22251,0
1780598816155759,0.344026,-0.029696,0.00949457,0.0227966,0.54927,0.545946,-5,-0.578966,-0.536451,5.0228,5.08443,-0.00985752,0.00874186,0.00705901,1.24243,1.21983,0
1780598816179759,0.368026,-0.0295314,0.00943624,0.0227051,0.573997,0.570202,-5,-0.603528,-0.560766,5.02271,5.08982,-0.00958693,0.00783089,0.00892967,1.24174,1.21705,0
1780598816195759,0.384026,-0.0294253,0.00939965,0.0226746,0.598789,0.594479,-5,-0.628214,-0.58508,5.02267,5.09551,-0.00839711,0.00628299,0.00975355,1.241,1.21415,0
1780598816219759,0.408026,-0.0292623,0.00931711,0.0227051,0.623568,0.6187,-5,-0.65283,-0.609383,5.02271,5.10148,-0.00790684,0.00447731,0.0109491,1.24024,1.21112,0
1780598816235759,0.424026,-0.0291746,0.00926945,0.0227356,0.648466,0.642989,-5,-0.677641,-0.63372,5.02274,5.10771,-0.00816449,0.00517531,0.012412,1.23944,1.20795,0
1780598816251759,0.440026,-0.0291024,0.00923695,0.0227966,0.673181,0.667052,-5,-0.702284,-0.657815,5.0228,5.11414,-0.00837377,0.00609815,0.0121974,1.23862,1.20468,0
1780598816275759,0.464026,-0.0290404,0.00925405,0.0228882,0.697939,0.691106,-5,-0.72698,-0.681852,5.02289,5.12082,-0.0102362,0.00769589,0.0111507,1.23776,1.20129,0
1780598816299759,0.488026,-0.0290249,0.00932512,0.0229492,0.722674,0.715086,-5,-0.751699,-0.705761,5.02295,5.12769,-0.0104928,0.00938067,0.0105669,1.23687,1.19777,0
1780598816315759,0.504026,-0.0290249,0.00939741,0.0229797,0.747398,0.739001,-5,-0.776423,-0.729604,5.02298,5.13473,-0.0101044,0.00940062,0.010549,1.23596,1.19414,0
1780598816331759,0.520026,-0.028454,0.00898667,0.0227051,0.77217,0.762906,-5,-0.800624,-0.75392,5.02271,5.14169,-0.0104671,0.00973818,0.00974266,1.235,1.19038,0
1780598816355759,0.544026,-0.0276595,0.00843527,0.0223389,0.796789,0.786607,-5,-0.824449,-0.778172,5.02234,5.1487,-0.00955321,0.0100261,0.0110105,1.23403,1.18651,0
1780598816379759,0.568026,-0.0269087,0.00792834,0.0220642,0.821525,0.810361,-5,-0.848434,-0.802432,5.02206,5.15605,-0.00809239,0.00857672,0.0123873,1.23301,1.18251,0
1780598816395759,0.584026,-0.0264319,0.00760274,0.0219116,0.846185,0.833979,-5,-0.872617,-0.826376,5.02191,5.16372,-0.00792501,0.0089659,0.0129227,1.23197,1.1784,0
1780598816411759,0.600026,-0.025982,0.00730901,0.0217896,0.870785,0.857477,-5,-0.896767,-0.850168,5.02179,5.17159,-0.00745575,0.00921659,0.0134505,1.2309,1.17417,0
1780598816435759,0.624026,-0.0253663,0.00690198,0.021637,0.895388,0.880914,-5,-0.920754,-0.874012,5.02164,5.17963,-0.00942522,0.00786463,0.0132661,1.22979,1.16983,0
1780598816451759,0.640026,-0.0250098,0.00665909,0.0215759,0.919945,0.90424,-5,-0.944955,-0.897581,5.02158,5.18795,-0.00901389,0.00905987,0.0130794,1.22866,1.16537,0
1780598816475759,0.664026,-0.0245042,0.0063424,0.0214539,0.944508,0.927503,-5,-0.969012,-0.921161,5.02145,5.19639,-0.00763586,0.00907642,0.0131511,1.2275,1.16079,0
1780598816499759,0.688026,-0.0240244,0.00607757,0.0213623,0.969058,0.950684,-5,-0.993083,-0.944606,5.02136,5.20505,-0.00773242,0.00950623,0.0125723,1.2263,1.15609,0
1780598816515759,0.704026,-0.0237433,0.00592898,0.0213318,0.993512,0.973701,-5,-1.01726,-0.967772,5.02133,5.21394,-0.00870777,0.00958886,0.0125507,1.22507,1.15129,0
1780598816531759,0.720026,-0.023497,0.0058096,0.0213013,1.01804,0.996711,-5,-1.04153,-0.990901,5.0213,5.22304,-0.00982479,0.0103449,0.0121166,1.22382,1.14636,0
1780598816555759,0.744026,-0.0231943,0.00567005,0.0213013,1.04248,1.01957,-5,-1.06568,-1.0139,5.0213,5.23232,-0.00994203,0.0103716,0.0114959,1.22253,1.14132,0
1780598816579759,0.768026,-0.0229046,0.00559086,0.0213013,1.06696,1.04238,-5,-1.08986,-1.03679,5.0213,5.24178,-0.00856377,0.0114581,0.0111069,1.22121,1.13616,0
1780598816595759,0.784026,-0.0227203,0.00556628,0.0213013,1.09134,1.06503,-5,-1.11406,-1.05946,5.0213,5.25139,-0.0082364,0.0118185,0.0109046,1.21986,1.1309,0
1780598816619759,0.808026,-0.0224627,0.00554625,0.0213318,1.11573,1.0876,-5,-1.13819,-1.08205,5.02133,5.26119,-0.00758382,0.0106633,0.00947571,1.21848,1.12551,0
1780598816635759,0.824026,-0.0223031,0.00553876,0.0213318,1.14019,1.11015,-5,-1.1625,-1.10461,5.02133,5.27118,-0.00668436,0.0110814,0.00813253,1.21707,1.12,0
1780598816659759,0.848026,-0.0220712,0.00556327,0.0213318,1.16442,1.13241,-5,-1.1865,-1.12684,5.02133,5.28122,-0.00631907,0.0115625,0.00722982,1.21563,1.11441,0
1780598816675759,0.864026,-0.0219313,0.00559884,0.0213623,1.18882,1.15473,-5,-1.21075,-1.14913,5.02136,5.29155,-0.00596863,0.0112097,0.00828704,1.21415,1.10867,0
1780598816699759,0.888026,-0.0217253,0.00566469,0.0213928,1.21302,1.17679,-5,-1.23475,-1.17112,5.02139,5.30194,-0.00498795,0.0108239,0.0079329,1.21266,1.10286,0
1780598816715759,0.904026,-0.0215811,0.00572913,0.0214539,1.23722,1.19874,-5,-1.2588,-1.19302,5.02145,5.31252,-0.0037058,0.0121093,0.00843997,1.21113,1.09693,0
1780598816739759,0.928026,-0.0203306,0.00540496,0.020752,1.26147,1.22066,-5,-1.2818,-1.21525,5.02075,5.32239,-0.00286557,0.012318,0.007298,1.20956,1.09087,0
1780598816755759,0.944026,-0.0195316,0.0052228,0.0202942,1.28559,1.24237,-5,-1.30512,-1.23715,5.02029,5.33266,-0.00202425,0.0128973,0.00672222,1.20798,1.08473,0
1780598816779759,0.968026,-0.0183931,0.00499298,0.0196838,1.30974,1.26401,-5,-1.32813,-1.25901,5.01968,5.34287,-0.000718723,0.0123118,0.00823773,1.20635,1.07846,0
1780598816795759,0.984026,-0.017651,0.00485705,0.0192871,1.33387,1.28553,-5,-1.35152,-1.28067,5.01929,5.3535,0.000822352,0.0110004,0.00640854,1.2047,1.07208,0
