t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg
0.102105,-0.032071,0.010279,-0.024261,0.707679,0.963070,0.149966,0.739749,0.952791,0.174227,1.218768,1.206250,81.781207
0.102129,-0.032071,0.010279,-0.024261,0.707678,0.963074,0.149966,0.739749,0.952795,0.174227,1.218771,1.206253,81.781226
0.112078,-0.032071,0.010279,-0.024261,0.707678,0.963078,0.149966,0.739748,0.952799,0.174227,1.218774,1.206256,81.781244
0.112110,-0.032071,0.010279,-0.024261,0.707677,0.963082,0.149966,0.739748,0.952803,0.174227,1.218776,1.206259,81.781263
0.112119,-0.032071,0.010279,-0.024261,0.707677,0.963085,0.149966,0.739747,0.952807,0.174227,1.218779,1.206262,81.781281
0.122105,-0.031573,0.010118,-0.023926,0.707676,0.963089,0.149966,0.739249,0.952971,0.173892,1.218557,1.206086,81.795719
0.122140,-0.031573,0.010118,-0.023926,0.707676,0.963093,0.149966,0.739249,0.952975,0.173892,1.218560,1.206088,81.795737
0.132077,-0.031573,0.010118,-0.023926,0.707676,0.963097,0.149966,0.739248,0.952979,0.173892,1.218562,1.206091,81.795756
0.132109,-0.031573,0.010118,-0.023926,0.707675,0.963101,0.149966,0.739248,0.952983,0.173892,1.218565,1.206094,81.795774
0.132123,-0.031573,0.010118,-0.023926,0.707675,0.963105,0.149966,0.739247,0.952987,0.173892,1.218568,1.206097,81.795793
0.142064,-0.031269,0.010026,-0.023712,0.707674,0.963109,0.149966,0.738943,0.953083,0.173678,1.218428,1.205987,81.804994
0.142096,-0.031269,0.010026,-0.023712,0.707674,0.963113,0.149966,0.738943,0.953087,0.173678,1.218431,1.205989,81.805012
0.152030,-0.031269,0.010026,-0.023712,0.707673,0.963117,0.149966,0.738942,0.953091,0.173678,1.218434,1.205992,81.805031
0.152056,-0.031269,0.010026,-0.023712,0.707673,0.963121,0.149966,0.738942,0.953095,0.173678,1.218437,1.205995,81.805049
0.152069,-0.031269,0.010026,-0.023712,0.707672,0.963125,0.149966,0.738941,0.953098,0.173678,1.218440,1.205998,81.805068
0.162090,-0.030977,0.009932,-0.023529,0.707672,0.963129,0.149966,0.738649,0.953197,0.173495,1.218314,1.205897,81.812914
0.162122,-0.030977,0.009932,-0.023529,0.707671,0.963133,0.149966,0.738649,0.953201,0.173495,1.218316,1.205900,81.812933
0.172098,-0.030977,0.009932,-0.023529,0.707671,0.963137,0.149966,0.738648,0.953205,0.173495,1.218319,1.205903,81.812951
0.172130,-0.030977,0.009932,-0.023529,0.707670,0.963141,0.149966,0.738648,0.953209,0.173495,1.218322,1.205905,81.812970
0.172143,-0.030977,0.009932,-0.023529,0.707670,0.963145,0.149966,0.738647,0.953213,0.173495,1.218325,1.205908,81.812988
