timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780598518023408,0,-0.0671159,-0.0122018,0.00823975,0.0251114,0.0251111,-5,-0.0922273,-0.0373129,5.00824,5.00923,0.000105587,0.0148813,0.000978085,1.24998,1.24994,0
1780598518047408,0.024,-0.0663676,-0.0122223,0.00796509,0.0501825,0.05018,-5,-0.11655,-0.0624024,5.00797,5.00971,-0.000772432,0.0149335,0.00163834,1.24994,1.24975,0
1780598518063408,0.04,-0.0659053,-0.012224,0.00775146,0.0752522,0.0752437,-5,-0.141157,-0.0874677,5.00775,5.0105,-0.00028329,0.0142827,0.000823449,1.24986,1.24943,0
1780598518087408,0.064,-0.0652359,-0.0122331,0.00750732,0.100157,0.100137,-5,-0.165393,-0.11237,5.00751,5.0115,0.00066087,0.0132416,0.000824211,1.24975,1.249,0
1780598518103408,0.08,-0.0648226,-0.0122297,0.00735474,0.125193,0.125154,-5,-0.190016,-0.137384,5.00735,5.01284,-0.000615973,0.0135721,0.000478082,1.24961,1.24843,0
1780598518127408,0.104,-0.0642741,-0.0122652,0.00720215,0.150178,0.15011,-5,-0.214452,-0.162376,5.0072,5.01442,-0.000448449,0.0123056,-0.000218105,1.24944,1.24774,0
1780598518143408,0.12,-0.0639367,-0.0122848,0.00708008,0.175165,0.175057,-5,-0.239102,-0.187342,5.00708,5.01629,-0.00109776,0.0120664,-0.0003467,1.24923,1.24693,0
1780598518167408,0.144,-0.0634702,-0.0122878,0.00692749,0.200126,0.199966,-5,-0.263596,-0.212254,5.00693,5.01835,-0.00154413,0.0130172,-0.000361477,1.249,1.24599,0
1780598518183408,0.16,-0.0631827,-0.0122713,0.00683594,0.225145,0.224917,-5,-0.288328,-0.237188,5.00684,5.02074,-0.00130259,0.0125317,0.000112568,1.24873,1.24493,0
1780598518207408,0.184,-0.0627755,-0.0122343,0.00674438,0.250026,0.249713,-5,-0.312801,-0.261947,5.00674,5.02334,-0.00107656,0.0118328,0.00188565,1.24844,1.24375,0
1780598518223408,0.2,-0.0625078,-0.0122031,0.00671387,0.275062,0.274646,-5,-0.33757,-0.286849,5.00671,5.02627,0.000256807,0.0111319,0.00221016,1.24811,1.24243,0
1780598518239408,0.216,-0.0622277,-0.0121849,0.00668335,0.300167,0.299626,-5,-0.362395,-0.311811,5.00668,5.02946,0.00172985,0.00993124,0.00292155,1.24775,1.24099,0
1780598518263408,0.24,-0.0618183,-0.0121636,0.00668335,0.325073,0.324385,-5,-0.386891,-0.336549,5.00668,5.03287,0.00140215,0.00962264,0.00510106,1.24736,1.23943,0
1780598518287408,0.264,-0.06144,-0.0121119,0.00671387,0.349895,0.349037,-5,-0.411335,-0.361149,5.00671,5.03655,0.000779334,0.0108881,0.0051669,1.24694,1.23776,0
1780598518303408,0.28,-0.0612209,-0.0120397,0.00674438,0.374964,0.373909,-5,-0.436185,-0.385948,5.00674,5.04051,-0.000635501,0.0116629,0.00461595,1.24648,1.23594,0
1780598518319408,0.296,-0.0610285,-0.0119447,0.00674438,0.399766,0.398486,-5,-0.460795,-0.410431,5.00674,5.04463,-0.00120033,0.0126219,0.00324476,1.246,1.23402,0
1780598518343408,0.32,-0.0607687,-0.0117593,0.00671387,0.424748,0.423212,-5,-0.485516,-0.434972,5.00671,5.04897,-0.000885651,0.0134649,0.00370828,1.24548,1.23196,0
1780598518367408,0.344,-0.059667,-0.0122143,0.00650024,0.449592,0.44777,-5,-0.509259,-0.459985,5.0065,5.05331,-0.00151246,0.0131839,0.00273136,1.24494,1.22979,0
1780598518383408,0.36,-0.0589801,-0.0124814,0.00640869,0.474497,0.472355,-5,-0.533477,-0.484837,5.00641,5.05804,-0.00106918,0.0138751,0.00367065,1.24436,1.22749,0
1780598518407408,0.384,-0.0579915,-0.0128366,0.0062561,0.49937,0.496873,-5,-0.557361,-0.50971,5.00626,5.06291,0.00044694,0.012726,0.00512832,1.24375,1.22506,0
1780598518423408,0.4,-0.0573554,-0.0130601,0.00622559,0.524191,0.521303,-5,-0.581547,-0.534363,5.00623,5.06814,0.000914044,0.012582,0.00598683,1.24311,1.22252,0
1780598518447408,0.424,-0.0564575,-0.0133492,0.00616455,0.549095,0.545773,-5,-0.605552,-0.559123,5.00616,5.07356,0.00124872,0.0129971,0.00686417,1.24244,1.21985,0
1780598518463408,0.44,-0.0559001,-0.0135253,0.00613403,0.574098,0.570301,-5,-0.629998,-0.583826,5.00613,5.07928,-0.000234259,0.0115448,0.00669222,1.24173,1.21704,0
1780598518487408,0.464,-0.0551495,-0.0137672,0.006073,0.598775,0.594466,-5,-0.653924,-0.608233,5.00607,5.08511,-0.000740692,0.0123285,0.00633542,1.241,1.21415,0
1780598518503408,0.48,-0.054675,-0.0139048,0.006073,0.6236,0.618731,-5,-0.678275,-0.632636,5.00607,5.09127,0.000450725,0.0120023,0.00629177,1.24024,1.21111,0
1780598518519408,0.496,-0.0542047,-0.0140281,0.00604248,0.648405,0.64293,-5,-0.70261,-0.656958,5.00604,5.09762,0.000829305,0.0122736,0.0061286,1.23944,1.20796,0
1780598518543408,0.52,-0.0535523,-0.014178,0.00601196,0.673178,0.667049,-5,-0.726731,-0.681227,5.00601,5.10415,-0.000583625,0.0122388,0.00591747,1.23862,1.20468,0
1780598518567408,0.544,-0.0529913,-0.0142784,0.00601196,0.697936,0.691103,-5,-0.750927,-0.705382,5.00601,5.11093,-0.00261885,0.0133356,0.00554538,1.23776,1.20129,0
1780598518583408,0.56,-0.052667,-0.0143266,0.00604248,0.722661,0.715073,-5,-0.775328,-0.7294,5.00604,5.11797,-0.00252719,0.0126847,0.00503519,1.23688,1.19778,0
1780598518607408,0.584,-0.0522014,-0.0143542,0.00604248,0.74739,0.738993,-5,-0.799591,-0.753347,5.00604,5.12517,-0.00166757,0.0140715,0.00479338,1.23596,1.19414,0
1780598518623408,0.6,-0.0519043,-0.0143463,0.00604248,0.772047,0.762788,-5,-0.823951,-0.777134,5.00604,5.13257,-0.00127308,0.0147389,0.00402245,1.23501,1.19039,0
1780598518647408,0.624,-0.0514825,-0.0143151,0.00604248,0.796768,0.786587,-5,-0.848251,-0.800902,5.00604,5.14018,-0.000518872,0.0139551,0.00336429,1.23403,1.18652,0
1780598518663408,0.64,-0.0512166,-0.014294,0.00601196,0.821457,0.810295,-5,-0.872673,-0.824589,5.00601,5.14798,2.5244e-06,0.0137263,0.00169982,1.23301,1.18252,0
1780598518679408,0.656,-0.0509573,-0.0142555,0.00601196,0.846128,0.833925,-5,-0.897086,-0.84818,5.00601,5.156,0.000249281,0.0139713,0.00151736,1.23197,1.17841,0
1780598518703408,0.68,-0.0505904,-0.0141696,0.00598145,0.870801,0.857493,-5,-0.921391,-0.871662,5.00598,5.16417,0.00038253,0.014186,0.00160339,1.2309,1.17417,0
1780598518727408,0.704,-0.0502418,-0.0140856,0.00595093,0.895365,0.880892,-5,-0.945607,-0.894978,5.00595,5.17249,0.00157853,0.0138177,0.00118669,1.22979,1.16983,0
1780598518743408,0.72,-0.0500126,-0.0140227,0.00595093,0.919917,0.904213,-5,-0.969929,-0.918236,5.00595,5.18107,0.00255994,0.0145607,0.00202654,1.22866,1.16538,0
1780598518767408,0.744,-0.0488953,-0.0140437,0.0055542,0.944482,0.927478,-5,-0.993377,-0.941522,5.00555,5.1893,0.00262515,0.0148157,0.00123273,1.2275,1.1608,0
1780598518783408,0.76,-0.0479283,-0.0140907,0.00518799,0.969053,0.950678,-5,-1.01698,-0.964769,5.00519,5.19778,0.00361551,0.0152783,0.000231797,1.2263,1.15609,0
1780598518807408,0.784,-0.0465553,-0.0141384,0.00466919,0.993593,0.973777,-5,-1.04015,-0.987916,5.00467,5.20621,0.00423458,0.0149299,0.00154438,1.22507,1.15128,0
