t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg
0.082461,-0.064823,-0.012230,-0.007355,0.627054,1.119956,0.149864,0.691877,1.132185,0.157218,1.336134,1.326852,83.242547
0.082526,-0.064823,-0.012230,-0.007355,0.627055,1.119959,0.149864,0.691878,1.132189,0.157218,1.336138,1.326856,83.242565
0.082553,-0.064823,-0.012230,-0.007355,0.627056,1.119963,0.149864,0.691879,1.132193,0.157218,1.336142,1.326860,83.242584
0.092075,-0.064823,-0.012230,-0.007355,0.627057,1.119967,0.149864,0.691880,1.132196,0.157218,1.336145,1.326863,83.242602
0.092114,-0.064823,-0.012230,-0.007355,0.627058,1.119970,0.149864,0.691881,1.132200,0.157218,1.336149,1.326867,83.242621
0.101987,-0.064274,-0.012265,-0.007202,0.627059,1.119974,0.149864,0.691334,1.132239,0.157066,1.335881,1.326615,83.247848
0.102015,-0.064274,-0.012265,-0.007202,0.627060,1.119978,0.149864,0.691335,1.132243,0.157066,1.335884,1.326619,83.247867
0.102030,-0.064274,-0.012265,-0.007202,0.627062,1.119981,0.149864,0.691336,1.132247,0.157066,1.335888,1.326623,83.247885
0.112083,-0.064274,-0.012265,-0.007202,0.627063,1.119985,0.149864,0.691337,1.132250,0.157066,1.335892,1.326626,83.247904
0.112115,-0.064274,-0.012265,-0.007202,0.627064,1.119989,0.149864,0.691338,1.132254,0.157066,1.335895,1.326630,83.247922
0.121931,-0.063937,-0.012285,-0.007080,0.627065,1.119993,0.149864,0.691001,1.132277,0.156944,1.335727,1.326475,83.252338
0.121956,-0.063937,-0.012285,-0.007080,0.627066,1.119996,0.149864,0.691002,1.132281,0.156944,1.335730,1.326478,83.252357
0.121970,-0.063937,-0.012285,-0.007080,0.627067,1.120000,0.149864,0.691003,1.132285,0.156944,1.335734,1.326482,83.252375
0.132029,-0.063937,-0.012285,-0.007080,0.627068,1.120004,0.149864,0.691005,1.132288,0.156944,1.335738,1.326486,83.252394
0.132059,-0.063937,-0.012285,-0.007080,0.627069,1.120007,0.149864,0.691006,1.132292,0.156944,1.335741,1.326489,83.252412
0.141923,-0.063470,-0.012288,-0.006927,0.627070,1.120011,0.149864,0.690540,1.132299,0.156791,1.335488,1.326253,83.257720
0.141944,-0.063470,-0.012288,-0.006927,0.627071,1.120015,0.149864,0.690541,1.132302,0.156791,1.335492,1.326256,83.257738
0.141955,-0.063470,-0.012288,-0.006927,0.627072,1.120018,0.149864,0.690542,1.132306,0.156791,1.335496,1.326260,83.257757
0.152016,-0.063470,-0.012288,-0.006927,0.627073,1.120022,0.149864,0.690543,1.132310,0.156791,1.335499,1.326264,83.257775
0.152041,-0.063470,-0.012288,-0.006927,0.627074,1.120026,0.149864,0.690544,1.132313,0.156791,1.335503,1.326267,83.257794
0.161927,-0.063183,-0.012271,-0.006836,0.627075,1.120029,0.149864,0.690258,1.132301,0.156700,1.335333,1.326107,83.260889
0.161955,-0.063183,-0.012271,-0.006836,0.627076,1.120033,0.149864,0.690259,1.132304,0.156700,1.335337,1.326111,83.260907
0.161962,-0.063183,-0.012271,-0.006836,0.627077,1.120037,0.149864,0.690260,1.132308,0.156700,1.335341,1.326115,83.260926
0.171988,-0.063183,-0.012271,-0.006836,0.627078,1.120040,0.149864,0.690261,1.132312,0.156700,1.335344,1.326118,83.260944
0.172005,-0.063183,-0.012271,-0.006836,0.627079,1.120044,0.149864,0.690262,1.132315,0.156700,1.335348,1.326122,83.260963
0.182018,-0.062775,-0.012234,-0.006744,0.627080,1.120048,0.149864,0.689856,1.132282,0.156608,1.335099,1.325882,83.263657
0.182033,-0.062775,-0.012234,-0.006744,0.627081,1.120051,0.149864,0.689857,1.132286,0.156608,1.335103,1.325886,83.263675
0.182040,-0.062775,-0.012234,-0.006744,0.627082,1.120055,0.149864,0.689858,1.132289,0.156608,1.335107,1.325890,83.263694
0.192033,-0.062775,-0.012234,-0.006744,0.627084,1.120059,0.149864,0.689859,1.132293,0.156608,1.335110,1.325893,83.263712
0.192053,-0.062775,-0.012234,-0.006744,0.627085,1.120062,0.149864,0.689860,1.132297,0.156608,1.335114,1.325897,83.263731
0.201970,-0.062508,-0.012203,-0.006714,0.627086,1.120066,0.149864,0.689593,1.132269,0.156578,1.334949,1.325735,83.264214
0.202010,-0.062508,-0.012203,-0.006714,0.627087,1.120070,0.149864,0.689594,1.132273,0.156578,1.334953,1.325738,83.264233
0.202024,-0.062508,-0.012203,-0.006714,0.627088,1.120074,0.149864,0.689595,1.132277,0.156578,1.334956,1.325742,83.264251
0.212036,-0.062508,-0.012203,-0.006714,0.627089,1.120077,0.149864,0.689597,1.132280,0.156578,1.334960,1.325746,83.264270
0.212063,-0.062508,-0.012203,-0.006714,0.627090,1.120081,0.149864,0.689598,1.132284,0.156578,1.334964,1.325750,83.264288
0.221960,-0.062228,-0.012185,-0.006683,0.627091,1.120085,0.149864,0.689319,1.132269,0.156547,1.334804,1.325592,83.264796
0.221981,-0.062228,-0.012185,-0.006683,0.627092,1.120088,0.149864,0.689320,1.132273,0.156547,1.334807,1.325596,83.264814
0.221990,-0.062228,-0.012185,-0.006683,0.627093,1.120092,0.149864,0.689321,1.132277,0.156547,1.334811,1.325599,83.264833
0.231983,-0.062228,-0.012185,-0.006683,0.627094,1.120096,0.149864,0.689322,1.132281,0.156547,1.334815,1.325603,83.264851
0.232008,-0.062228,-0.012185,-0.006683,0.627095,1.120099,0.149864,0.689323,1.132284,0.156547,1.334818,1.325607,83.264870
0.241977,-0.061818,-0.012164,-0.006683,0.627096,1.120103,0.149864,0.688914,1.132267,0.156547,1.334593,1.325379,83.263725
0.242026,-0.061818,-0.012164,-0.006683,0.627097,1.120107,0.149864,0.688915,1.132270,0.156547,1.334596,1.325383,83.263744
0.242054,-0.061818,-0.012164,-0.006683,0.627098,1.120110,0.149864,0.688916,1.132274,0.156547,1.334600,1.325387,83.263762
0.252048,-0.061818,-0.012164,-0.006683,0.627099,1.120114,0.149864,0.688918,1.132278,0.156547,1.334604,1.325391,83.263781
0.252095,-0.061818,-0.012164,-0.006683,0.627100,1.120118,0.149864,0.688919,1.132281,0.156547,1.334607,1.325394,83.263799
