timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780838171663032,0,0.0109909,-0.010688,-0.0171814,0.100215,0.100195,-5,-0.0892245,-0.110883,4.98282,4.98485,0.0101264,-0.0429879,-0.0150638,1.24975,1.249,0
1780838171687032,0.024,0.0110313,-0.0108006,-0.0174866,0.125445,0.125405,-5,-0.114413,-0.136206,4.98251,4.98569,0.00928105,-0.0432281,-0.0159296,1.24961,1.24843,0
1780838171703032,0.04,0.0110852,-0.0108996,-0.0177002,0.15028,0.150212,-5,-0.139194,-0.161111,4.9823,4.98685,0.00968667,-0.0420576,-0.0153614,1.24944,1.24774,0
1780838171727032,0.064,0.0111665,-0.0110726,-0.0180054,0.175267,0.175159,-5,-0.1641,-0.186232,4.98199,4.98817,0.00773592,-0.041348,-0.0151568,1.24923,1.24693,0
1780838171743032,0.08,0.0112134,-0.0112241,-0.018219,0.200193,0.200033,-5,-0.18898,-0.211257,4.98178,4.98984,0.00791226,-0.042196,-0.0154971,1.249,1.24599,0
1780838171767032,0.104,0.0107925,-0.0108406,-0.0184326,0.225287,0.225058,-5,-0.214494,-0.235898,4.98157,4.99176,0.00654232,-0.0422317,-0.0141362,1.24873,1.24492,0
1780838171783032,0.12,0.0103744,-0.0104168,-0.0185547,0.250225,0.249912,-5,-0.239851,-0.260329,4.98145,4.99401,0.00660603,-0.0421711,-0.0150373,1.24843,1.24374,0
1780838171807032,0.144,0.00979652,-0.00988614,-0.0187378,0.275175,0.274758,-5,-0.265378,-0.284644,4.98126,4.99644,0.00595823,-0.041981,-0.0154079,1.24811,1.24243,0
1780838171823032,0.16,0.00943951,-0.00959287,-0.0188599,0.300223,0.299681,-5,-0.290783,-0.309274,4.98114,4.9992,0.00579326,-0.0423341,-0.0157838,1.24774,1.24099,0
1780838171847032,0.184,0.00894685,-0.00925534,-0.019104,0.325169,0.324481,-5,-0.316222,-0.333736,4.9809,5.00207,0.00489902,-0.0434006,-0.0166213,1.24735,1.23943,0
1780838171863032,0.2,0.00864908,-0.00907989,-0.0192566,0.350146,0.349286,-5,-0.341497,-0.358366,4.98074,5.00528,0.00582423,-0.0421785,-0.0171352,1.24693,1.23774,0
1780838171887032,0.224,0.00827487,-0.00888062,-0.0195618,0.375035,0.373979,-5,-0.36676,-0.382859,4.98044,5.00858,0.00707619,-0.0414054,-0.017741,1.24648,1.23593,0
1780838171903032,0.24,0.0080592,-0.00878704,-0.0197754,0.400108,0.398825,-5,-0.392049,-0.407612,4.98022,5.01223,0.00698869,-0.041236,-0.0177278,1.24599,1.23399,0
1780838171927032,0.264,0.00774649,-0.00871874,-0.0200806,0.424951,0.423414,-5,-0.417205,-0.432132,4.97992,5.01601,0.00558689,-0.0412451,-0.0179248,1.24548,1.23194,0
1780838171943032,0.28,0.00754911,-0.00870762,-0.0202942,0.449783,0.447959,-5,-0.442234,-0.456667,4.97971,5.02012,0.00473699,-0.040252,-0.0189525,1.24493,1.22977,0
1780838171967032,0.304,0.00725849,-0.00872696,-0.0206299,0.474796,0.472651,-5,-0.467538,-0.481378,4.97937,5.02438,0.00460093,-0.0406475,-0.0186395,1.24435,1.22746,0
1780838171983032,0.32,0.00709038,-0.00879772,-0.020874,0.499648,0.497147,-5,-0.492558,-0.505945,4.97913,5.02895,0.00414469,-0.0421834,-0.0182569,1.24374,1.22504,0
1780838172007032,0.344,0.00686171,-0.00897367,-0.0212097,0.524552,0.521657,-5,-0.51769,-0.530631,4.97879,5.03368,0.00330991,-0.0421856,-0.0190742,1.2431,1.22248,0
1780838172023032,0.36,0.00670862,-0.0091242,-0.0214844,0.549384,0.546057,-5,-0.542675,-0.555182,4.97852,5.03868,0.00223744,-0.0415121,-0.0187031,1.24243,1.21982,0
1780838172047032,0.384,0.00649603,-0.00939941,-0.0218201,0.574286,0.570485,-5,-0.56779,-0.579885,4.97818,5.0439,0.00222165,-0.0429076,-0.0181228,1.24173,1.21702,0
1780838172063032,0.4,0.00637069,-0.00962438,-0.0220642,0.599248,0.594928,-5,-0.592877,-0.604553,4.97794,5.04944,0.00178279,-0.0429077,-0.0185558,1.24099,1.21409,0
1780838172087032,0.424,0.00621515,-0.00999757,-0.0224304,0.623954,0.619077,-5,-0.617739,-0.629075,4.97757,5.05505,0.00290206,-0.0426179,-0.0173159,1.24023,1.21107,0
1780838172103032,0.44,0.00613944,-0.0102856,-0.0226746,0.648838,0.643352,-5,-0.642699,-0.653637,4.97733,5.06103,0.00247062,-0.0423248,-0.0189964,1.23943,1.2079,0
1780838172127032,0.464,0.00607095,-0.0107338,-0.0231018,0.673527,0.667388,-5,-0.667456,-0.678122,4.9769,5.06704,0.00240523,-0.0411024,-0.0189735,1.23861,1.20464,0
1780838172143032,0.48,0.00602865,-0.0110467,-0.023407,0.698335,0.69149,-5,-0.692306,-0.702537,4.97659,5.07339,0.00212338,-0.0410166,-0.0188469,1.23775,1.20123,0
1780838172167032,0.504,0.00582519,-0.0108055,-0.0235596,0.723112,0.71551,-5,-0.717287,-0.726316,4.97644,5.08006,0.00306324,-0.0408771,-0.0194962,1.23686,1.19771,0
1780838172183032,0.52,0.00566939,-0.01045,-0.0234985,0.747855,0.739442,-5,-0.742185,-0.749892,4.9765,5.08712,0.00384922,-0.0405807,-0.0194043,1.23594,1.19407,0
1780838172207032,0.544,0.00546951,-0.00998594,-0.023468,0.772557,0.763279,-5,-0.767087,-0.773265,4.97653,5.09433,0.0040105,-0.039681,-0.0196962,1.23499,1.19032,0
1780838172223032,0.56,0.00536812,-0.00973039,-0.0234375,0.797227,0.787028,-5,-0.791859,-0.796758,4.97656,5.10177,0.00517556,-0.0387578,-0.0187354,1.23401,1.18644,0
1780838172247032,0.584,0.0052435,-0.00939693,-0.023407,0.821895,0.810715,-5,-0.816652,-0.820112,4.97659,5.1094,0.00400131,-0.0376885,-0.0170891,1.233,1.18245,0
1780838172263032,0.6,0.00514614,-0.00922894,-0.0233765,0.846633,0.834408,-5,-0.841487,-0.843636,4.97662,5.11728,0.00209828,-0.0382769,-0.0172072,1.23195,1.17832,0
1780838172287032,0.624,0.00500936,-0.00907603,-0.0233459,0.87128,0.85795,-5,-0.866271,-0.867026,4.97665,5.12535,0.00317458,-0.039458,-0.0161601,1.23088,1.17409,0
1780838172303032,0.64,0.00495293,-0.00903258,-0.0233154,0.895917,0.881417,-5,-0.890964,-0.890449,4.97668,5.13363,0.00345702,-0.0392069,-0.0164928,1.22977,1.16973,0
1780838172327032,0.664,0.00487946,-0.00903943,-0.0233154,0.920438,0.904707,-5,-0.915558,-0.913746,4.97668,5.14204,0.0037683,-0.0396794,-0.0163691,1.22864,1.16528,0
1780838172343032,0.68,0.00485453,-0.00908073,-0.0233154,0.945081,0.928045,-5,-0.940227,-0.937126,4.97668,5.15069,0.00383532,-0.0393676,-0.0160864,1.22747,1.16068,0
1780838172367032,0.704,0.0048228,-0.00918875,-0.0233459,0.969635,0.951228,-5,-0.964813,-0.960417,4.97665,5.15949,0.00302108,-0.0386116,-0.0150532,1.22627,1.15598,0
1780838172383032,0.72,0.00480908,-0.00929055,-0.0233459,0.994158,0.974309,-5,-0.989349,-0.983599,4.97665,5.1685,0.00306101,-0.038676,-0.0138067,1.22504,1.15116,0
1780838172407032,0.744,0.00480608,-0.0094887,-0.0232544,1.01866,0.9973,-5,-1.01386,-1.00679,4.97675,5.17779,0.00322554,-0.0385646,-0.0123826,1.22378,1.14623,0
1780838172423111,0.760079,0.00481077,-0.00965755,-0.0232239,1.04312,1.02016,-5,-1.03831,-1.02982,4.97678,5.18719,0.00323808,-0.0387641,-0.0119093,1.2225,1.14119,0
1780838172447111,0.784079,0.00481154,-0.00994445,-0.0231628,1.06753,1.04291,-5,-1.06271,-1.05286,4.97684,5.1968,0.00178445,-0.0367646,-0.011387,1.22118,1.13604,0
1780838172463111,0.800079,0.00480466,-0.0101379,-0.0231018,1.092,1.06564,-5,-1.0872,-1.07578,4.9769,5.20661,0.00120541,-0.0361913,-0.0121,1.21982,1.13075,0
1780838172487111,0.824079,0.00476462,-0.0104146,-0.0230713,1.11639,1.0882,-5,-1.11162,-1.09862,4.97693,5.21656,-0.00128445,-0.0342928,-0.0120476,1.21844,1.12537,0
1780838172503111,0.840079,0.00473763,-0.0106137,-0.0230713,1.14078,1.1107,-5,-1.13605,-1.12131,4.97693,5.22664,-0.000702796,-0.0343071,-0.0121735,1.21703,1.11986,0
1780838172527111,0.864079,0.00470807,-0.0109685,-0.0231018,1.16503,1.13297,-5,-1.16033,-1.14394,4.9769,5.23684,-0.000691761,-0.0359324,-0.01272,1.21559,1.11427,0
1780838172543111,0.880079,0.00469654,-0.0112318,-0.0231018,1.18959,1.15543,-5,-1.18489,-1.16666,4.9769,5.24734,-0.000177878,-0.0360052,-0.0127213,1.21411,1.10849,0
1780838172559111,0.896079,0.00460811,-0.0110692,-0.0230408,1.21371,1.17741,-5,-1.2091,-1.18848,4.97696,5.25781,0.000308541,-0.0365982,-0.0134391,1.21261,1.10269,0
1780838172583111,0.920079,0.00437593,-0.0102604,-0.0228577,1.23796,1.19941,-5,-1.23358,-1.20967,4.97714,5.26849,0.000405086,-0.0363229,-0.0135946,1.21108,1.09675,0
1780838172607111,0.944079,0.00420803,-0.00957661,-0.0227051,1.26218,1.22131,-5,-1.25798,-1.23088,4.97729,5.2793,0.00147253,-0.0367694,-0.0131441,1.20952,1.09069,0
1780838172623111,0.960079,0.00410669,-0.00919285,-0.022583,1.28641,1.2431,-5,-1.2823,-1.2523,4.97742,5.2903,0.000598194,-0.0371924,-0.0140787,1.20792,1.08452,0
1780838172647111,0.984079,0.00394146,-0.00872675,-0.0224915,1.31052,1.2647,-5,-1.30658,-1.27343,4.97751,5.30135,-0.000746914,-0.0379715,-0.0137135,1.2063,1.07825,0
1780838172663111,1.00008,0.00383349,-0.00847416,-0.0224304,1.33471,1.28628,-5,-1.33088,-1.29475,4.97757,5.31261,-0.00163989,-0.0382299,-0.0139111,1.20464,1.07185,0
1780838172679111,1.01608,0.00372111,-0.00828816,-0.0223694,1.35879,1.30766,-5,-1.35507,-1.31594,4.97763,5.32398,-0.00210284,-0.0404277,-0.014656,1.20296,1.06537,0
1780838172703111,1.04008,0.0035745,-0.0081227,-0.0223083,1.38281,1.32887,-5,-1.37924,-1.337,4.97769,5.33547,-0.00126031,-0.0415917,-0.0135167,1.20125,1.05878,0
1780838172727111,1.06408,0.00346857,-0.00804503,-0.0222778,1.40681,1.34997,-5,-1.40334,-1.35802,4.97772,5.34708,-0.000998786,-0.041268,-0.0138149,1.1995,1.05209,0
1780838172743111,1.08008,0.00339827,-0.00804522,-0.0222473,1.43079,1.37096,-5,-1.4274,-1.37901,4.97775,5.35884,-0.00130974,-0.042462,-0.0131522,1.19773,1.04528,0
1780838172767111,1.10408,0.00332821,-0.0081196,-0.0223083,1.45476,1.39182,-5,-1.45143,-1.39994,4.97769,5.37065,-0.000551155,-0.0421313,-0.0137162,1.19592,1.03837,0
1780838172783111,1.12008,0.00329156,-0.00820547,-0.0223389,1.47869,1.41254,-5,-1.47539,-1.42075,4.97766,5.3826,-0.000613158,-0.042324,-0.0130697,1.19409,1.03135,0
1780838172807111,1.14408,0.00326864,-0.00838804,-0.0224304,1.50255,1.4331,-5,-1.49928,-1.44149,4.97757,5.39462,0.000989171,-0.0417283,-0.0130458,1.19222,1.02423,0
1780838172823111,1.16008,0.00326384,-0.00853895,-0.0224915,1.52635,1.45349,-5,-1.52308,-1.46203,4.97751,5.40675,0.00115681,-0.0414483,-0.0133732,1.19033,1.01703,0
1780838172847111,1.18408,0.00329108,-0.00882473,-0.022583,1.55017,1.47378,-5,-1.54688,-1.48261,4.97742,5.41901,0.00240979,-0.0422396,-0.0138012,1.18841,1.0097,0
1780838172863111,1.20008,0.00331097,-0.00904257,-0.0226746,1.57392,1.49391,-5,-1.57061,-1.50295,4.97733,5.43134,0.00128745,-0.0413711,-0.0133662,1.18645,1.00228,0
