t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg
0.090813,0.007258,-0.008727,0.020630,1.009927,0.979882,-0.895476,1.002668,0.988609,-0.916106,1.679863,1.408081,56.951726
0.090877,0.007258,-0.008727,0.020630,1.009927,0.979882,-0.895476,1.002669,0.988609,-0.916106,1.679864,1.408081,56.951735
0.090910,0.007258,-0.008727,0.020630,1.009928,0.979882,-0.895476,1.002669,0.988609,-0.916106,1.679864,1.408081,56.951744
0.101104,0.007258,-0.008727,0.020630,1.009928,0.979882,-0.895476,1.002670,0.988609,-0.916106,1.679864,1.408082,56.951753
0.101170,0.007258,-0.008727,0.020630,1.009929,0.979882,-0.895476,1.002670,0.988609,-0.916106,1.679865,1.408082,56.951762
0.110847,0.007090,-0.008798,0.020874,1.009929,0.979882,-0.895476,1.002839,0.988680,-0.916350,1.680140,1.408252,56.947942
0.110904,0.007090,-0.008798,0.020874,1.009930,0.979882,-0.895476,1.002840,0.988680,-0.916350,1.680141,1.408253,56.947951
0.110934,0.007090,-0.008798,0.020874,1.009931,0.979882,-0.895476,1.002840,0.988680,-0.916350,1.680141,1.408253,56.947960
0.120873,0.007090,-0.008798,0.020874,1.009931,0.979883,-0.895476,1.002841,0.988680,-0.916350,1.680142,1.408254,56.947969
0.120924,0.007090,-0.008798,0.020874,1.009932,0.979883,-0.895476,1.002841,0.988680,-0.916350,1.680142,1.408254,56.947978
0.130827,0.006862,-0.008974,0.021210,1.009932,0.979883,-0.895476,1.003071,0.988856,-0.916686,1.680565,1.408541,56.943719
0.130855,0.006862,-0.008974,0.021210,1.009933,0.979883,-0.895476,1.003071,0.988857,-0.916686,1.680566,1.408541,56.943728
0.130869,0.006862,-0.008974,0.021210,1.009934,0.979883,-0.895476,1.003072,0.988857,-0.916686,1.680566,1.408542,56.943738
0.140872,0.006862,-0.008974,0.021210,1.009934,0.979883,-0.895476,1.003072,0.988857,-0.916686,1.680567,1.408542,56.943747
0.140915,0.006862,-0.008974,0.021210,1.009935,0.979883,-0.895476,1.003073,0.988857,-0.916686,1.680567,1.408543,56.943756
0.150908,0.006709,-0.009124,0.021484,1.009935,0.979883,-0.895476,1.003227,0.989007,-0.916960,1.680897,1.408758,56.939912
0.150975,0.006709,-0.009124,0.021484,1.009936,0.979883,-0.895476,1.003227,0.989008,-0.916960,1.680898,1.408759,56.939921
0.151015,0.006709,-0.009124,0.021484,1.009936,0.979883,-0.895476,1.003228,0.989008,-0.916960,1.680898,1.408759,56.939930
0.160888,0.006709,-0.009124,0.021484,1.009937,0.979884,-0.895476,1.003228,0.989008,-0.916960,1.680898,1.408760,56.939940
0.160973,0.006709,-0.009124,0.021484,1.009938,0.979884,-0.895476,1.003229,0.989008,-0.916960,1.680899,1.408760,56.939949
0.171003,0.006496,-0.009399,0.021820,1.009938,0.979884,-0.895476,1.003442,0.989283,-0.917296,1.681371,1.409105,56.936778
0.171117,0.006496,-0.009399,0.021820,1.009939,0.979884,-0.895476,1.003443,0.989283,-0.917296,1.681372,1.409106,56.936787
0.171183,0.006496,-0.009399,0.021820,1.009940,0.979884,-0.895476,1.003443,0.989283,-0.917296,1.681372,1.409106,56.936797
0.180984,0.006496,-0.009399,0.021820,1.009940,0.979884,-0.895476,1.003444,0.989283,-0.917296,1.681372,1.409107,56.936806
0.181083,0.006496,-0.009399,0.021820,1.009941,0.979884,-0.895476,1.003445,0.989284,-0.917296,1.681373,1.409107,56.936816
