timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780919443229192,0,0.0321598,-0.00724679,0.00177002,0,0,-0.00233042,0.0321598,-0.00724679,0.00410044,0.0332202,0.027488,-0.0247253,-0.00280516,0,0,-0.0463502
1780919443253192,0.024,0.0326263,-0.00772681,0.0017395,0,0,-0.00334877,0.0326263,-0.00772681,0.00508827,0.0339127,0.0276226,-0.0258461,-0.00354379,0,0,-0.0554679
1780919443269192,0.04,0.0329387,-0.00804963,0.00170898,0,0,-0.0045496,0.0329387,-0.00804963,0.00625859,0.0344808,0.0270298,-0.0270647,-0.00325867,0,0,-0.0645428
1780919443293192,0.064,0.0322824,-0.00752202,0.00164795,0,0,-0.00594321,0.0322824,-0.00752202,0.00759116,0.0340053,0.0259294,-0.0286664,-0.00329932,0,0,-0.0736419
1780919443309192,0.08,0.0318833,-0.00721779,0.00161743,0,0,-0.0074989,0.0318833,-0.00721779,0.00911633,0.0339375,0.0246306,-0.0276534,-0.0029894,0,0,-0.0825799
1780919443333192,0.104,0.0313506,-0.00680982,0.00152588,0,0,-0.00924031,0.0313506,-0.00680982,0.0107662,0.03384,0.025122,-0.0272554,-0.00303733,0,0,-0.0915112
1780919443349192,0.12,0.0310531,-0.00656026,0.00149536,0,0,-0.0111697,0.0310531,-0.00656026,0.0126651,0.0341721,0.0250278,-0.0262857,-0.00242476,0,0,-0.100439
1780919443373192,0.144,0.0306856,-0.00622853,0.00146484,0,0,-0.0132686,0.0306856,-0.00622853,0.0147334,0.0346046,0.0248696,-0.0263853,-0.00227566,0,0,-0.109281
1780919443389192,0.16,0.0304735,-0.00604589,0.00146484,0,0,-0.0155323,0.0304735,-0.00604589,0.0169972,0.0354131,0.0242285,-0.0270907,-0.00166913,0,0,-0.118032
1780919443413192,0.184,0.0302082,-0.00581393,0.00146484,0,0,-0.0179843,0.0302082,-0.00581393,0.0194492,0.0363951,0.0240821,-0.0264005,-0.00143904,0,0,-0.126787
1780919443429192,0.2,0.0300684,-0.00567814,0.00146484,0,0,-0.0206027,0.0300684,-0.00567814,0.0220676,0.037727,0.0239576,-0.0256552,-0.000515622,0,0,-0.135468
1780919443453192,0.224,0.0299355,-0.00552012,0.00143433,0,0,-0.0233863,0.0299355,-0.00552012,0.0248207,0.0392769,0.0230774,-0.026316,-0.000275203,0,0,-0.144079
1780919443469192,0.24,0.02986,-0.00544377,0.00140381,0,0,-0.0263573,0.02986,-0.00544377,0.0277611,0.0411331,0.022607,-0.0264006,-0.00109718,0,0,-0.152689
1780919443493192,0.264,0.0297737,-0.00535324,0.00134277,0,0,-0.029511,0.0297737,-0.00535324,0.0308538,0.0432098,0.0225834,-0.0265166,-0.0016906,0,0,-0.161281
1780919443509192,0.28,0.0297561,-0.00531923,0.00128174,0,0,-0.0328186,0.0297561,-0.00531923,0.0341004,0.0455692,0.022751,-0.0262973,-0.00180081,0,0,-0.169781
1780919443533192,0.304,0.0297645,-0.00529534,0.00112915,0,0,-0.0363016,0.0297645,-0.00529534,0.0374308,0.0481147,0.0228942,-0.0264335,-0.00365204,0,0,-0.178247
1780919443549192,0.32,0.0298015,-0.00531146,0.0010376,0,0,-0.0399565,0.0298015,-0.00531146,0.0409941,0.0509593,0.0224334,-0.0272794,-0.00354755,0,0,-0.186673
1780919443573192,0.344,0.029874,-0.00535441,0.00088501,0,0,-0.0437741,0.029874,-0.00535441,0.0446591,0.0539959,0.0216198,-0.0258552,-0.00499055,0,0,-0.195041
1780919443589192,0.36,0.0299436,-0.00538535,0.000793457,0,0,-0.0477569,0.0299436,-0.00538535,0.0485503,0.0572953,0.0214335,-0.0252645,-0.00537502,0,0,-0.203358
1780919443613192,0.384,0.0300648,-0.00546096,0.000640869,0,0,-0.0519069,0.0300648,-0.00546096,0.0525478,0.0607864,0.0215261,-0.0260355,-0.00412937,0,0,-0.21163
1780919443629192,0.4,0.0301684,-0.00553287,0.000549316,0,0,-0.0562234,0.0301684,-0.00553287,0.0567727,0.0645282,0.0213146,-0.0260245,-0.00429249,0,0,-0.219859
