t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg
0.083272,0.029860,-0.005444,-0.001404,1.009927,0.979880,-0.895481,0.980067,0.985323,-0.894077,1.652503,1.389746,57.245270
0.083307,0.029860,-0.005444,-0.001404,1.009928,0.979880,-0.895481,0.980068,0.985323,-0.894077,1.652504,1.389747,57.245278
0.083320,0.029860,-0.005444,-0.001404,1.009929,0.979880,-0.895481,0.980069,0.985324,-0.894077,1.652504,1.389747,57.245287
0.093395,0.029860,-0.005444,-0.001404,1.009929,0.979880,-0.895481,0.980069,0.985324,-0.894077,1.652505,1.389747,57.245296
0.093424,0.029860,-0.005444,-0.001404,1.009930,0.979880,-0.895481,0.980070,0.985324,-0.894077,1.652505,1.389748,57.245305
0.103140,0.029774,-0.005353,-0.001343,1.009930,0.979880,-0.895481,0.980156,0.985233,-0.894138,1.652536,1.389745,57.243473
0.103168,0.029774,-0.005353,-0.001343,1.009931,0.979880,-0.895481,0.980157,0.985233,-0.894138,1.652536,1.389746,57.243482
0.103182,0.029774,-0.005353,-0.001343,1.009931,0.979880,-0.895481,0.980158,0.985233,-0.894138,1.652536,1.389746,57.243491
0.113154,0.029774,-0.005353,-0.001343,1.009932,0.979880,-0.895481,0.980158,0.985234,-0.894138,1.652537,1.389746,57.243500
0.113186,0.029774,-0.005353,-0.001343,1.009933,0.979880,-0.895481,0.980159,0.985234,-0.894138,1.652537,1.389747,57.243509
0.123151,0.029756,-0.005319,-0.001282,1.009933,0.979880,-0.895481,0.980177,0.985200,-0.894199,1.652561,1.389736,57.241520
0.123182,0.029756,-0.005319,-0.001282,1.009934,0.979881,-0.895481,0.980178,0.985200,-0.894199,1.652561,1.389736,57.241529
0.123199,0.029756,-0.005319,-0.001282,1.009934,0.979881,-0.895481,0.980178,0.985200,-0.894199,1.652562,1.389737,57.241538
0.133197,0.029756,-0.005319,-0.001282,1.009935,0.979881,-0.895481,0.980179,0.985200,-0.894199,1.652562,1.389737,57.241548
0.133235,0.029756,-0.005319,-0.001282,1.009936,0.979881,-0.895481,0.980179,0.985200,-0.894199,1.652562,1.389738,57.241557
0.143207,0.029765,-0.005295,-0.001129,1.009936,0.979881,-0.895481,0.980172,0.985176,-0.894351,1.652626,1.389715,57.236688
0.143271,0.029765,-0.005295,-0.001129,1.009937,0.979881,-0.895481,0.980172,0.985176,-0.894351,1.652627,1.389716,57.236697
0.143297,0.029765,-0.005295,-0.001129,1.009937,0.979881,-0.895481,0.980173,0.985176,-0.894351,1.652627,1.389716,57.236707
0.153330,0.029765,-0.005295,-0.001129,1.009938,0.979881,-0.895481,0.980173,0.985177,-0.894351,1.652627,1.389717,57.236716
0.153399,0.029765,-0.005295,-0.001129,1.009939,0.979881,-0.895481,0.980174,0.985177,-0.894351,1.652628,1.389717,57.236726
0.163254,0.029801,-0.005311,-0.001038,1.009939,0.979881,-0.895481,0.980138,0.985193,-0.894443,1.652665,1.389703,57.233792
0.163297,0.029801,-0.005311,-0.001038,1.009940,0.979882,-0.895481,0.980138,0.985193,-0.894443,1.652666,1.389704,57.233802
0.163316,0.029801,-0.005311,-0.001038,1.009940,0.979882,-0.895481,0.980139,0.985193,-0.894443,1.652666,1.389704,57.233812
0.173128,0.029801,-0.005311,-0.001038,1.009941,0.979882,-0.895481,0.980139,0.985193,-0.894443,1.652667,1.389705,57.233822
0.173172,0.029801,-0.005311,-0.001038,1.009942,0.979882,-0.895480,0.980140,0.985193,-0.894443,1.652667,1.389705,57.233831
0.183105,0.029874,-0.005354,-0.000885,1.009942,0.979882,-0.895480,0.980068,0.985236,-0.894595,1.652733,1.389685,57.229005
0.183139,0.029874,-0.005354,-0.000885,1.009943,0.979882,-0.895480,0.980069,0.985236,-0.894595,1.652733,1.389685,57.229015
0.183154,0.029874,-0.005354,-0.000885,1.009943,0.979882,-0.895480,0.980069,0.985237,-0.894595,1.652734,1.389686,57.229024
0.193215,0.029874,-0.005354,-0.000885,1.009944,0.979882,-0.895480,0.980070,0.985237,-0.894595,1.652734,1.389686,57.229034
0.193303,0.029874,-0.005354,-0.000885,1.009945,0.979882,-0.895480,0.980071,0.985237,-0.894595,1.652734,1.389687,57.229044
0.203135,0.029944,-0.005385,-0.000793,1.009945,0.979882,-0.895480,0.980002,0.985268,-0.894687,1.652761,1.389660,57.225874
0.203220,0.029944,-0.005385,-0.000793,1.009946,0.979883,-0.895480,0.980002,0.985268,-0.894687,1.652762,1.389661,57.225884
0.203272,0.029944,-0.005385,-0.000793,1.009946,0.979883,-0.895480,0.980003,0.985268,-0.894687,1.652762,1.389661,57.225894
