t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg
0.083704,0.003460,-0.009021,0.013275,1.009900,0.979879,-0.895477,1.006440,0.988900,-0.908752,1.678296,1.410973,57.216016
0.083776,0.003460,-0.009021,0.013275,1.009900,0.979879,-0.895477,1.006440,0.988900,-0.908752,1.678295,1.410973,57.216015
0.093739,0.003460,-0.009021,0.013275,1.009899,0.979879,-0.895477,1.006440,0.988900,-0.908752,1.678295,1.410973,57.216013
0.093775,0.003460,-0.009021,0.013275,1.009899,0.979879,-0.895477,1.006440,0.988900,-0.908752,1.678295,1.410973,57.216012
0.093797,0.003460,-0.009021,0.013275,1.009899,0.979879,-0.895477,1.006440,0.988900,-0.908752,1.678295,1.410973,57.216010
0.103476,0.003075,-0.008808,0.013611,1.009899,0.979879,-0.895477,1.006824,0.988687,-0.909088,1.678582,1.411098,57.208689
0.103514,0.003075,-0.008808,0.013611,1.009899,0.979879,-0.895477,1.006824,0.988687,-0.909088,1.678582,1.411098,57.208688
0.113737,0.003075,-0.008808,0.013611,1.009899,0.979879,-0.895477,1.006824,0.988687,-0.909088,1.678582,1.411098,57.208688
0.113771,0.003075,-0.008808,0.013611,1.009899,0.979879,-0.895477,1.006824,0.988687,-0.909088,1.678582,1.411098,57.208687
0.113790,0.003075,-0.008808,0.013611,1.009899,0.979879,-0.895477,1.006824,0.988687,-0.909088,1.678582,1.411098,57.208686
0.123525,0.002706,-0.008487,0.013794,1.009899,0.979879,-0.895477,1.007193,0.988366,-0.909271,1.678713,1.411136,57.204141
0.123571,0.002706,-0.008487,0.013794,1.009899,0.979879,-0.895477,1.007193,0.988366,-0.909271,1.678713,1.411136,57.204141
0.133555,0.002706,-0.008487,0.013794,1.009899,0.979879,-0.895477,1.007193,0.988366,-0.909271,1.678713,1.411136,57.204140
0.133607,0.002706,-0.008487,0.013794,1.009899,0.979879,-0.895477,1.007192,0.988366,-0.909271,1.678713,1.411136,57.204140
0.133636,0.002706,-0.008487,0.013794,1.009899,0.979879,-0.895477,1.007192,0.988366,-0.909271,1.678713,1.411136,57.204140
0.143497,0.002209,-0.008082,0.014069,1.009899,0.979879,-0.895477,1.007690,0.987961,-0.909545,1.678922,1.411207,57.197574
0.143557,0.002209,-0.008082,0.014069,1.009899,0.979879,-0.895477,1.007690,0.987961,-0.909545,1.678922,1.411207,57.197574
0.153494,0.002209,-0.008082,0.014069,1.009899,0.979879,-0.895477,1.007690,0.987961,-0.909545,1.678922,1.411207,57.197574
0.153530,0.002209,-0.008082,0.014069,1.009899,0.979879,-0.895477,1.007690,0.987961,-0.909545,1.678922,1.411207,57.197574
0.153552,0.002209,-0.008082,0.014069,1.009899,0.979879,-0.895477,1.007690,0.987961,-0.909545,1.678922,1.411207,57.197574
0.163467,0.001914,-0.007874,0.014252,1.009899,0.979879,-0.895477,1.007984,0.987753,-0.909728,1.679075,1.411272,57.193526
0.163508,0.001914,-0.007874,0.014252,1.009899,0.979879,-0.895477,1.007984,0.987753,-0.909728,1.679076,1.411272,57.193526
0.173505,0.001914,-0.007874,0.014252,1.009899,0.979879,-0.895477,1.007985,0.987753,-0.909728,1.679076,1.411272,57.193527
0.173545,0.001914,-0.007874,0.014252,1.009899,0.979879,-0.895477,1.007985,0.987753,-0.909728,1.679076,1.411272,57.193529
0.173568,0.001914,-0.007874,0.014252,1.009899,0.979879,-0.895477,1.007985,0.987753,-0.909728,1.679076,1.411272,57.193530
0.183501,0.001507,-0.007622,0.014496,1.009899,0.979879,-0.895477,1.008392,0.987501,-0.909973,1.679304,1.411387,57.188653
0.183548,0.001507,-0.007622,0.014496,1.009899,0.979879,-0.895477,1.008393,0.987501,-0.909973,1.679304,1.411387,57.188654
0.193602,0.001507,-0.007622,0.014496,1.009899,0.979879,-0.895477,1.008393,0.987501,-0.909973,1.679305,1.411387,57.188656
0.193664,0.001507,-0.007622,0.014496,1.009899,0.979879,-0.895477,1.008393,0.987501,-0.909972,1.679305,1.411387,57.188657
0.193696,0.001507,-0.007622,0.014496,1.009900,0.979879,-0.895477,1.008393,0.987501,-0.909972,1.679305,1.411387,57.188659
0.203529,0.001262,-0.007505,0.014679,1.009900,0.979879,-0.895477,1.008638,0.987384,-0.910156,1.679482,1.411481,57.185135
0.203579,0.001262,-0.007505,0.014679,1.009900,0.979879,-0.895477,1.008638,0.987384,-0.910156,1.679482,1.411481,57.185136
0.213698,0.001262,-0.007505,0.014679,1.009900,0.979879,-0.895477,1.008638,0.987384,-0.910156,1.679482,1.411481,57.185138
0.213743,0.001262,-0.007505,0.014679,1.009900,0.979879,-0.895477,1.008638,0.987384,-0.910156,1.679483,1.411481,57.185140
0.213756,0.001262,-0.007505,0.014679,1.009900,0.979879,-0.895477,1.008638,0.987384,-0.910156,1.679483,1.411481,57.185143
0.223462,0.000919,-0.007413,0.014923,1.009900,0.979879,-0.895477,1.008981,0.987292,-0.910400,1.679767,1.411662,57.181485
0.223483,0.000919,-0.007413,0.014923,1.009901,0.979879,-0.895477,1.008982,0.987292,-0.910400,1.679767,1.411662,57.181487
0.233490,0.000919,-0.007413,0.014923,1.009901,0.979879,-0.895477,1.008982,0.987292,-0.910400,1.679767,1.411662,57.181490
0.233527,0.000919,-0.007413,0.014923,1.009901,0.979879,-0.895477,1.008982,0.987292,-0.910400,1.679767,1.411662,57.181492
0.233547,0.000919,-0.007413,0.014923,1.009901,0.979879,-0.895477,1.008982,0.987292,-0.910400,1.679767,1.411662,57.181496
0.243594,0.000716,-0.007388,0.015106,1.009901,0.979879,-0.895477,1.009185,0.987267,-0.910583,1.679973,1.411790,57.178601
0.243679,0.000716,-0.007388,0.015106,1.009901,0.979879,-0.895477,1.009185,0.987267,-0.910583,1.679974,1.411790,57.178604
0.253489,0.000716,-0.007388,0.015106,1.009902,0.979879,-0.895477,1.009185,0.987267,-0.910583,1.679974,1.411790,57.178607
0.253522,0.000716,-0.007388,0.015106,1.009902,0.979879,-0.895477,1.009185,0.987267,-0.910583,1.679974,1.411790,57.178610
0.253538,0.000716,-0.007388,0.015106,1.009902,0.979879,-0.895476,1.009186,0.987267,-0.910583,1.679974,1.411790,57.178614
0.263475,0.000431,-0.007366,0.015320,1.009902,0.979879,-0.895476,1.009471,0.987244,-0.910796,1.680248,1.411978,57.175971
0.263508,0.000431,-0.007366,0.015320,1.009903,0.979879,-0.895476,1.009471,0.987244,-0.910796,1.680248,1.411979,57.175975
0.273511,0.000431,-0.007366,0.015320,1.009903,0.979879,-0.895476,1.009471,0.987244,-0.910796,1.680248,1.411979,57.175978
0.273559,0.000431,-0.007366,0.015320,1.009903,0.979879,-0.895476,1.009472,0.987244,-0.910796,1.680248,1.411979,57.175982
0.273579,0.000431,-0.007366,0.015320,1.009903,0.979879,-0.895476,1.009472,0.987244,-0.910796,1.680248,1.411979,57.175986
0.283517,0.000244,-0.007385,0.015472,1.009904,0.979879,-0.895476,1.009659,0.987264,-0.910949,1.680455,1.412126,57.174337
0.283570,0.000244,-0.007385,0.015472,1.009904,0.979879,-0.895476,1.009659,0.987264,-0.910949,1.680455,1.412127,57.174341
0.293811,0.000244,-0.007385,0.015472,1.009904,0.979879,-0.895476,1.009660,0.987264,-0.910949,1.680455,1.412127,57.174345
0.293933,0.000244,-0.007385,0.015472,1.009904,0.979879,-0.895476,1.009660,0.987264,-0.910949,1.680456,1.412127,57.174349
0.294003,0.000244,-0.007385,0.015472,1.009905,0.979879,-0.895476,1.009660,0.987264,-0.910949,1.680456,1.412127,57.174354
0.303546,-0.000021,-0.007483,0.015717,1.009905,0.979879,-0.895476,1.009926,0.987362,-0.911193,1.680806,1.412386,57.172147
0.303606,-0.000021,-0.007483,0.015717,1.009905,0.979879,-0.895476,1.009927,0.987362,-0.911193,1.680806,1.412387,57.172151
0.313603,-0.000021,-0.007483,0.015717,1.009906,0.979879,-0.895476,1.009927,0.987362,-0.911193,1.680806,1.412387,57.172156
