timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780920052090834,0,0.00390202,-0.00741359,-0.00878906,0,0,-0.00149532,0.00390202,-0.00741359,-0.00729374,0.0111079,0.0144968,-0.0432411,-0.0197799,0,0,-0.0371908
1780920052106834,0.016,0.00380842,-0.00732369,-0.0090332,0,0,-0.00339059,0.00380842,-0.00732369,-0.00564261,0.00999898,0.0138568,-0.043081,-0.0205815,0,0,-0.0558097
1780920052130834,0.04,0.00368147,-0.00724758,-0.00946045,0,0,-0.00454699,0.00368147,-0.00724758,-0.00491346,0.00949856,0.012485,-0.0438762,-0.0215235,0,0,-0.0645245
1780920052146834,0.056,0.00360968,-0.00724503,-0.00976562,0,0,-0.00592876,0.00360968,-0.00724503,-0.00383686,0.00895777,0.0117979,-0.043566,-0.02136,0,0,-0.0735536
1780920052170834,0.08,0.00351742,-0.00727934,-0.0102234,0,0,-0.00749355,0.00351742,-0.00727934,-0.00272984,0.00853306,0.011518,-0.0416173,-0.0202115,0,0,-0.0825509
1780920052186834,0.096,0.00347205,-0.00733563,-0.010498,0,0,-0.00922791,0.00347205,-0.00733563,-0.00127014,0.00821461,0.0126639,-0.042903,-0.0194281,0,0,-0.0914508
1780920052210834,0.12,0.00343134,-0.0074828,-0.0108948,0,0,-0.011173,0.00343134,-0.0074828,0.000278242,0.00823674,0.0109429,-0.0423133,-0.0181307,0,0,-0.100453
1780920052226925,0.136091,0.00340306,-0.00759729,-0.0111694,0,0,-0.0132447,0.00340306,-0.00759729,0.00207525,0.00857941,0.0111746,-0.0408402,-0.0167058,0,0,-0.109184
1780920052242925,0.152091,0.00339966,-0.00771632,-0.0113831,0,0,-0.0155151,0.00339966,-0.00771632,0.00413201,0.00939004,0.0114745,-0.0400492,-0.0165583,0,0,-0.117968
1780920052266925,0.176091,0.00340624,-0.00792865,-0.0117798,0,0,-0.0179622,0.00340624,-0.00792865,0.00618246,0.0106155,0.0103445,-0.0398679,-0.0181308,0,0,-0.126711
1780920052290925,0.200091,0.00342132,-0.00819054,-0.0121765,0,0,-0.0205848,0.00342132,-0.00819054,0.00840824,0.0122266,0.00951169,-0.0398561,-0.0178455,0,0,-0.13541
1780920052306925,0.216091,0.00343047,-0.00839751,-0.0125122,0,0,-0.0233848,0.00343047,-0.00839751,0.0108726,0.0141598,0.00886504,-0.0397419,-0.0188433,0,0,-0.144074
