timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780599262399831,0,-0.0308025,0.0113647,0.0322266,0,0,-5,-0.0308025,0.0113647,5.03223,5.03233,-0.00667211,0.00928091,0.0188992,0,0,0
1780599262415831,0.016,-0.031145,0.0114488,0.032196,0,0,-5,-0.031145,0.0114488,5.0322,5.03231,-0.00603527,0.00843249,0.0180936,0,0,0
1780599262439831,0.04,-0.0316566,0.0115873,0.0321655,0,0,-5,-0.0316566,0.0115873,5.03217,5.03228,-0.00710794,0.00998313,0.0159961,0,0,0
1780599262455831,0.056,-0.0316845,0.0115175,0.0315552,0,0,-5,-0.0316845,0.0115175,5.03156,5.03167,-0.00757297,0.00981402,0.0140645,0,0,0
1780599262479831,0.08,-0.031739,0.0114269,0.0306702,0,0,-5,-0.031739,0.0114269,5.03067,5.03078,-0.00713322,0.00897639,0.0131681,0,0,0
1780599262495831,0.096,-0.0317925,0.0113612,0.0301208,0,0,-5,-0.0317925,0.0113612,5.03012,5.03023,-0.0079477,0.00858898,0.0123585,0,0,0
1780599262519831,0.12,-0.0319162,0.0113351,0.0293274,0,0,-5,-0.0319162,0.0113351,5.02933,5.02944,-0.00802387,0.0107177,0.0107573,0,0,0
1780599262535831,0.136,-0.0320095,0.011333,0.0288391,0,0,-5,-0.0320095,0.011333,5.02884,5.02895,-0.00792753,0.0102419,0.0108781,0,0,0
1780599262559831,0.16,-0.0321485,0.0113308,0.0281677,0,0,-5,-0.0321485,0.0113308,5.02817,5.02828,-0.00743266,0.00945836,0.0104457,0,0,0
1780599262575831,0.176,-0.0322467,0.0113204,0.0277405,0,0,-5,-0.0322467,0.0113204,5.02774,5.02786,-0.00760901,0.00889238,0.00974513,0,0,0
1780599262599831,0.2,-0.0323839,0.0112831,0.0271301,0,0,-5,-0.0323839,0.0112831,5.02713,5.02725,-0.00656769,0.00654845,0.0102726,0,0,0
1780599262615831,0.216,-0.0324779,0.0112583,0.0267944,0,0,-5,-0.0324779,0.0112583,5.02679,5.02691,-0.00657387,0.00738696,0.010335,0,0,0
1780599262639831,0.24,-0.0326179,0.0112481,0.0263367,0,0,-5,-0.0326179,0.0112481,5.02634,5.02646,-0.00583806,0.00766267,0.0105466,0,0,0
1780599262655831,0.256,-0.0327098,0.0112441,0.026062,0,0,-5,-0.0327098,0.0112441,5.02606,5.02618,-0.00604329,0.00777282,0.0100306,0,0,0
1780599262679831,0.28,-0.0328687,0.0112599,0.0257263,0,0,-5,-0.0328687,0.0112599,5.02573,5.02585,-0.00638223,0.00797577,0.0109474,0,0,0
1780599262695831,0.296,-0.0329737,0.0112753,0.0255432,0,0,-5,-0.0329737,0.0112753,5.02554,5.02566,-0.00576447,0.00787504,0.0106147,0,0,0
1780599262719831,0.32,-0.0331133,0.0113003,0.0252686,0,0,-5,-0.0331133,0.0113003,5.02527,5.02539,-0.00557698,0.00794134,0.00971899,0,0,0
1780599262735831,0.336,-0.0332194,0.0113292,0.025116,0,0,-5,-0.0332194,0.0113292,5.02512,5.02524,-0.00647433,0.0079658,0.00849988,0,0,0
1780599262751831,0.352,-0.0333439,0.0113585,0.0249634,0,0,-5,-0.0333439,0.0113585,5.02496,5.02509,-0.00712251,0.0076902,0.00800136,0,0,0
1780599262775831,0.376,-0.033535,0.0114048,0.0247803,0,0,-5,-0.033535,0.0114048,5.02478,5.02491,-0.00776059,0.00737646,0.00793897,0,0,0
1780599262799831,0.4,-0.0337522,0.011454,0.0247803,0,0,-5,-0.0337522,0.011454,5.02478,5.02491,-0.00779192,0.00777231,0.00868813,0,0,0
1780599262815831,0.416,-0.0338984,0.0115021,0.0247803,0,0,-5,-0.0338984,0.0115021,5.02478,5.02491,-0.00810556,0.00830434,0.0087281,0,0,0
1780599262839831,0.44,-0.0341188,0.0115797,0.0248108,0,0,-5,-0.0341188,0.0115797,5.02481,5.02494,-0.00784875,0.00749429,0.00888143,0,0,0
1780599262855858,0.456027,-0.0336653,0.0113637,0.0244141,0,0,-5,-0.0336653,0.0113637,5.02441,5.02454,-0.00787743,0.0077033,0.00939541,0,0,0
1780599262879858,0.480027,-0.0330115,0.0110876,0.0238953,0,0,-5,-0.0330115,0.0110876,5.0239,5.02402,-0.00558269,0.00812088,0.00902803,0,0,0
1780599262895858,0.496027,-0.0325859,0.0109321,0.0235596,0,0,-5,-0.0325859,0.0109321,5.02356,5.02368,-0.00568226,0.00922282,0.00787913,0,0,0
1780599262919858,0.520027,-0.0320257,0.0107411,0.0231018,0,0,-5,-0.0320257,0.0107411,5.0231,5.02322,-0.00643625,0.00907532,0.00837889,0,0,0
1780599262935858,0.536027,-0.0316937,0.0106345,0.0228577,0,0,-5,-0.0316937,0.0106345,5.02286,5.02297,-0.00710161,0.00990019,0.00795945,0,0,0
1780599262951858,0.552027,-0.0313845,0.010541,0.022644,0,0,-5,-0.0313845,0.010541,5.02264,5.02275,-0.00666919,0.00924046,0.0071279,0,0,0
1780599262975858,0.576027,-0.0309424,0.0103981,0.0223389,0,0,-5,-0.0309424,0.0103981,5.02234,5.02244,-0.00583623,0.00814649,0.00710844,0,0,0
