t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg
0.092391,-0.032247,0.011320,-0.027740,0.707719,0.962727,0.149965,0.739966,0.951407,0.177705,1.218320,1.205290,81.612863
0.092412,-0.032247,0.011320,-0.027740,0.707719,0.962731,0.149965,0.739965,0.951411,0.177705,1.218323,1.205293,81.612881
0.092420,-0.032247,0.011320,-0.027740,0.707718,0.962735,0.149965,0.739965,0.951414,0.177705,1.218325,1.205296,81.612900
0.102375,-0.032247,0.011320,-0.027740,0.707718,0.962739,0.149965,0.739964,0.951418,0.177705,1.218328,1.205298,81.612919
0.102396,-0.032247,0.011320,-0.027740,0.707717,0.962743,0.149965,0.739964,0.951422,0.177705,1.218331,1.205301,81.612938
0.112398,-0.032384,0.011283,-0.027130,0.707717,0.962747,0.149965,0.740101,0.951464,0.177095,1.218357,1.205418,81.642133
0.112423,-0.032384,0.011283,-0.027130,0.707716,0.962751,0.149965,0.740100,0.951468,0.177095,1.218360,1.205421,81.642151
0.112437,-0.032384,0.011283,-0.027130,0.707716,0.962755,0.149965,0.740100,0.951471,0.177095,1.218363,1.205423,81.642170
0.122394,-0.032384,0.011283,-0.027130,0.707715,0.962759,0.149965,0.740099,0.951475,0.177095,1.218366,1.205426,81.642189
0.122420,-0.032384,0.011283,-0.027130,0.707715,0.962762,0.149965,0.740099,0.951479,0.177095,1.218368,1.205429,81.642208
0.122437,-0.032384,0.011283,-0.027130,0.707714,0.962766,0.149965,0.740098,0.951483,0.177095,1.218371,1.205432,81.642226
0.132400,-0.032478,0.011258,-0.026794,0.707714,0.962770,0.149965,0.740192,0.951512,0.176759,1.218402,1.205512,81.658392
0.132428,-0.032478,0.011258,-0.026794,0.707714,0.962774,0.149965,0.740191,0.951516,0.176759,1.218405,1.205515,81.658411
0.142449,-0.032478,0.011258,-0.026794,0.707713,0.962778,0.149965,0.740191,0.951520,0.176759,1.218407,1.205518,81.658430
0.142485,-0.032478,0.011258,-0.026794,0.707713,0.962782,0.149965,0.740191,0.951524,0.176759,1.218410,1.205520,81.658448
0.142506,-0.032478,0.011258,-0.026794,0.707712,0.962786,0.149965,0.740190,0.951528,0.176759,1.218413,1.205523,81.658467
0.152569,-0.032618,0.011248,-0.026337,0.707712,0.962790,0.149965,0.740330,0.951542,0.176302,1.218443,1.205620,81.680425
0.152636,-0.032618,0.011248,-0.026337,0.707711,0.962794,0.149965,0.740329,0.951546,0.176302,1.218445,1.205623,81.680444
0.162636,-0.032618,0.011248,-0.026337,0.707711,0.962798,0.149965,0.740329,0.951550,0.176302,1.218448,1.205626,81.680463
0.162710,-0.032618,0.011248,-0.026337,0.707710,0.962802,0.149965,0.740328,0.951554,0.176302,1.218451,1.205629,81.680481
0.162752,-0.032618,0.011248,-0.026337,0.707710,0.962806,0.149965,0.740328,0.951558,0.176302,1.218454,1.205631,81.680500
0.172447,-0.032710,0.011244,-0.026062,0.707709,0.962810,0.149965,0.740419,0.951566,0.176027,1.218476,1.205694,81.693704
0.172498,-0.032710,0.011244,-0.026062,0.707709,0.962814,0.149965,0.740419,0.951570,0.176027,1.218479,1.205697,81.693723
0.182514,-0.032710,0.011244,-0.026062,0.707708,0.962818,0.149965,0.740418,0.951574,0.176027,1.218481,1.205700,81.693741
0.182564,-0.032710,0.011244,-0.026062,0.707708,0.962822,0.149965,0.740418,0.951577,0.176027,1.218484,1.205702,81.693760
0.182590,-0.032710,0.011244,-0.026062,0.707708,0.962825,0.149965,0.740417,0.951581,0.176027,1.218487,1.205705,81.693779
0.192475,-0.032869,0.011260,-0.025726,0.707707,0.962829,0.149965,0.740576,0.951569,0.175691,1.218526,1.205793,81.709994
0.192515,-0.032869,0.011260,-0.025726,0.707707,0.962833,0.149965,0.740575,0.951573,0.175691,1.218528,1.205796,81.710012
0.202545,-0.032869,0.011260,-0.025726,0.707706,0.962837,0.149965,0.740575,0.951577,0.175691,1.218531,1.205799,81.710031
0.202590,-0.032869,0.011260,-0.025726,0.707706,0.962841,0.149965,0.740574,0.951581,0.175691,1.218534,1.205802,81.710050
0.202612,-0.032869,0.011260,-0.025726,0.707705,0.962845,0.149965,0.740574,0.951585,0.175691,1.218537,1.205804,81.710068
0.212553,-0.032974,0.011275,-0.025543,0.707705,0.962849,0.149965,0.740678,0.951574,0.175508,1.218565,1.205860,81.718962
0.212608,-0.032974,0.011275,-0.025543,0.707704,0.962853,0.149965,0.740678,0.951578,0.175508,1.218568,1.205862,81.718980
0.222574,-0.032974,0.011275,-0.025543,0.707704,0.962857,0.149965,0.740678,0.951582,0.175508,1.218571,1.205865,81.718999
0.222626,-0.032974,0.011275,-0.025543,0.707703,0.962861,0.149965,0.740677,0.951586,0.175508,1.218573,1.205868,81.719017
0.222649,-0.032974,0.011275,-0.025543,0.707703,0.962865,0.149965,0.740677,0.951590,0.175508,1.218576,1.205871,81.719036
0.232473,-0.033113,0.011300,-0.025269,0.707702,0.962869,0.149965,0.740816,0.951568,0.175234,1.218605,1.205940,81.732280
0.232513,-0.033113,0.011300,-0.025269,0.707702,0.962873,0.149965,0.740815,0.951572,0.175234,1.218607,1.205943,81.732299
0.242472,-0.033113,0.011300,-0.025269,0.707702,0.962877,0.149965,0.740815,0.951576,0.175234,1.218610,1.205945,81.732317
0.242508,-0.033113,0.011300,-0.025269,0.707701,0.962881,0.149965,0.740814,0.951580,0.175234,1.218613,1.205948,81.732336
0.242525,-0.033113,0.011300,-0.025269,0.707701,0.962885,0.149965,0.740814,0.951584,0.175234,1.218616,1.205951,81.732355
0.252491,-0.033219,0.011329,-0.025116,0.707700,0.962889,0.149965,0.740920,0.951559,0.175081,1.218639,1.205996,81.739760
0.252560,-0.033219,0.011329,-0.025116,0.707700,0.962892,0.149965,0.740919,0.951563,0.175081,1.218642,1.205999,81.739778
0.262500,-0.033219,0.011329,-0.025116,0.707699,0.962896,0.149965,0.740919,0.951567,0.175081,1.218644,1.206002,81.739797
0.262549,-0.033219,0.011329,-0.025116,0.707699,0.962900,0.149965,0.740918,0.951571,0.175081,1.218647,1.206005,81.739815
0.262568,-0.033219,0.011329,-0.025116,0.707698,0.962904,0.149965,0.740918,0.951575,0.175081,1.218650,1.206008,81.739834
0.272526,-0.033344,0.011358,-0.024963,0.707698,0.962908,0.149965,0.741042,0.951550,0.174929,1.218684,1.206064,81.747313
0.272589,-0.033344,0.011358,-0.024963,0.707697,0.962912,0.149965,0.741041,0.951554,0.174929,1.218686,1.206067,81.747331
0.282574,-0.033344,0.011358,-0.024963,0.707697,0.962916,0.149965,0.741041,0.951558,0.174929,1.218689,1.206069,81.747350
0.282625,-0.033344,0.011358,-0.024963,0.707696,0.962920,0.149965,0.741040,0.951562,0.174929,1.218692,1.206072,81.747368
0.282651,-0.033344,0.011358,-0.024963,0.707696,0.962924,0.149965,0.741040,0.951566,0.174929,1.218695,1.206075,81.747387
0.292470,-0.033535,0.011405,-0.024780,0.707696,0.962928,0.149965,0.741231,0.951523,0.174746,1.218751,1.206159,81.756470
0.292517,-0.033535,0.011405,-0.024780,0.707695,0.962932,0.149965,0.741230,0.951527,0.174746,1.218754,1.206162,81.756488
0.302537,-0.033535,0.011405,-0.024780,0.707695,0.962936,0.149965,0.741230,0.951531,0.174746,1.218757,1.206164,81.756507
0.302592,-0.033535,0.011405,-0.024780,0.707694,0.962940,0.149965,0.741229,0.951535,0.174746,1.218760,1.206167,81.756525
0.302620,-0.033535,0.011405,-0.024780,0.707694,0.962944,0.149965,0.741229,0.951539,0.174746,1.218763,1.206170,81.756544
0.312515,-0.033752,0.011454,-0.024780,0.707693,0.962948,0.149965,0.741445,0.951494,0.174746,1.218859,1.206268,81.757201
0.312562,-0.033752,0.011454,-0.024780,0.707693,0.962952,0.149965,0.741445,0.951498,0.174746,1.218862,1.206270,81.757219
0.322563,-0.033752,0.011454,-0.024780,0.707692,0.962955,0.149965,0.741444,0.951502,0.174746,1.218865,1.206273,81.757238
0.322615,-0.033752,0.011454,-0.024780,0.707692,0.962959,0.149965,0.741444,0.951505,0.174746,1.218867,1.206276,81.757256
0.322642,-0.033752,0.011454,-0.024780,0.707691,0.962963,0.149965,0.741444,0.951509,0.174746,1.218870,1.206279,81.757275
0.332510,-0.033898,0.011502,-0.024780,0.707691,0.962967,0.149965,0.741589,0.951465,0.174746,1.218924,1.206334,81.757643
0.332564,-0.033898,0.011502,-0.024780,0.707690,0.962971,0.149965,0.741589,0.951469,0.174746,1.218927,1.206336,81.757661
0.342509,-0.033898,0.011502,-0.024780,0.707690,0.962975,0.149965,0.741588,0.951473,0.174746,1.218930,1.206339,81.757680
0.342553,-0.033898,0.011502,-0.024780,0.707689,0.962979,0.149966,0.741588,0.951477,0.174746,1.218933,1.206342,81.757698
0.342575,-0.033898,0.011502,-0.024780,0.707689,0.962983,0.149966,0.741587,0.951481,0.174746,1.218936,1.206345,81.757717
0.352411,-0.034119,0.011580,-0.024811,0.707689,0.962987,0.149966,0.741807,0.951407,0.174776,1.219016,1.206422,81.756817
0.352475,-0.034119,0.011580,-0.024811,0.707688,0.962991,0.149966,0.741807,0.951411,0.174776,1.219019,1.206425,81.756835
0.362572,-0.034119,0.011580,-0.024811,0.707688,0.962995,0.149966,0.741806,0.951415,0.174776,1.219022,1.206428,81.756854
0.362630,-0.034119,0.011580,-0.024811,0.707687,0.962999,0.149966,0.741806,0.951419,0.174776,1.219025,1.206430,81.756872
0.362660,-0.034119,0.011580,-0.024811,0.707687,0.963003,0.149966,0.741805,0.951423,0.174776,1.219027,1.206433,81.756891
0.372513,-0.033665,0.011364,-0.024414,0.707686,0.963007,0.149966,0.741352,0.951643,0.174380,1.218866,1.206328,81.774635
0.372557,-0.033665,0.011364,-0.024414,0.707686,0.963011,0.149966,0.741351,0.951647,0.174380,1.218869,1.206331,81.774654
0.382600,-0.033665,0.011364,-0.024414,0.707685,0.963015,0.149966,0.741351,0.951651,0.174380,1.218872,1.206333,81.774672
