timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780640749643065,0,0.0262698,0.00698135,-0.00012207,0,0,-5,0.0262698,0.00698135,4.99988,4.99995,0.0255825,-0.0280844,-0.0147414,0,0,0
1780640749659065,0.016,0.0262933,0.00694224,-0.000213623,0,0,-5,0.0262933,0.00694224,4.99979,4.99986,0.0258498,-0.0288594,-0.0156181,0,0,0
1780640749683065,0.04,0.0263913,0.00684491,-0.000396729,0,0,-5,0.0263913,0.00684491,4.9996,4.99968,0.0259557,-0.0284108,-0.0154033,0,0,0
1780640749699065,0.056,0.0264712,0.00676521,-0.000488281,0,0,-5,0.0264712,0.00676521,4.99951,4.99959,0.0251165,-0.0283707,-0.0152263,0,0,0
1780640749723065,0.08,0.0266386,0.00660515,-0.000671387,0,0,-5,0.0266386,0.00660515,4.99933,4.9994,0.0257324,-0.0289841,-0.0145129,0,0,0
1780640749739065,0.096,0.026767,0.00648211,-0.000793457,0,0,-5,0.026767,0.00648211,4.99921,4.99928,0.0249757,-0.0288783,-0.0137939,0,0,0
1780640749763065,0.12,0.0269762,0.00626467,-0.000976562,0,0,-5,0.0269762,0.00626467,4.99902,4.9991,0.0257704,-0.0298685,-0.0125728,0,0,0
1780640749779065,0.136,0.0271324,0.0060961,-0.00106812,0,0,-5,0.0271324,0.0060961,4.99893,4.99901,0.0258707,-0.0296936,-0.0122719,0,0,0
1780640749795065,0.152,0.0273089,0.00592335,-0.00119019,0,0,-5,0.0273089,0.00592335,4.99881,4.99889,0.0261898,-0.0289632,-0.0112675,0,0,0
1780640749819065,0.176,0.0276252,0.0056393,-0.00137329,0,0,-5,0.0276252,0.0056393,4.99863,4.99871,0.0272766,-0.0297471,-0.0125566,0,0,0
1780640749843065,0.2,0.0279848,0.00530967,-0.0015564,0,0,-5,0.0279848,0.00530967,4.99844,4.99852,0.0271357,-0.031285,-0.0111478,0,0,0
1780640749859065,0.216,0.0282436,0.00505295,-0.00167847,0,0,-5,0.0282436,0.00505295,4.99832,4.9984,0.0270862,-0.0316273,-0.0119894,0,0,0
1780640749883065,0.24,0.0286861,0.00465851,-0.00180054,0,0,-5,0.0286861,0.00465851,4.9982,4.99828,0.0292391,-0.0309044,-0.0116159,0,0,0
1780640749899065,0.256,0.0290076,0.00439057,-0.00192261,0,0,-5,0.0290076,0.00439057,4.99808,4.99816,0.0289312,-0.0306724,-0.0123833,0,0,0
1780640749923065,0.28,0.0295167,0.00396842,-0.0020752,0,0,-5,0.0295167,0.00396842,4.99792,4.99801,0.0296961,-0.0315437,-0.0128073,0,0,0
1780640749939065,0.296,0.029882,0.00366532,-0.00216675,0,0,-5,0.029882,0.00366532,4.99783,4.99792,0.0306433,-0.0315732,-0.0126759,0,0,0
1780640749963065,0.32,0.0294285,0.00360238,-0.0027771,0,0,-5,0.0294285,0.00360238,4.99722,4.99731,0.0312988,-0.0332131,-0.0131048,0,0,0
1780640749979065,0.336,0.0291804,0.00352318,-0.00320435,0,0,-5,0.0291804,0.00352318,4.9968,4.99688,0.0304458,-0.0334507,-0.0139186,0,0,0
1780640749995065,0.352,0.0289698,0.00342569,-0.00360107,0,0,-5,0.0289698,0.00342569,4.9964,4.99648,0.0307522,-0.0331044,-0.014197,0,0,0
1780640750019065,0.376,0.0287194,0.00325921,-0.00421143,0,0,-5,0.0287194,0.00325921,4.99579,4.99587,0.0299806,-0.0315508,-0.0130523,0,0,0
1780640750035065,0.392,0.0285774,0.0031501,-0.00457764,0,0,-5,0.0285774,0.0031501,4.99542,4.99551,0.0280262,-0.0307771,-0.0133944,0,0,0
1780640750059065,0.416,0.028399,0.00296384,-0.00515747,0,0,-5,0.028399,0.00296384,4.99484,4.99492,0.0272398,-0.0304211,-0.0152268,0,0,0
1780640750083065,0.44,0.028306,0.00274028,-0.00576782,0,0,-5,0.028306,0.00274028,4.99423,4.99431,0.028382,-0.0311249,-0.0156748,0,0,0
1780640750099065,0.456,0.0282858,0.00256047,-0.00616455,0,0,-5,0.0282858,0.00256047,4.99384,4.99392,0.0282884,-0.0323743,-0.0162871,0,0,0
1780640750115065,0.472,0.0282958,0.00234365,-0.00656128,0,0,-5,0.0282958,0.00234365,4.99344,4.99352,0.0283951,-0.0336015,-0.0165232,0,0,0
1780640750139065,0.496,0.0283696,0.00196435,-0.00717163,0,0,-5,0.0283696,0.00196435,4.99283,4.99291,0.0296032,-0.0347801,-0.0185987,0,0,0
1780640750163065,0.52,0.028531,0.00151069,-0.0078125,0,0,-5,0.028531,0.00151069,4.99219,4.99227,0.0297307,-0.0358793,-0.0194488,0,0,0
1780640750179065,0.536,0.0286671,0.00118003,-0.00820923,0,0,-5,0.0286671,0.00118003,4.99179,4.99187,0.029493,-0.0368807,-0.0196966,0,0,0
