t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg
0.092125,0.028244,0.005053,0.001678,1.009981,0.979893,-0.895479,0.981738,0.974840,-0.897157,1.648943,1.383518,57.038172
0.092151,0.028244,0.005053,0.001678,1.009981,0.979893,-0.895479,0.981737,0.974840,-0.897157,1.648942,1.383517,57.038166
0.102103,0.028244,0.005053,0.001678,1.009980,0.979893,-0.895479,0.981737,0.974840,-0.897157,1.648942,1.383517,57.038159
0.102127,0.028244,0.005053,0.001678,1.009980,0.979892,-0.895479,0.981736,0.974840,-0.897157,1.648942,1.383517,57.038152
0.102138,0.028244,0.005053,0.001678,1.009979,0.979892,-0.895478,0.981736,0.974839,-0.897157,1.648941,1.383516,57.038145
0.112152,0.028686,0.004659,0.001801,1.009979,0.979892,-0.895478,0.981293,0.975234,-0.897279,1.648977,1.383480,57.033900
0.112190,0.028686,0.004659,0.001801,1.009978,0.979892,-0.895478,0.981292,0.975234,-0.897279,1.648977,1.383480,57.033893
0.122254,0.028686,0.004659,0.001801,1.009978,0.979892,-0.895478,0.981292,0.975234,-0.897279,1.648977,1.383479,57.033886
0.122306,0.028686,0.004659,0.001801,1.009977,0.979892,-0.895478,0.981291,0.975234,-0.897279,1.648976,1.383479,57.033879
0.122330,0.028686,0.004659,0.001801,1.009977,0.979892,-0.895478,0.981291,0.975234,-0.897279,1.648976,1.383478,57.033871
0.132240,0.029008,0.004391,0.001923,1.009976,0.979892,-0.895478,0.980969,0.975501,-0.897401,1.649009,1.383439,57.029565
0.132273,0.029008,0.004391,0.001923,1.009976,0.979892,-0.895478,0.980968,0.975501,-0.897401,1.649009,1.383438,57.029558
0.142140,0.029008,0.004391,0.001923,1.009975,0.979892,-0.895478,0.980968,0.975501,-0.897401,1.649009,1.383438,57.029550
0.142174,0.029008,0.004391,0.001923,1.009975,0.979892,-0.895478,0.980967,0.975501,-0.897401,1.649008,1.383438,57.029542
0.142192,0.029008,0.004391,0.001923,1.009974,0.979892,-0.895478,0.980967,0.975501,-0.897401,1.649008,1.383437,57.029534
0.152237,0.029517,0.003968,0.002075,1.009974,0.979892,-0.895478,0.980457,0.975923,-0.897554,1.649038,1.383374,57.023885
0.152275,0.029517,0.003968,0.002075,1.009973,0.979892,-0.895478,0.980457,0.975923,-0.897554,1.649037,1.383373,57.023879
0.162137,0.029517,0.003968,0.002075,1.009973,0.979892,-0.895478,0.980456,0.975923,-0.897554,1.649037,1.383373,57.023871
0.162163,0.029517,0.003968,0.002075,1.009972,0.979892,-0.895478,0.980456,0.975923,-0.897554,1.649036,1.383372,57.023863
0.162173,0.029517,0.003968,0.002075,1.009972,0.979891,-0.895478,0.980455,0.975923,-0.897554,1.649036,1.383372,57.023855
0.172107,0.029882,0.003665,0.002167,1.009971,0.979891,-0.895478,0.980089,0.976226,-0.897645,1.649048,1.383326,57.020327
0.172135,0.029882,0.003665,0.002167,1.009971,0.979891,-0.895478,0.980089,0.976226,-0.897645,1.649047,1.383326,57.020319
0.182192,0.029882,0.003665,0.002167,1.009970,0.979891,-0.895478,0.980088,0.976226,-0.897645,1.649047,1.383326,57.020311
0.182247,0.029882,0.003665,0.002167,1.009969,0.979891,-0.895478,0.980087,0.976226,-0.897645,1.649047,1.383325,57.020302
0.182275,0.029882,0.003665,0.002167,1.009969,0.979891,-0.895478,0.980087,0.976226,-0.897645,1.649046,1.383325,57.020294
0.192133,0.029429,0.003602,0.002777,1.009968,0.979891,-0.895478,0.980540,0.976289,-0.898255,1.649685,1.383690,57.009417
0.192168,0.029429,0.003602,0.002777,1.009968,0.979891,-0.895478,0.980539,0.976289,-0.898255,1.649685,1.383689,57.009408
0.202171,0.029429,0.003602,0.002777,1.009967,0.979891,-0.895478,0.980539,0.976288,-0.898255,1.649684,1.383689,57.009400
0.202214,0.029429,0.003602,0.002777,1.009967,0.979891,-0.895478,0.980538,0.976288,-0.898255,1.649684,1.383688,57.009391
0.202234,0.029429,0.003602,0.002777,1.009966,0.979891,-0.895478,0.980537,0.976288,-0.898255,1.649683,1.383688,57.009383
0.212202,0.029180,0.003523,0.003204,1.009965,0.979891,-0.895478,0.980785,0.976367,-0.898683,1.650110,1.383919,57.001312
0.212252,0.029180,0.003523,0.003204,1.009965,0.979891,-0.895478,0.980784,0.976367,-0.898683,1.650110,1.383919,57.001304
0.222232,0.029180,0.003523,0.003204,1.009964,0.979890,-0.895478,0.980784,0.976367,-0.898683,1.650109,1.383918,57.001296
0.222290,0.029180,0.003523,0.003204,1.009964,0.979890,-0.895478,0.980783,0.976367,-0.898683,1.650109,1.383918,57.001287
0.222322,0.029180,0.003523,0.003204,1.009963,0.979890,-0.895478,0.980783,0.976367,-0.898683,1.650108,1.383917,57.001278
0.232229,0.028970,0.003426,0.003601,1.009962,0.979890,-0.895478,0.980993,0.976464,-0.899079,1.650507,1.384135,56.993841
0.232293,0.028970,0.003426,0.003601,1.009962,0.979890,-0.895478,0.980992,0.976464,-0.899079,1.650506,1.384134,56.993832
0.242206,0.028970,0.003426,0.003601,1.009961,0.979890,-0.895478,0.980991,0.976464,-0.899079,1.650506,1.384134,56.993823
0.242254,0.028970,0.003426,0.003601,1.009961,0.979890,-0.895478,0.980991,0.976464,-0.899079,1.650506,1.384133,56.993814
0.242278,0.028970,0.003426,0.003601,1.009960,0.979890,-0.895478,0.980990,0.976464,-0.899079,1.650505,1.384133,56.993805
0.252224,0.028719,0.003259,0.004211,1.009959,0.979890,-0.895478,0.981240,0.976631,-0.899690,1.651085,1.384427,56.981609
0.252282,0.028719,0.003259,0.004211,1.009959,0.979890,-0.895478,0.981239,0.976630,-0.899690,1.651084,1.384427,56.981600
0.262164,0.028719,0.003259,0.004211,1.009958,0.979890,-0.895478,0.981239,0.976630,-0.899690,1.651084,1.384426,56.981591
0.262205,0.028719,0.003259,0.004211,1.009958,0.979889,-0.895478,0.981238,0.976630,-0.899690,1.651083,1.384426,56.981582
0.262226,0.028719,0.003259,0.004211,1.009957,0.979889,-0.895478,0.981238,0.976630,-0.899690,1.651083,1.384425,56.981573
0.272107,0.028577,0.003150,0.004578,1.009956,0.979889,-0.895478,0.981379,0.976739,-0.900056,1.651431,1.384603,56.974267
0.272128,0.028577,0.003150,0.004578,1.009956,0.979889,-0.895478,0.981378,0.976739,-0.900056,1.651431,1.384602,56.974258
0.282196,0.028577,0.003150,0.004578,1.009955,0.979889,-0.895478,0.981378,0.976739,-0.900056,1.651430,1.384602,56.974249
0.282243,0.028577,0.003150,0.004578,1.009955,0.979889,-0.895478,0.981377,0.976739,-0.900056,1.651430,1.384601,56.974241
0.282268,0.028577,0.003150,0.004578,1.009954,0.979889,-0.895478,0.981377,0.976739,-0.900056,1.651429,1.384601,56.974231
0.292324,0.028399,0.002964,0.005157,1.009953,0.979889,-0.895478,0.981554,0.976925,-0.900636,1.651961,1.384858,56.962236
0.292386,0.028399,0.002964,0.005157,1.009953,0.979889,-0.895478,0.981554,0.976925,-0.900636,1.651961,1.384857,56.962226
0.302349,0.028399,0.002964,0.005157,1.009952,0.979889,-0.895478,0.981553,0.976925,-0.900636,1.651960,1.384857,56.962217
0.302414,0.028399,0.002964,0.005157,1.009951,0.979889,-0.895478,0.981553,0.976925,-0.900636,1.651960,1.384856,56.962208
0.302443,0.028399,0.002964,0.005157,1.009951,0.979888,-0.895478,0.981552,0.976925,-0.900635,1.651959,1.384856,56.962198
0.312210,0.028306,0.002740,0.005768,1.009950,0.979888,-0.895478,0.981644,0.977148,-0.901246,1.652479,1.385079,56.948676
0.312265,0.028306,0.002740,0.005768,1.009950,0.979888,-0.895478,0.981644,0.977148,-0.901246,1.652479,1.385079,56.948666
0.322336,0.028306,0.002740,0.005768,1.009949,0.979888,-0.895478,0.981643,0.977148,-0.901246,1.652478,1.385078,56.948657
0.322395,0.028306,0.002740,0.005768,1.009948,0.979888,-0.895478,0.981642,0.977148,-0.901246,1.652478,1.385077,56.948647
0.322425,0.028306,0.002740,0.005768,1.009948,0.979888,-0.895478,0.981642,0.977148,-0.901246,1.652478,1.385077,56.948638
0.332195,0.028286,0.002560,0.006165,1.009947,0.979888,-0.895478,0.981661,0.977327,-0.901643,1.652812,1.385218,56.939770
