timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780640490666216,0,-0.0237241,-0.0226459,0.00946045,0,0,-5,-0.0237241,-0.0226459,5.00946,5.00957,0.000436482,-0.0513519,0.0146401,0,0,0
1780640490682216,0.016,-0.0232187,-0.0222328,0.00949097,0,0,-5,-0.0232187,-0.0222328,5.00949,5.00959,0.00171919,-0.0500699,0.0146706,0,0,0
1780640490706216,0.04,-0.0225024,-0.0216975,0.00952148,0,0,-5,-0.0225024,-0.0216975,5.00952,5.00962,0.0012014,-0.0499386,0.0150153,0,0,0
1780640490722216,0.056,-0.0220525,-0.0214147,0.00958252,0,0,-5,-0.0220525,-0.0214147,5.00958,5.00968,0.00179269,-0.0504167,0.0148673,0,0,0
1780640490746216,0.08,-0.0214258,-0.021116,0.00961304,0,0,-5,-0.0214258,-0.021116,5.00961,5.0097,0.0014997,-0.0525822,0.0144649,0,0,0
1780640490762216,0.096,-0.0210555,-0.0210078,0.00964355,0,0,-5,-0.0210555,-0.0210078,5.00964,5.00973,0.000279934,-0.0534465,0.0147474,0,0,0
1780640490786216,0.12,-0.0205625,-0.0209462,0.00973511,0,0,-5,-0.0205625,-0.0209462,5.00974,5.00982,0.000348999,-0.0544241,0.0159067,0,0,0
1780640490802216,0.136,-0.0202447,-0.0209627,0.00982666,0,0,-5,-0.0202447,-0.0209627,5.00983,5.00991,0.00148882,-0.0541094,0.0160739,0,0,0
1780640490826216,0.16,-0.0197868,-0.0210573,0.0100098,0,0,-5,-0.0197868,-0.0210573,5.01001,5.01009,0.00208972,-0.0531326,0.017172,0,0,0
1780640490842216,0.176,-0.019498,-0.0211569,0.0101318,0,0,-5,-0.019498,-0.0211569,5.01013,5.01021,0.00219881,-0.0525103,0.0171917,0,0,0
1780640490858216,0.192,-0.019215,-0.0212803,0.0102844,0,0,-5,-0.019215,-0.0212803,5.01028,5.01037,0.00312977,-0.0523272,0.0183936,0,0,0
1780640490882216,0.216,-0.0187849,-0.0215102,0.0105896,0,0,-5,-0.0187849,-0.0215102,5.01059,5.01067,0.00427026,-0.0516974,0.0197641,0,0,0
1780640490906216,0.24,-0.0183842,-0.0218084,0.0109253,0,0,-5,-0.0183842,-0.0218084,5.01093,5.01101,0.00380207,-0.0512121,0.0197112,0,0,0
1780640490922216,0.256,-0.0181576,-0.0220482,0.0111694,0,0,-5,-0.0181576,-0.0220482,5.01117,5.01125,0.00247041,-0.0519446,0.0189747,0,0,0
1780640490946216,0.28,-0.0178581,-0.0224666,0.0115051,0,0,-5,-0.0178581,-0.0224666,5.01151,5.01159,0.00292006,-0.052115,0.0186331,0,0,0
1780640490962216,0.296,-0.0176745,-0.0227793,0.0117493,0,0,-5,-0.0176745,-0.0227793,5.01175,5.01183,0.00241537,-0.0519907,0.0198598,0,0,0
1780640490978216,0.312,-0.0174977,-0.0231097,0.0119934,0,0,-5,-0.0174977,-0.0231097,5.01199,5.01208,0.00329652,-0.0513197,0.0210699,0,0,0
1780640491002216,0.336,-0.017259,-0.0236325,0.0123596,0,0,-5,-0.017259,-0.0236325,5.01236,5.01245,0.00185638,-0.0487839,0.0209588,0,0,0
1780640491018216,0.352,-0.0171271,-0.0239903,0.0126343,0,0,-5,-0.0171271,-0.0239903,5.01263,5.01272,0.00138265,-0.0493528,0.0217576,0,0,0
1780640491042216,0.376,-0.016967,-0.0245954,0.013092,0,0,-5,-0.016967,-0.0245954,5.01309,5.01318,4.80615e-05,-0.049173,0.0226944,0,0,0
1780640491058216,0.392,-0.0168808,-0.0250259,0.0133667,0,0,-5,-0.0168808,-0.0250259,5.01337,5.01346,-0.000310369,-0.0499562,0.0225301,0,0,0
1780640491082216,0.416,-0.0168229,-0.0247518,0.0135803,0,0,-5,-0.0168229,-0.0247518,5.01358,5.01367,-0.000358413,-0.0520021,0.021312,0,0,0
1780640491106216,0.44,-0.0167772,-0.0241177,0.0136414,0,0,-5,-0.0167772,-0.0241177,5.01364,5.01373,0.000699881,-0.0507393,0.0194266,0,0,0
1780640491122289,0.456073,-0.0167615,-0.0237692,0.0137024,0,0,-5,-0.0167615,-0.0237692,5.0137,5.01379,-0.000579305,-0.0512317,0.0190589,0,0,0
1780640491138289,0.472073,-0.0167772,-0.0234925,0.0137329,0,0,-5,-0.0167772,-0.0234925,5.01373,5.01382,-0.000220658,-0.05285,0.0175764,0,0,0
1780640491162289,0.496073,-0.0168095,-0.0232127,0.0137939,0,0,-5,-0.0168095,-0.0232127,5.01379,5.01388,-6.77507e-06,-0.0542172,0.0181241,0,0,0
1780640491186289,0.520073,-0.0168643,-0.0230627,0.013916,0,0,-5,-0.0168643,-0.0230627,5.01392,5.014,-0.000705786,-0.0549795,0.018592,0,0,0
1780640491202289,0.536073,-0.0169135,-0.0230288,0.0140076,0,0,-5,-0.0169135,-0.0230288,5.01401,5.01409,-0.00137919,-0.0550161,0.0185091,0,0,0
1780640491218289,0.552073,-0.0169836,-0.0230416,0.0141296,0,0,-5,-0.0169836,-0.0230416,5.01413,5.01421,-0.00190608,-0.0555008,0.0194567,0,0,0
1780640491242289,0.576073,-0.0170982,-0.0231664,0.0142212,0,0,-5,-0.0170982,-0.0231664,5.01422,5.0143,-0.00204831,-0.0550594,0.0187544,0,0,0
1780640491266289,0.600073,-0.017219,-0.0233657,0.0143127,0,0,-5,-0.017219,-0.0233657,5.01431,5.0144,-0.00174219,-0.0555336,0.0177983,0,0,0
1780640491282289,0.616073,-0.0173002,-0.023567,0.0143433,0,0,-5,-0.0173002,-0.023567,5.01434,5.01443,-0.00219166,-0.0562116,0.0170247,0,0,0
1780640491306289,0.640073,-0.017421,-0.0239587,0.0144348,0,0,-5,-0.017421,-0.0239587,5.01443,5.01452,-0.00180684,-0.0576084,0.0165609,0,0,0
1780640491322289,0.656073,-0.0175047,-0.0242681,0.0145264,0,0,-5,-0.0175047,-0.0242681,5.01453,5.01462,-0.00160789,-0.0578288,0.0161951,0,0,0
1780640491338289,0.672073,-0.0175802,-0.0246061,0.0145874,0,0,-5,-0.0175802,-0.0246061,5.01459,5.01468,-0.000927077,-0.0573729,0.0167523,0,0,0
1780640491362289,0.696073,-0.0177067,-0.0251914,0.0147705,0,0,-5,-0.0177067,-0.0251914,5.01477,5.01487,-0.000811318,-0.0593432,0.0164863,0,0,0
1780640491386289,0.720073,-0.0178276,-0.025842,0.0149536,0,0,-5,-0.0178276,-0.025842,5.01495,5.01505,-0.000868045,-0.0586689,0.0155332,0,0,0
1780640491402289,0.736073,-0.0179168,-0.026308,0.0151062,0,0,-5,-0.0179168,-0.026308,5.01511,5.01521,-0.00117518,-0.0588469,0.016062,0,0,0
