timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780640626070844,0,0.0139962,-0.0261739,-0.0243835,0,0,-5,0.0139962,-0.0261739,4.97562,4.9757,0.00142748,-0.056593,-0.00825824,0,0,0
1780640626094844,0.024,0.0140769,-0.0261937,-0.024353,0,0,-5,0.0140769,-0.0261937,4.97565,4.97574,0.00221165,-0.0554466,-0.00811713,0,0,0
1780640626110844,0.04,0.014135,-0.0262523,-0.0243225,0,0,-5,0.014135,-0.0262523,4.97568,4.97577,0.00128579,-0.0551754,-0.00911494,0,0,0
1780640626134844,0.064,0.0142161,-0.026397,-0.024292,0,0,-5,0.0142161,-0.026397,4.97571,4.9758,0.00177379,-0.0539829,-0.00848784,0,0,0
1780640626150844,0.08,0.0142763,-0.026543,-0.0242615,0,0,-5,0.0142763,-0.026543,4.97574,4.97583,0.00156007,-0.0545578,-0.0090597,0,0,0
1780640626166844,0.096,0.0143334,-0.0267394,-0.0242615,0,0,-5,0.0143334,-0.0267394,4.97574,4.97583,0.0019592,-0.054512,-0.00795627,0,0,0
1780640626190844,0.12,0.0144379,-0.0271103,-0.024231,0,0,-5,0.0144379,-0.0271103,4.97577,4.97586,0.00316251,-0.0550215,-0.0101847,0,0,0
1780640626206844,0.136,0.0145141,-0.0274104,-0.0242615,0,0,-5,0.0145141,-0.0274104,4.97574,4.97584,0.00289939,-0.0552507,-0.00995299,0,0,0
1780640626230844,0.16,0.0146273,-0.0279228,-0.024292,0,0,-5,0.0146273,-0.0279228,4.97571,4.97581,0.00337832,-0.0559801,-0.0096796,0,0,0
1780640626246844,0.176,0.0147187,-0.028308,-0.024353,0,0,-5,0.0147187,-0.028308,4.97565,4.97575,0.0033608,-0.0556445,-0.0111744,0,0,0
1780640626270844,0.2,0.0148722,-0.0289288,-0.0244446,0,0,-5,0.0148722,-0.0289288,4.97556,4.97566,0.0031567,-0.0555826,-0.0101995,0,0,0
1780640626294844,0.224,0.0150472,-0.0296189,-0.0245667,0,0,-5,0.0150472,-0.0296189,4.97543,4.97554,0.0052236,-0.0561657,-0.0105355,0,0,0
1780640626310844,0.24,0.0151668,-0.030113,-0.0246582,0,0,-5,0.0151668,-0.030113,4.97534,4.97546,0.00422345,-0.0553531,-0.0111584,0,0,0
1780640626334844,0.264,0.0153339,-0.0308898,-0.0248108,0,0,-5,0.0153339,-0.0308898,4.97519,4.97531,0.0035489,-0.0559157,-0.0116328,0,0,0
1780640626350844,0.28,0.0153293,-0.0308615,-0.0249023,0,0,-5,0.0153293,-0.0308615,4.9751,4.97522,0.00310056,-0.0565509,-0.0124195,0,0,0
1780640626374844,0.304,0.0151656,-0.0300639,-0.0249329,0,0,-5,0.0151656,-0.0300639,4.97507,4.97518,0.00295762,-0.0559629,-0.0124348,0,0,0
1780640626390844,0.32,0.0150725,-0.0296189,-0.0249634,0,0,-5,0.0150725,-0.0296189,4.97504,4.97515,0.00449192,-0.0555098,-0.0124585,0,0,0
1780640626406844,0.336,0.0150004,-0.0292221,-0.0249634,0,0,-5,0.0150004,-0.0292221,4.97504,4.97515,0.00439644,-0.0542826,-0.0117375,0,0,0
1780640626430844,0.36,0.0148994,-0.0287406,-0.0249939,0,0,-5,0.0148994,-0.0287406,4.97501,4.97511,0.00397976,-0.0535552,-0.0122685,0,0,0
1780640626454844,0.384,0.0148065,-0.0283849,-0.0250854,0,0,-5,0.0148065,-0.0283849,4.97491,4.97502,0.00347229,-0.0540715,-0.0132493,0,0,0
1780640626470844,0.4,0.0147577,-0.0282218,-0.0251465,0,0,-5,0.0147577,-0.0282218,4.97485,4.97496,0.00402275,-0.0544108,-0.0135587,0,0,0
1780640626494844,0.424,0.0146803,-0.0280762,-0.0252686,0,0,-5,0.0146803,-0.0280762,4.97473,4.97483,0.00263168,-0.0538644,-0.0128862,0,0,0
1780640626510844,0.44,0.01463,-0.0280382,-0.0253601,0,0,-5,0.01463,-0.0280382,4.97464,4.97474,0.00291456,-0.0547069,-0.0129552,0,0,0
1780640626534844,0.464,0.0145693,-0.0280831,-0.0255127,0,0,-5,0.0145693,-0.0280831,4.97449,4.97459,0.00220861,-0.0548981,-0.0128184,0,0,0
1780640626550844,0.48,0.0145325,-0.0281678,-0.0256348,0,0,-5,0.0145325,-0.0281678,4.97437,4.97447,0.00151013,-0.0544479,-0.0131882,0,0,0
1780640626574844,0.504,0.0144795,-0.0283682,-0.0258179,0,0,-5,0.0144795,-0.0283682,4.97418,4.97428,0.00196633,-0.0546409,-0.0135103,0,0,0
1780640626590844,0.52,0.0144603,-0.0285488,-0.0259399,0,0,-5,0.0144603,-0.0285488,4.97406,4.97416,0.00226973,-0.0542006,-0.0126209,0,0,0
1780640626614844,0.544,0.0144703,-0.028859,-0.026123,0,0,-5,0.0144703,-0.028859,4.97388,4.97398,0.00415901,-0.0516323,-0.0121309,0,0,0
1780640626630844,0.56,0.0145101,-0.0290867,-0.0262451,0,0,-5,0.0145101,-0.0290867,4.97375,4.97386,0.00504534,-0.0521886,-0.0120777,0,0,0
1780640626646844,0.576,0.0145512,-0.0293608,-0.0263367,0,0,-5,0.0145512,-0.0293608,4.97366,4.97377,0.00361212,-0.0522839,-0.0119139,0,0,0
1780640626670844,0.6,0.0146085,-0.0298263,-0.0265198,0,0,-5,0.0146085,-0.0298263,4.97348,4.97359,0.00404064,-0.0522628,-0.013336,0,0,0
1780640626694844,0.624,0.0146663,-0.0303417,-0.0267639,0,0,-5,0.0146663,-0.0303417,4.97324,4.97335,0.00378305,-0.0511451,-0.0146341,0,0,0
1780640626710844,0.64,0.0147188,-0.0307187,-0.026886,0,0,-5,0.0147188,-0.0307187,4.97311,4.97323,0.00427605,-0.0519486,-0.0147389,0,0,0
1780640626734844,0.664,0.0148054,-0.0313723,-0.0270691,0,0,-5,0.0148054,-0.0313723,4.97293,4.97305,0.00420093,-0.0538078,-0.0159894,0,0,0
1780640626750844,0.68,0.0147722,-0.0312807,-0.0271301,0,0,-5,0.0147722,-0.0312807,4.97287,4.97299,0.00477928,-0.053708,-0.0162299,0,0,0
1780640626766844,0.696,0.0146584,-0.0307054,-0.0270996,0,0,-5,0.0146584,-0.0307054,4.9729,4.97302,0.00319903,-0.0539622,-0.0160661,0,0,0
1780640626790844,0.72,0.0144755,-0.0299788,-0.0270691,0,0,-5,0.0144755,-0.0299788,4.97293,4.97304,0.00242691,-0.0528913,-0.0145891,0,0,0
1780640626814844,0.744,0.0143248,-0.0293946,-0.0270691,0,0,-5,0.0143248,-0.0293946,4.97293,4.97304,0.0033088,-0.0526933,-0.0160492,0,0,0
