timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780639875301916,0,-0.0174556,-0.0227977,0.0141296,0,0,-5,-0.0174556,-0.0227977,5.01413,5.01421,0.000262279,-0.053783,0.0189442,0,0,0
1780639875325916,0.024,-0.017515,-0.0227305,0.0142517,0,0,-5,-0.017515,-0.0227305,5.01425,5.01433,-0.000387137,-0.0543783,0.0185794,0,0,0
1780639875341916,0.04,-0.0175739,-0.022744,0.0143127,0,0,-5,-0.0175739,-0.022744,5.01431,5.0144,-0.000901766,-0.0548643,0.0195197,0,0,0
1780639875357916,0.056,-0.0176365,-0.0228194,0.0144043,0,0,-5,-0.0176365,-0.0228194,5.0144,5.01449,-0.000727169,-0.0547276,0.0197323,0,0,0
1780639875381916,0.08,-0.0177355,-0.0229924,0.0145569,0,0,-5,-0.0177355,-0.0229924,5.01456,5.01464,-0.000449178,-0.0542109,0.0178332,0,0,0
1780639875405916,0.104,-0.0178427,-0.023268,0.014679,0,0,-5,-0.0178427,-0.023268,5.01468,5.01476,-0.00113726,-0.0555835,0.0171102,0,0,0
1780639875421916,0.12,-0.0179179,-0.0235149,0.01474,0,0,-5,-0.0179179,-0.0235149,5.01474,5.01483,-0.000376716,-0.0567937,0.0170664,0,0,0
1780639875445916,0.144,-0.0180314,-0.0239506,0.0148926,0,0,-5,-0.0180314,-0.0239506,5.01489,5.01498,-0.000545369,-0.0571905,0.0162904,0,0,0
1780639875461916,0.16,-0.0181005,-0.0242758,0.0149841,0,0,-5,-0.0181005,-0.0242758,5.01498,5.01508,0.000140972,-0.0567268,0.0168526,0,0,0
1780639875477916,0.176,-0.0181747,-0.0246452,0.0151062,0,0,-5,-0.0181747,-0.0246452,5.01511,5.0152,-0.000345293,-0.0583407,0.0168118,0,0,0
1780639875501916,0.2,-0.0182801,-0.0252641,0.0153198,0,0,-5,-0.0182801,-0.0252641,5.01532,5.01542,0.000495148,-0.0578047,0.0153189,0,0,0
1780639875525916,0.224,-0.0183961,-0.0259353,0.0155029,0,0,-5,-0.0183961,-0.0259353,5.0155,5.0156,-8.11852e-05,-0.0581753,0.0161614,0,0,0
1780639875541916,0.24,-0.0184692,-0.0264268,0.015686,0,0,-5,-0.0184692,-0.0264268,5.01569,5.01579,0.000482337,-0.059782,0.0156039,0,0,0
1780639875557916,0.256,-0.0185526,-0.0269547,0.0158386,0,0,-5,-0.0185526,-0.0269547,5.01584,5.01595,-0.000561677,-0.0609972,0.0154278,0,0,0
1780639875581916,0.28,-0.0187131,-0.0278023,0.0160828,0,0,-5,-0.0187131,-0.0278023,5.01608,5.01619,-0.000981741,-0.0607601,0.0157282,0,0,0
1780639875605916,0.304,-0.018473,-0.0275878,0.0160828,0,0,-5,-0.018473,-0.0275878,5.01608,5.01619,-0.00172961,-0.0605163,0.014302,0,0,0
1780639875621916,0.32,-0.0181942,-0.0271588,0.0159607,0,0,-5,-0.0181942,-0.0271588,5.01596,5.01607,-0.00109216,-0.0601467,0.0151444,0,0,0
1780639875645916,0.344,-0.0178033,-0.0266283,0.0158691,0,0,-5,-0.0178033,-0.0266283,5.01587,5.01597,-0.00100027,-0.0597816,0.0154355,0,0,0
1780639875661916,0.36,-0.0175652,-0.0263467,0.0158386,0,0,-5,-0.0175652,-0.0263467,5.01584,5.01594,-0.000647429,-0.0590994,0.015761,0,0,0
1780639875677916,0.376,-0.0173369,-0.0261094,0.0158386,0,0,-5,-0.0173369,-0.0261094,5.01584,5.01594,-0.000641222,-0.0577293,0.0156742,0,0,0
