timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780638665421039,0,0.0341384,-0.0612422,0.0147705,0,0,-5,0.0341384,-0.0612422,5.01477,5.01526,0.00501864,-0.034114,-0.00491185,0,0,0
1780638665445060,0.024021,0.0337679,-0.0607489,0.0142822,0,0,-5,0.0337679,-0.0607489,5.01428,5.01476,0.00397599,-0.0354098,-0.00636189,0,0,0
1780638665461052,0.040013,0.0335283,-0.0604913,0.0139771,0,0,-5,0.0335283,-0.0604913,5.01398,5.01445,0.00318491,-0.0359141,-0.00641736,0,0,0
1780638665485054,0.064015,0.0331829,-0.0601979,0.0135498,0,0,-5,0.0331829,-0.0601979,5.01355,5.01402,0.0028753,-0.0371649,-0.00589437,0,0,0
1780638665501207,0.080168,0.0329692,-0.0600669,0.0132751,0,0,-5,0.0329692,-0.0600669,5.01328,5.01374,0.00240392,-0.0377349,-0.00684316,0,0,0
1780638665525286,0.104247,0.0326415,-0.0599639,0.0128479,0,0,-5,0.0326415,-0.0599639,5.01285,5.01331,-9.80449e-06,-0.0386372,-0.00611413,0,0,0
1780638665541422,0.120383,0.0324224,-0.0599594,0.0126038,0,0,-5,0.0324224,-0.0599594,5.0126,5.01307,-0.00082665,-0.0382654,-0.00600517,0,0,0
1780638665565464,0.144425,0.0321355,-0.0600112,0.0122681,0,0,-5,0.0321355,-0.0600112,5.01227,5.01273,0.000287193,-0.0378998,-0.00698941,0,0,0
1780638665581500,0.160461,0.0319564,-0.0600841,0.012085,0,0,-5,0.0319564,-0.0600841,5.01208,5.01255,-0.000590388,-0.0383724,-0.00646683,0,0,0
1780638665605547,0.184508,0.0316999,-0.0602557,0.0118103,0,0,-5,0.0316999,-0.0602557,5.01181,5.01227,-0.000205158,-0.0386656,-0.00643586,0,0,0
1780638665621647,0.200608,0.0315533,-0.0604028,0.0116577,0,0,-5,0.0315533,-0.0604028,5.01166,5.01212,0.000446674,-0.0383276,-0.00734671,0,0,0
1780638665645726,0.224687,0.0313499,-0.0606954,0.0114441,0,0,-5,0.0313499,-0.0606954,5.01144,5.01191,0.000224747,-0.0403349,-0.00707305,0,0,0
1780638665661842,0.240803,0.0312162,-0.0609498,0.011322,0,0,-5,0.0312162,-0.0609498,5.01132,5.01179,-0.000436168,-0.0422885,-0.00747071,0,0,0
1780638665685992,0.264953,0.0310279,-0.0614281,0.0111084,0,0,-5,0.0310279,-0.0614281,5.01111,5.01158,-0.000918448,-0.0440638,-0.00762695,0,0,0
1780638665702220,0.281181,0.0308847,-0.0617856,0.0110168,0,0,-5,0.0308847,-0.0617856,5.01102,5.01149,-0.00287302,-0.0437081,-0.00668138,0,0,0
1780638665726319,0.30528,0.0306595,-0.0623431,0.0109253,0,0,-5,0.0306595,-0.0623431,5.01093,5.01141,-0.00344474,-0.0433978,-0.006258,0,0,0
1780638665742496,0.321457,0.0305611,-0.062737,0.0108643,0,0,-5,0.0305611,-0.062737,5.01086,5.01135,-0.00330349,-0.0436567,-0.00615607,0,0,0
1780638665766569,0.34553,0.0304298,-0.0633892,0.0108032,0,0,-5,0.0304298,-0.0633892,5.0108,5.0113,-0.00305999,-0.0459451,-0.00641099,0,0,0
1780638665782656,0.361617,0.0300829,-0.0627318,0.0107117,0,0,-5,0.0300829,-0.0627318,5.01071,5.01119,-0.00203647,-0.0467375,-0.00643746,0,0,0
1780638665806695,0.385656,0.0296187,-0.0618659,0.0106201,0,0,-5,0.0296187,-0.0618659,5.01062,5.01109,-0.00180045,-0.0463029,-0.00543746,0,0,0
1780638665822738,0.401699,0.0293322,-0.0613801,0.0105286,0,0,-5,0.0293322,-0.0613801,5.01053,5.01099,-0.00128449,-0.046858,-0.0058739,0,0,0
1780638665846792,0.425753,0.0289366,-0.0607848,0.010437,0,0,-5,0.0289366,-0.0607848,5.01044,5.01089,-0.00129732,-0.0473964,-0.00698149,0,0,0
1780638665862822,0.441783,0.028707,-0.0604547,0.0103455,0,0,-5,0.028707,-0.0604547,5.01035,5.01079,-0.000260841,-0.0467187,-0.00714633,0,0,0
1780638665886859,0.46582,0.0283841,-0.0600406,0.0102234,0,0,-5,0.0283841,-0.0600406,5.01022,5.01066,-0.000836711,-0.0466179,-0.00668317,0,0,0
1780638665902798,0.481759,0.0281741,-0.0598348,0.0101318,0,0,-5,0.0281741,-0.0598348,5.01013,5.01057,-0.00147296,-0.0470604,-0.0059773,0,0,0
1780638665926783,0.505744,0.0278816,-0.0596232,0.0100098,0,0,-5,0.0278816,-0.0596232,5.01001,5.01044,-0.00166125,-0.0473818,-0.00585276,0,0,0
1780638665942743,0.521704,0.0276822,-0.0595115,0.00991821,0,0,-5,0.0276822,-0.0595115,5.00992,5.01035,-0.00312523,-0.0465448,-0.00712254,0,0,0
1780638665966762,0.545723,0.0273922,-0.0594044,0.00976562,0,0,-5,0.0273922,-0.0594044,5.00977,5.01019,-0.00326495,-0.045237,-0.00732177,0,0,0
1780638665982729,0.56169,0.0271953,-0.059367,0.00970459,0,0,-5,0.0271953,-0.059367,5.0097,5.01013,-0.00471788,-0.0449122,-0.00664125,0,0,0
1780638666006709,0.58567,0.0268689,-0.0594076,0.00961304,0,0,-5,0.0268689,-0.0594076,5.00961,5.01004,-0.00645731,-0.0466118,-0.0060653,0,0,0
1780638666022655,0.601616,0.0266443,-0.0594924,0.00958252,0,0,-5,0.0266443,-0.0594924,5.00958,5.01001,-0.00732646,-0.0475358,-0.00580065,0,0,0
1780638666046633,0.625594,0.0263082,-0.0596965,0.00949097,0,0,-5,0.0263082,-0.0596965,5.00949,5.00992,-0.00836735,-0.0482244,-0.00650257,0,0,0
1780638666062543,0.641504,0.026077,-0.0598789,0.00946045,0,0,-5,0.026077,-0.0598789,5.00946,5.00989,-0.00886408,-0.0486262,-0.00581761,0,0,0
1780638666086464,0.665425,0.0257394,-0.0602201,0.00939941,0,0,-5,0.0257394,-0.0602201,5.0094,5.00983,-0.00970548,-0.0488708,-0.00675889,0,0,0
1780638666102396,0.681357,0.0255065,-0.0604899,0.00933838,0,0,-5,0.0255065,-0.0604899,5.00934,5.00977,-0.0101427,-0.0498506,-0.00623935,0,0,0
1780638666126370,0.705331,0.0251794,-0.0609498,0.00930786,0,0,-5,0.0251794,-0.0609498,5.00931,5.00974,-0.00932771,-0.049731,-0.00374631,0,0,0
1780638666142368,0.721329,0.0250156,-0.0613104,0.00927734,0,0,-5,0.0250156,-0.0613104,5.00928,5.00971,-0.00846024,-0.0480971,-0.003567,0,0,0
1780638666166363,0.745324,0.024793,-0.0618825,0.00924683,0,0,-5,0.024793,-0.0618825,5.00925,5.00969,-0.00871063,-0.0479015,-0.00172587,0,0,0
1780638666182349,0.76131,0.0243958,-0.0614343,0.00909424,0,0,-5,0.0243958,-0.0614343,5.00909,5.00953,-0.00947888,-0.047514,-0.000828221,0,0,0
1780638666206351,0.785312,0.0234666,-0.0596573,0.00863647,0,0,-5,0.0234666,-0.0596573,5.00864,5.00905,-0.00915576,-0.0484639,-0.000613479,0,0,0
1780638666222296,0.801257,0.0228861,-0.0585828,0.00839233,0,0,-5,0.0228861,-0.0585828,5.00839,5.00879,-0.00908912,-0.0470972,-0.00115566,0,0,0
1780638666246297,0.825258,0.0220693,-0.0571108,0.00802612,0,0,-5,0.0220693,-0.0571108,5.00803,5.0084,-0.00776865,-0.0460045,-4.5183e-05,0,0,0
1780638666262316,0.841277,0.0215583,-0.0562156,0.0078125,0,0,-5,0.0215583,-0.0562156,5.00781,5.00817,-0.00902772,-0.0455959,-0.00107759,0,0,0
1780638666286330,0.865291,0.0207904,-0.0550229,0.00747681,0,0,-5,0.0207904,-0.0550229,5.00748,5.00782,-0.0107686,-0.0448715,-0.00117171,0,0,0
1780638666302355,0.881316,0.020286,-0.0542979,0.0072937,0,0,-5,0.020286,-0.0542979,5.00729,5.00763,-0.011193,-0.0442466,-0.000908084,0,0,0
1780638666326391,0.905352,0.0195736,-0.0533003,0.00698853,0,0,-5,0.0195736,-0.0533003,5.00699,5.00731,-0.010772,-0.042239,-0.00124225,0,0,0
1780638666342481,0.921442,0.0190504,-0.0526972,0.00686646,0,0,-5,0.0190504,-0.0526972,5.00687,5.00718,-0.0117527,-0.0421909,-0.000537317,0,0,0
1780638666366518,0.945479,0.0182966,-0.0519001,0.00674438,0,0,-5,0.0182966,-0.0519001,5.00674,5.00705,-0.0114103,-0.0415662,-0.000864244,0,0,0
1780638666382597,0.961558,0.0178151,-0.0514276,0.00665283,0,0,-5,0.0178151,-0.0514276,5.00665,5.00695,-0.0110286,-0.040982,-0.0010384,0,0,0
1780638666406599,0.98556,0.0171353,-0.0508118,0.00656128,0,0,-5,0.0171353,-0.0508118,5.00656,5.00685,-0.0109895,-0.0415876,0.00052963,0,0,0
