t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg
0.088565,0.031216,-0.060950,-0.011322,0.742452,1.166789,0.149419,0.711236,1.227739,0.160741,1.427949,1.418873,83.536631
0.088588,0.031216,-0.060950,-0.011322,0.742454,1.166792,0.149419,0.711238,1.227742,0.160741,1.427952,1.418876,83.536649
0.088597,0.031216,-0.060950,-0.011322,0.742456,1.166796,0.149419,0.711240,1.227746,0.160741,1.427956,1.418880,83.536666
0.097220,0.031216,-0.060950,-0.011322,0.742458,1.166799,0.149419,0.711242,1.227749,0.160741,1.427960,1.418884,83.536684
0.097245,0.031216,-0.060950,-0.011322,0.742460,1.166803,0.149419,0.711244,1.227753,0.160741,1.427964,1.418888,83.536702
0.107355,0.031216,-0.060950,-0.011322,0.742462,1.166806,0.149419,0.711246,1.227756,0.160741,1.427968,1.418892,83.536719
0.107399,0.031216,-0.060950,-0.011322,0.742464,1.166810,0.149419,0.711247,1.227760,0.160741,1.427972,1.418896,83.536737
0.107419,0.031216,-0.060950,-0.011322,0.742466,1.166813,0.149419,0.711249,1.227763,0.160741,1.427976,1.418900,83.536754
0.117342,0.031028,-0.061428,-0.011108,0.742467,1.166817,0.149419,0.711440,1.228245,0.160528,1.428461,1.419412,83.547581
0.117361,0.031028,-0.061428,-0.011108,0.742469,1.166820,0.149419,0.711441,1.228248,0.160528,1.428465,1.419416,83.547598
0.127169,0.031028,-0.061428,-0.011108,0.742471,1.166824,0.149419,0.711443,1.228252,0.160528,1.428469,1.419420,83.547616
0.127201,0.031028,-0.061428,-0.011108,0.742473,1.166827,0.149419,0.711445,1.228255,0.160528,1.428473,1.419424,83.547633
0.127215,0.031028,-0.061428,-0.011108,0.742475,1.166831,0.149419,0.711447,1.228259,0.160528,1.428477,1.419428,83.547651
0.137283,0.030885,-0.061786,-0.011017,0.742477,1.166834,0.149419,0.711592,1.228620,0.160436,1.428849,1.419813,83.553034
0.137326,0.030885,-0.061786,-0.011017,0.742479,1.166837,0.149419,0.711594,1.228623,0.160436,1.428853,1.419817,83.553051
0.147181,0.030885,-0.061786,-0.011017,0.742481,1.166841,0.149419,0.711596,1.228627,0.160436,1.428857,1.419821,83.553069
0.147224,0.030885,-0.061786,-0.011017,0.742483,1.166844,0.149419,0.711598,1.228630,0.160436,1.428861,1.419825,83.553086
0.147247,0.030885,-0.061786,-0.011017,0.742485,1.166848,0.149419,0.711600,1.228633,0.160436,1.428865,1.419829,83.553104
0.157312,0.030659,-0.062343,-0.010925,0.742487,1.166851,0.149419,0.711827,1.229194,0.160345,1.429450,1.420428,83.559447
0.157332,0.030659,-0.062343,-0.010925,0.742488,1.166855,0.149419,0.711829,1.229198,0.160345,1.429454,1.420432,83.559464
0.167288,0.030659,-0.062343,-0.010925,0.742490,1.166858,0.149419,0.711831,1.229201,0.160345,1.429458,1.420436,83.559482
0.167330,0.030659,-0.062343,-0.010925,0.742492,1.166862,0.149419,0.711833,1.229205,0.160345,1.429462,1.420440,83.559499
0.167350,0.030659,-0.062343,-0.010925,0.742494,1.166865,0.149419,0.711835,1.229208,0.160345,1.429466,1.420444,83.559517
0.177648,0.030561,-0.062737,-0.010864,0.742496,1.166869,0.149419,0.711935,1.229606,0.160284,1.429850,1.420838,83.563719
0.177694,0.030561,-0.062737,-0.010864,0.742498,1.166872,0.149419,0.711937,1.229609,0.160284,1.429854,1.420842,83.563736
0.187247,0.030561,-0.062737,-0.010864,0.742500,1.166876,0.149419,0.711939,1.229613,0.160284,1.429858,1.420846,83.563754
0.187275,0.030561,-0.062737,-0.010864,0.742502,1.166879,0.149419,0.711941,1.229616,0.160284,1.429862,1.420850,83.563771
0.187290,0.030561,-0.062737,-0.010864,0.742504,1.166882,0.149419,0.711943,1.229620,0.160284,1.429866,1.420854,83.563789
