case,payload_mass_kg,cable_length_m,metric,baseline,geometric,improvement_percent
cable_m050_l050,0.05,0.5,mean_3d_error_m,0.44893468008097165,0.3568217223796034,20.518120294193885
cable_m050_l050,0.05,0.5,rms_3d_error_m,0.48035680399737773,0.3720049796283705,22.55652953540734
cable_m050_l050,0.05,0.5,mean_lateral_swing_m,0.2832516123955545,0.257583345629966,9.062001994800077
cable_m050_l050,0.05,0.5,mean_cable_angle_deg,34.75949192544821,31.19427820901573,10.256806181399632
cable_m050_l150,0.05,1.5,mean_3d_error_m,0.43343039009300444,0.34968691427416093,19.321090014217518
cable_m050_l150,0.05,1.5,rms_3d_error_m,0.4634699972477559,0.36570297373425614,21.09457442640817
cable_m050_l150,0.05,1.5,mean_lateral_swing_m,0.8435536570780325,0.766794743780893,9.099470158546065
cable_m050_l150,0.05,1.5,mean_cable_angle_deg,34.39717459468439,30.870617487723845,10.252461571380119
mass_m100_l100,0.1,1.0,mean_3d_error_m,0.49145033394012944,0.46910149062754686,4.547528360272762
mass_m100_l100,0.1,1.0,rms_3d_error_m,0.5236241852412529,0.486256489660102,7.136357837240504
mass_m100_l100,0.1,1.0,mean_lateral_swing_m,0.564793544371505,0.5087194584114053,9.928244846087642
mass_m100_l100,0.1,1.0,mean_cable_angle_deg,34.6220645029581,30.744215774908348,11.200512689583912
mass_m200_l100,0.2,1.0,mean_3d_error_m,0.5908213321123321,0.742399265256306,-25.65546044216875
mass_m200_l100,0.2,1.0,rms_3d_error_m,0.6265741822095469,0.762614509422996,-21.711767110115755
mass_m200_l100,0.2,1.0,mean_lateral_swing_m,0.5633356472269868,0.4937124561646064,12.359095577405718
mass_m200_l100,0.2,1.0,mean_cable_angle_deg,34.49957760091481,29.727213943233572,13.833107503190684
nominal_m050_l100,0.05,1.0,mean_3d_error_m,0.4457796606997559,0.33581288025889966,24.668415842086098
nominal_m050_l100,0.05,1.0,rms_3d_error_m,0.47545058344187335,0.35037834726575623,26.30604326336008
nominal_m050_l100,0.05,1.0,mean_lateral_swing_m,0.5631020972743593,0.5143706318605594,8.654108313515401
nominal_m050_l100,0.05,1.0,mean_cable_angle_deg,34.50495509188836,31.130093534495337,9.780802636623076
