case,payload_mass_kg,cable_length_m,profile,tracking_valid,swing_valid,mean_3d_error_m,rms_3d_error_m,max_3d_error_m,mean_xy_error_m,mean_z_ned_m,mean_cable_length_m,mean_lateral_swing_m,max_lateral_swing_m,mean_cable_angle_deg,max_cable_angle_deg
nominal_m050_l100,0.05,1.0,baseline,True,True,0.4457796606997559,0.47545058344187335,0.666506,0.44531628030122483,-4.99826876729048,1.00130460625102,0.5631020972743593,0.729597,34.50495509188836,46.719796
nominal_m050_l100,0.05,1.0,geometric,True,True,0.33581288025889966,0.35037834726575623,0.568577,0.3355997390165161,-4.995080845469256,1.0010996662342926,0.5143706318605594,0.672991,31.130093534495337,42.201462
mass_m100_l100,0.1,1.0,baseline,True,True,0.49145033394012944,0.5236241852412529,0.735712,0.4911481347154683,-4.998442665857604,1.0013073287948782,0.564793544371505,0.730761,34.6220645029581,46.817812
mass_m100_l100,0.1,1.0,geometric,True,True,0.46910149062754686,0.486256489660102,0.770091,0.4609693366908495,-4.917782465362674,1.0010712605295315,0.5087194584114053,0.669182,30.744215774908348,41.909208
mass_m200_l100,0.2,1.0,baseline,True,True,0.5908213321123321,0.6265741822095469,0.855652,0.5906407067368018,-5.000265795685795,1.0012875702850608,0.5633356472269868,0.722501,34.49957760091481,46.133759
mass_m200_l100,0.2,1.0,geometric,True,True,0.742399265256306,0.762614509422996,1.12166,0.703401785726318,-4.770121098454028,1.000997779928432,0.4937124561646064,0.650293,29.727213943233572,40.478343
cable_m050_l050,0.05,0.5,baseline,True,True,0.44893468008097165,0.48035680399737773,0.71055,0.4486586503999151,-5.0000661983805665,0.5002041138963251,0.2832516123955545,0.361844,34.75949192544821,46.314919
cable_m050_l050,0.05,0.5,geometric,True,True,0.3568217223796034,0.3720049796283705,0.594487,0.35664640840593265,-4.995333808174829,0.5001607904167342,0.257583345629966,0.337223,31.19427820901573,42.377266
cable_m050_l150,0.05,1.5,baseline,True,True,0.43343039009300444,0.4634699972477559,0.689403,0.43314550131823787,-5.00093278608977,1.5031567365691598,0.8435536570780325,1.082595,34.39717459468439,45.996731
cable_m050_l150,0.05,1.5,geometric,True,True,0.34968691427416093,0.36570297373425614,0.584436,0.34951718718907954,-4.996079688637283,1.5026643683656105,0.766794743780893,0.999364,30.870617487723845,41.627912
