t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg,pose_source
0.013973,1.009949,0.979884,0.104518,1.009912,0.979879,-0.895482,-0.000038,-0.000005,-1.000000,1.000000,0.000038,0.002168,gazebo_link_pair
0.013993,1.009949,0.979884,0.104518,1.009911,0.979879,-0.895482,-0.000038,-0.000005,-1.000000,1.000000,0.000038,0.002191,gazebo_link_pair
0.014002,1.009949,0.979884,0.104518,1.009911,0.979879,-0.895482,-0.000038,-0.000005,-1.000000,1.000000,0.000039,0.002214,gazebo_link_pair
0.021919,1.009949,0.979884,0.104518,1.009910,0.979879,-0.895482,-0.000039,-0.000005,-1.000000,1.000000,0.000039,0.002236,gazebo_link_pair
0.021937,1.009949,0.979884,0.104518,1.009910,0.979879,-0.895482,-0.000039,-0.000005,-1.000000,1.000000,0.000039,0.002258,gazebo_link_pair
0.031858,1.009949,0.979884,0.104518,1.009910,0.979879,-0.895482,-0.000039,-0.000005,-1.000000,1.000000,0.000040,0.002280,gazebo_link_pair
0.031876,1.009949,0.979884,0.104518,1.009909,0.979879,-0.895482,-0.000040,-0.000005,-1.000000,1.000000,0.000040,0.002301,gazebo_link_pair
0.041912,1.009949,0.979884,0.104518,1.009909,0.979879,-0.895482,-0.000040,-0.000005,-1.000000,1.000000,0.000041,0.002322,gazebo_link_pair
0.041952,1.009949,0.979884,0.104518,1.009909,0.979879,-0.895482,-0.000041,-0.000005,-1.000000,1.000000,0.000041,0.002342,gazebo_link_pair
0.041974,1.009949,0.979884,0.104518,1.009908,0.979879,-0.895482,-0.000041,-0.000006,-1.000000,1.000000,0.000041,0.002374,gazebo_link_pair
0.051858,1.009949,0.979884,0.104518,1.009908,0.979879,-0.895482,-0.000041,-0.000006,-1.000000,1.000000,0.000042,0.002394,gazebo_link_pair
0.051898,1.009949,0.979884,0.104518,1.009908,0.979879,-0.895482,-0.000042,-0.000006,-1.000000,1.000000,0.000042,0.002414,gazebo_link_pair
0.061839,1.009949,0.979884,0.104518,1.009907,0.979878,-0.895482,-0.000042,-0.000006,-1.000000,1.000000,0.000042,0.002433,gazebo_link_pair
0.061875,1.009949,0.979884,0.104518,1.009907,0.979878,-0.895482,-0.000042,-0.000006,-1.000000,1.000000,0.000043,0.002452,gazebo_link_pair
0.061901,1.009949,0.979884,0.104518,1.009907,0.979878,-0.895482,-0.000043,-0.000006,-1.000000,1.000000,0.000043,0.002470,gazebo_link_pair
0.072027,1.009949,0.979884,0.104518,1.009906,0.979878,-0.895482,-0.000043,-0.000006,-1.000000,1.000000,0.000043,0.002488,gazebo_link_pair
0.072104,1.009949,0.979884,0.104518,1.009906,0.979878,-0.895482,-0.000043,-0.000006,-1.000000,1.000000,0.000044,0.002505,gazebo_link_pair
0.081876,1.009949,0.979884,0.104518,1.009906,0.979878,-0.895482,-0.000044,-0.000006,-1.000000,1.000000,0.000044,0.002523,gazebo_link_pair
0.081923,1.009949,0.979884,0.104518,1.009905,0.979878,-0.895482,-0.000044,-0.000006,-1.000000,1.000000,0.000044,0.002539,gazebo_link_pair
0.081953,1.009949,0.979884,0.104518,1.009905,0.979878,-0.895482,-0.000044,-0.000006,-1.000000,1.000000,0.000045,0.002556,gazebo_link_pair
0.091815,1.009949,0.979884,0.104518,1.009905,0.979878,-0.895482,-0.000044,-0.000006,-1.000000,1.000000,0.000045,0.002572,gazebo_link_pair
0.091838,1.009949,0.979884,0.104518,1.009904,0.979878,-0.895482,-0.000045,-0.000006,-1.000000,1.000000,0.000045,0.002587,gazebo_link_pair
0.101904,1.009949,0.979884,0.104518,1.009904,0.979878,-0.895482,-0.000045,-0.000006,-1.000000,1.000000,0.000045,0.002603,gazebo_link_pair
0.101936,1.009949,0.979884,0.104518,1.009904,0.979878,-0.895482,-0.000045,-0.000006,-1.000000,1.000000,0.000046,0.002617,gazebo_link_pair
0.101954,1.009949,0.979884,0.104518,1.009904,0.979878,-0.895482,-0.000045,-0.000006,-1.000000,1.000000,0.000046,0.002632,gazebo_link_pair
0.112004,1.009949,0.979885,0.104518,1.009903,0.979878,-0.895482,-0.000046,-0.000007,-1.000000,1.000000,0.000046,0.002658,gazebo_link_pair
0.112062,1.009949,0.979884,0.104518,1.009903,0.979878,-0.895482,-0.000046,-0.000007,-1.000000,1.000000,0.000047,0.002671,gazebo_link_pair
0.121925,1.009949,0.979884,0.104518,1.009903,0.979878,-0.895482,-0.000046,-0.000007,-1.000000,1.000000,0.000047,0.002685,gazebo_link_pair
0.121967,1.009949,0.979884,0.104518,1.009903,0.979877,-0.895482,-0.000047,-0.000007,-1.000000,1.000000,0.000047,0.002697,gazebo_link_pair
0.121991,1.009949,0.979884,0.104518,1.009902,0.979877,-0.895482,-0.000047,-0.000007,-1.000000,1.000000,0.000047,0.002710,gazebo_link_pair
0.131926,1.009949,0.979884,0.104518,1.009902,0.979877,-0.895482,-0.000047,-0.000007,-1.000000,1.000000,0.000048,0.002722,gazebo_link_pair
0.131971,1.009949,0.979884,0.104518,1.009902,0.979877,-0.895482,-0.000047,-0.000007,-1.000000,1.000000,0.000048,0.002733,gazebo_link_pair
0.141871,1.009949,0.979884,0.104518,1.009902,0.979877,-0.895482,-0.000047,-0.000007,-1.000000,1.000000,0.000048,0.002744,gazebo_link_pair
0.141905,1.009949,0.979884,0.104518,1.009902,0.979877,-0.895482,-0.000048,-0.000007,-1.000000,1.000000,0.000048,0.002755,gazebo_link_pair
0.141924,1.009949,0.979884,0.104518,1.009901,0.979877,-0.895482,-0.000048,-0.000007,-1.000000,1.000000,0.000048,0.002765,gazebo_link_pair
0.151821,1.009949,0.979884,0.104518,1.009901,0.979877,-0.895482,-0.000048,-0.000007,-1.000000,1.000000,0.000048,0.002775,gazebo_link_pair
0.151855,1.009949,0.979884,0.104518,1.009901,0.979877,-0.895482,-0.000048,-0.000007,-1.000000,1.000000,0.000049,0.002784,gazebo_link_pair
0.161927,1.009949,0.979884,0.104518,1.009901,0.979877,-0.895482,-0.000048,-0.000007,-1.000000,1.000000,0.000049,0.002793,gazebo_link_pair
0.161988,1.009949,0.979884,0.104518,1.009901,0.979877,-0.895482,-0.000048,-0.000007,-1.000000,1.000000,0.000049,0.002802,gazebo_link_pair
0.162022,1.009949,0.979884,0.104518,1.009901,0.979877,-0.895482,-0.000048,-0.000007,-1.000000,1.000000,0.000049,0.002810,gazebo_link_pair
0.172043,1.009949,0.979884,0.104518,1.009900,0.979877,-0.895482,-0.000049,-0.000007,-1.000000,1.000000,0.000049,0.002817,gazebo_link_pair
0.172102,1.009949,0.979885,0.104518,1.009900,0.979877,-0.895482,-0.000049,-0.000008,-1.000000,1.000000,0.000050,0.002837,gazebo_link_pair
0.181935,1.009949,0.979885,0.104518,1.009900,0.979877,-0.895482,-0.000049,-0.000008,-1.000000,1.000000,0.000050,0.002843,gazebo_link_pair
0.181978,1.009949,0.979885,0.104518,1.009900,0.979877,-0.895482,-0.000049,-0.000008,-1.000000,1.000000,0.000050,0.002850,gazebo_link_pair
0.181999,1.009949,0.979885,0.104518,1.009900,0.979877,-0.895482,-0.000049,-0.000008,-1.000000,1.000000,0.000050,0.002856,gazebo_link_pair
0.191939,1.009949,0.979885,0.104518,1.009900,0.979877,-0.895482,-0.000049,-0.000008,-1.000000,1.000000,0.000050,0.002861,gazebo_link_pair
0.191978,1.009949,0.979885,0.104518,1.009900,0.979877,-0.895482,-0.000049,-0.000008,-1.000000,1.000000,0.000050,0.002866,gazebo_link_pair
0.201894,1.009949,0.979884,0.104518,1.009900,0.979877,-0.895482,-0.000049,-0.000008,-1.000000,1.000000,0.000050,0.002871,gazebo_link_pair
0.201958,1.009949,0.979884,0.104518,1.009900,0.979877,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000050,0.002875,gazebo_link_pair
0.201986,1.009949,0.979884,0.104518,1.009900,0.979877,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000050,0.002878,gazebo_link_pair
0.211804,1.009949,0.979884,0.104518,1.009899,0.979877,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000050,0.002882,gazebo_link_pair
0.211832,1.009949,0.979884,0.104518,1.009899,0.979877,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000050,0.002884,gazebo_link_pair
0.221816,1.009949,0.979884,0.104518,1.009899,0.979877,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000050,0.002887,gazebo_link_pair
0.221847,1.009949,0.979884,0.104518,1.009899,0.979876,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000050,0.002889,gazebo_link_pair
0.221863,1.009949,0.979884,0.104518,1.009899,0.979876,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000050,0.002890,gazebo_link_pair
0.231806,1.009949,0.979884,0.104518,1.009899,0.979876,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000050,0.002891,gazebo_link_pair
0.231833,1.009949,0.979884,0.104518,1.009899,0.979876,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000050,0.002891,gazebo_link_pair
0.241816,1.009949,0.979885,0.104518,1.009899,0.979876,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000051,0.002904,gazebo_link_pair
0.241891,1.009949,0.979885,0.104518,1.009899,0.979876,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000051,0.002903,gazebo_link_pair
0.241908,1.009949,0.979885,0.104518,1.009899,0.979876,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000051,0.002903,gazebo_link_pair
0.251945,1.009949,0.979885,0.104518,1.009899,0.979876,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000051,0.002901,gazebo_link_pair
0.251981,1.009949,0.979885,0.104518,1.009899,0.979876,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000051,0.002900,gazebo_link_pair
0.261846,1.009949,0.979885,0.104518,1.009899,0.979876,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000051,0.002897,gazebo_link_pair
0.261882,1.009949,0.979885,0.104518,1.009899,0.979876,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000051,0.002895,gazebo_link_pair
0.261901,1.009949,0.979885,0.104518,1.009899,0.979876,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000050,0.002892,gazebo_link_pair
0.271947,1.009949,0.979885,0.104518,1.009899,0.979876,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000050,0.002888,gazebo_link_pair
0.272000,1.009949,0.979885,0.104518,1.009899,0.979876,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000050,0.002884,gazebo_link_pair
0.281861,1.009949,0.979885,0.104518,1.009900,0.979876,-0.895482,-0.000050,-0.000008,-1.000000,1.000000,0.000050,0.002880,gazebo_link_pair
0.281906,1.009949,0.979884,0.104518,1.009900,0.979876,-0.895482,-0.000049,-0.000008,-1.000000,1.000000,0.000050,0.002875,gazebo_link_pair
0.281928,1.009949,0.979884,0.104518,1.009900,0.979876,-0.895482,-0.000049,-0.000008,-1.000000,1.000000,0.000050,0.002870,gazebo_link_pair
0.291830,1.009949,0.979884,0.104518,1.009900,0.979876,-0.895481,-0.000049,-0.000008,-1.000000,1.000000,0.000050,0.002864,gazebo_link_pair
0.291862,1.009949,0.979884,0.104518,1.009900,0.979876,-0.895481,-0.000049,-0.000008,-1.000000,1.000000,0.000050,0.002858,gazebo_link_pair
0.301875,1.009949,0.979884,0.104518,1.009900,0.979876,-0.895481,-0.000049,-0.000008,-1.000000,1.000000,0.000050,0.002851,gazebo_link_pair
0.301919,1.009949,0.979885,0.104519,1.009900,0.979876,-0.895481,-0.000049,-0.000009,-1.000000,1.000000,0.000050,0.002856,gazebo_link_pair
0.301943,1.009949,0.979885,0.104519,1.009900,0.979876,-0.895481,-0.000049,-0.000009,-1.000000,1.000000,0.000050,0.002849,gazebo_link_pair
