timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780920866248511,0,0.0239195,-0.00981385,3.05176e-05,0,0,-0.00149593,0.0239195,-0.00981385,0.00152645,0.0258995,0.0210921,-0.0181726,-0.00614594,0,0,-0.0371984
1780920866264511,0.016,0.0240161,-0.00998331,-3.05176e-05,0,0,-0.00233151,0.0240161,-0.00998331,0.00230099,0.02611,0.0216918,-0.018552,-0.00540305,0,0,-0.046361
1780920866288511,0.04,0.024221,-0.0102437,-0.000152588,0,0,-0.00334692,0.024221,-0.0102437,0.00319433,0.0264914,0.0231463,-0.0190946,-0.00417084,0,0,-0.0554528
1780920866304511,0.056,0.0243808,-0.0104233,-0.000213623,0,0,-0.00454445,0.0243808,-0.0104233,0.00433082,0.0268668,0.0237348,-0.0195275,-0.00415549,0,0,-0.0645067
1780920866328511,0.08,0.0246644,-0.0107102,-0.000335693,0,0,-0.00592484,0.0246644,-0.0107102,0.00558914,0.0274641,0.0234093,-0.0202784,-0.00315364,0,0,-0.0735296
1780920866344511,0.096,0.024455,-0.0107906,-0.000274658,0,0,-0.00748545,0.024455,-0.0107906,0.00721079,0.0276854,0.0238248,-0.0205177,-0.00357525,0,0,-0.082507
1780920866360511,0.112,0.0242705,-0.0108824,-0.000213623,0,0,-0.00922448,0.0242705,-0.0108824,0.00901086,0.0280834,0.0224546,-0.0214544,-0.00332112,0,0,-0.0914342
1780920866384511,0.136,0.0240387,-0.0110519,-0.000152588,0,0,-0.0111422,0.0240387,-0.0110519,0.0109896,0.0286492,0.0227627,-0.0226235,-0.00379448,0,0,-0.100317
1780920866408511,0.16,0.0238777,-0.0112565,-9.15527e-05,0,0,-0.0132386,0.0238777,-0.0112565,0.013147,0.0294906,0.0222872,-0.0228913,-0.00406562,0,0,-0.10916
1780920866424511,0.176,0.0238037,-0.0113976,-6.10352e-05,0,0,-0.0155106,0.0238037,-0.0113976,0.0154495,0.0305812,0.0226341,-0.0224494,-0.00359353,0,0,-0.117952
1780920866448511,0.2,0.0237698,-0.0116171,-3.05176e-05,0,0,-0.0179539,0.0237698,-0.0116171,0.0179234,0.0319563,0.023868,-0.02282,-0.00560609,0,0,-0.126683
1780920866464588,0.216077,0.0237865,-0.0117688,-3.05176e-05,0,0,-0.0205779,0.0237865,-0.0117688,0.0205474,0.0335633,0.0234863,-0.0226173,-0.00485023,0,0,-0.135388
1780920866488588,0.240077,0.0238244,-0.0120173,-3.05176e-05,0,0,-0.0233716,0.0238244,-0.0120173,0.0233411,0.0354518,0.0220489,-0.0235829,-0.00407519,0,0,-0.144035
1780920866504588,0.256077,0.0238707,-0.0122104,0,0,0,-0.0263489,0.0238707,-0.0122104,0.0263489,0.0375922,0.0230585,-0.0250334,-0.00279243,0,0,-0.152666
1780920866528588,0.280077,0.0240127,-0.0125361,6.10352e-05,0,0,-0.0294847,0.0240127,-0.0125361,0.0295457,0.0400838,0.0230626,-0.0263756,-0.000904014,0,0,-0.161212
1780920866544588,0.296077,0.0241322,-0.0127735,9.15527e-05,0,0,-0.0327887,0.0241322,-0.0127735,0.0328803,0.0427392,0.0233513,-0.0269059,-0.00117091,0,0,-0.169706
1780920866568588,0.320077,0.0243846,-0.0131509,0.000152588,0,0,-0.0362611,0.0243846,-0.0131509,0.0364137,0.0457549,0.0252196,-0.0264529,-0.00160886,0,0,-0.178151
