t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg,pose_source
0.017383,1.009949,0.979886,0.104522,1.009938,0.979886,-0.895478,-0.000011,0.000000,-1.000000,1.000000,0.000011,0.000623,gazebo_link_pair
0.017405,1.009949,0.979886,0.104522,1.009937,0.979886,-0.895478,-0.000011,0.000000,-1.000000,1.000000,0.000011,0.000657,gazebo_link_pair
0.017415,1.009949,0.979886,0.104522,1.009937,0.979886,-0.895478,-0.000012,-0.000000,-1.000000,1.000000,0.000012,0.000691,gazebo_link_pair
0.017424,1.009949,0.979886,0.104522,1.009936,0.979886,-0.895478,-0.000013,-0.000000,-1.000000,1.000000,0.000013,0.000725,gazebo_link_pair
0.021878,1.009949,0.979886,0.104522,1.009936,0.979886,-0.895478,-0.000013,-0.000000,-1.000000,1.000000,0.000013,0.000758,gazebo_link_pair
0.031889,1.009949,0.979887,0.104522,1.009935,0.979886,-0.895478,-0.000014,-0.000001,-1.000000,1.000000,0.000014,0.000802,gazebo_link_pair
0.031908,1.009949,0.979887,0.104522,1.009934,0.979886,-0.895478,-0.000015,-0.000001,-1.000000,1.000000,0.000015,0.000836,gazebo_link_pair
0.042019,1.009949,0.979887,0.104522,1.009934,0.979886,-0.895478,-0.000015,-0.000001,-1.000000,1.000000,0.000015,0.000869,gazebo_link_pair
0.042062,1.009949,0.979887,0.104522,1.009933,0.979886,-0.895478,-0.000016,-0.000001,-1.000000,1.000000,0.000016,0.000903,gazebo_link_pair
0.042084,1.009949,0.979886,0.104522,1.009933,0.979886,-0.895478,-0.000016,-0.000001,-1.000000,1.000000,0.000016,0.000936,gazebo_link_pair
0.052069,1.009949,0.979886,0.104522,1.009932,0.979885,-0.895478,-0.000017,-0.000001,-1.000000,1.000000,0.000017,0.000969,gazebo_link_pair
0.052142,1.009949,0.979886,0.104522,1.009931,0.979885,-0.895478,-0.000017,-0.000001,-1.000000,1.000000,0.000017,0.001002,gazebo_link_pair
0.062166,1.009949,0.979886,0.104522,1.009931,0.979885,-0.895478,-0.000018,-0.000001,-1.000000,1.000000,0.000018,0.001035,gazebo_link_pair
0.062285,1.009949,0.979886,0.104522,1.009930,0.979885,-0.895478,-0.000019,-0.000001,-1.000000,1.000000,0.000019,0.001068,gazebo_link_pair
0.062328,1.009949,0.979886,0.104522,1.009930,0.979885,-0.895478,-0.000019,-0.000001,-1.000000,1.000000,0.000019,0.001100,gazebo_link_pair
0.072151,1.009949,0.979886,0.104522,1.009929,0.979885,-0.895478,-0.000020,-0.000001,-1.000000,1.000000,0.000020,0.001133,gazebo_link_pair
0.072251,1.009949,0.979886,0.104522,1.009928,0.979885,-0.895478,-0.000020,-0.000002,-1.000000,1.000000,0.000020,0.001165,gazebo_link_pair
0.072302,1.009949,0.979886,0.104522,1.009928,0.979885,-0.895478,-0.000021,-0.000002,-1.000000,1.000000,0.000021,0.001197,gazebo_link_pair
0.082071,1.009949,0.979886,0.104522,1.009927,0.979885,-0.895478,-0.000021,-0.000002,-1.000000,1.000000,0.000021,0.001229,gazebo_link_pair
0.082119,1.009949,0.979886,0.104522,1.009927,0.979885,-0.895478,-0.000022,-0.000002,-1.000000,1.000000,0.000022,0.001261,gazebo_link_pair
0.091904,1.009949,0.979886,0.104522,1.009926,0.979884,-0.895478,-0.000022,-0.000002,-1.000000,1.000000,0.000023,0.001292,gazebo_link_pair
0.091926,1.009949,0.979887,0.104522,1.009926,0.979884,-0.895478,-0.000023,-0.000002,-1.000000,1.000000,0.000023,0.001334,gazebo_link_pair
0.101892,1.009949,0.979887,0.104522,1.009925,0.979884,-0.895478,-0.000024,-0.000002,-1.000000,1.000000,0.000024,0.001366,gazebo_link_pair
0.101921,1.009949,0.979887,0.104522,1.009925,0.979884,-0.895478,-0.000024,-0.000002,-1.000000,1.000000,0.000024,0.001397,gazebo_link_pair
0.101937,1.009949,0.979887,0.104522,1.009924,0.979884,-0.895478,-0.000025,-0.000002,-1.000000,1.000000,0.000025,0.001427,gazebo_link_pair
0.112018,1.009949,0.979887,0.104522,1.009924,0.979884,-0.895478,-0.000025,-0.000003,-1.000000,1.000000,0.000025,0.001458,gazebo_link_pair
0.112077,1.009949,0.979887,0.104522,1.009923,0.979884,-0.895478,-0.000026,-0.000003,-1.000000,1.000000,0.000026,0.001488,gazebo_link_pair
