timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1781246096793324,0,0.0105179,-0.0111402,-0.00534058,0.125159,0.12512,-5,-0.114641,-0.13626,4.99466,4.99783,0.0186864,-0.0360016,-0.0146469,1.24961,1.24843,0
1781246096817324,0.024,0.0106696,-0.0110901,-0.00567627,0.150158,0.15009,-5,-0.139488,-0.16118,4.99432,4.99887,0.0190156,-0.0374027,-0.015793,1.24944,1.24775,0
1781246096833324,0.04,0.0108102,-0.0111188,-0.00588989,0.175165,0.175057,-5,-0.164354,-0.186176,4.99411,5.00028,0.0190074,-0.0383738,-0.0158412,1.24923,1.24693,0
1781246096857324,0.064,0.0110594,-0.0112344,-0.00628662,0.200171,0.20001,-5,-0.189111,-0.211245,4.99371,5.00176,0.0205736,-0.0398523,-0.0181507,1.249,1.24599,0
1781246096873324,0.08,0.0112588,-0.011364,-0.00656128,0.225073,0.224845,-5,-0.213815,-0.236209,4.99344,5.00359,0.0207602,-0.0401934,-0.0184745,1.24873,1.24493,0
1781246096897324,0.104,0.0115782,-0.011612,-0.00695801,0.250025,0.249713,-5,-0.238447,-0.261324,4.99304,5.00556,0.0200929,-0.041333,-0.0184467,1.24844,1.24375,0
1781246096913324,0.12,0.0117842,-0.0118096,-0.00720215,0.275083,0.274667,-5,-0.263299,-0.286476,4.9928,5.00794,0.0185933,-0.0411154,-0.0177195,1.24811,1.24243,0
1781246096937324,0.144,0.0120979,-0.012156,-0.00756836,0.300031,0.29949,-5,-0.287933,-0.311646,4.99243,5.01043,0.0189735,-0.0417255,-0.0173749,1.24775,1.241,0
1781246096953324,0.16,0.0123187,-0.0124229,-0.00784302,0.325166,0.324477,-5,-0.312847,-0.3369,4.99216,5.01328,0.0184853,-0.0423793,-0.0186149,1.24735,1.23943,0
1781246096977324,0.184,0.0126557,-0.0129171,-0.00823975,0.34989,0.349033,-5,-0.337235,-0.36195,4.99176,5.01621,0.0187329,-0.0444571,-0.0200538,1.24694,1.23776,0
1781246096993324,0.2,0.0128798,-0.0133075,-0.00854492,0.374961,0.373905,-5,-0.362081,-0.387212,4.99146,5.01953,0.0179643,-0.0472701,-0.0197513,1.24648,1.23594,0
1781246097017324,0.224,0.0132146,-0.013965,-0.00897217,0.399902,0.398621,-5,-0.386688,-0.412586,4.99103,5.02296,0.0170812,-0.0475306,-0.021192,1.246,1.23401,0
1781246097033324,0.24,0.013432,-0.0144266,-0.00930786,0.424819,0.423283,-5,-0.411387,-0.437709,4.99069,5.02671,0.0162585,-0.0485794,-0.0215086,1.24548,1.23195,0
1781246097057324,0.264,0.0137643,-0.0151534,-0.00979614,0.449723,0.4479,-5,-0.435958,-0.463053,4.9902,5.03057,0.0154588,-0.0485896,-0.0210187,1.24493,1.22977,0
1781246097073324,0.28,0.0133135,-0.0149026,-0.0100403,0.474623,0.47248,-5,-0.46131,-0.487383,4.98996,5.03488,0.0152465,-0.0465313,-0.020193,1.24436,1.22747,0
1781246097097324,0.304,0.0127276,-0.0146171,-0.0104065,0.499506,0.497007,-5,-0.486778,-0.511624,4.98959,5.03932,0.0159696,-0.0474578,-0.0183988,1.24375,1.22505,0
1781246097113397,0.320073,0.0123596,-0.0144764,-0.0106506,0.524365,0.521473,-5,-0.512005,-0.53595,4.98935,5.04411,0.0141965,-0.0468744,-0.0180839,1.24311,1.2225,0
