timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1780639735389703,0,0.0159925,-0.000788253,-0.026062,0,0,-5,0.0159925,-0.000788253,4.97394,4.97396,0.00544904,-0.0395599,-0.0095613,0,0,0
1780639735413703,0.024,0.0154436,-0.000490791,-0.0259705,0,0,-5,0.0154436,-0.000490791,4.97403,4.97405,0.00511645,-0.0391738,-0.00831261,0,0,0
1780639735429703,0.04,0.0150981,-0.000339546,-0.0259094,0,0,-5,0.0150981,-0.000339546,4.97409,4.97411,0.00417934,-0.0400483,-0.00784223,0,0,0
1780639735453703,0.064,0.0146276,-0.000203851,-0.0258179,0,0,-5,0.0146276,-0.000203851,4.97418,4.9742,0.00402302,-0.039881,-0.00822737,0,0,0
1780639735469703,0.08,0.0143198,-0.000151339,-0.0257874,0,0,-5,0.0143198,-0.000151339,4.97421,4.97423,0.0026819,-0.0397424,-0.00821079,0,0,0
1780639735493703,0.104,0.0138853,-0.000121412,-0.0257874,0,0,-5,0.0138853,-0.000121412,4.97421,4.97423,0.00299953,-0.0397563,-0.00805504,0,0,0
1780639735509703,0.12,0.0136278,-0.000146964,-0.0257568,0,0,-5,0.0136278,-0.000146964,4.97424,4.97426,0.00362978,-0.0402026,-0.00834476,0,0,0
1780639735533703,0.144,0.013285,-0.000259773,-0.0257568,0,0,-5,0.013285,-0.000259773,4.97424,4.97426,0.00317291,-0.0404927,-0.008598,0,0,0
1780639735549703,0.16,0.0130687,-0.000359465,-0.0257263,0,0,-5,0.0130687,-0.000359465,4.97427,4.97429,0.00320556,-0.0392034,-0.00826166,0,0,0
1780639735573703,0.184,0.0127927,-0.000540169,-0.0256958,0,0,-5,0.0127927,-0.000540169,4.9743,4.97432,0.00370922,-0.0385382,-0.00793463,0,0,0
1780639735589703,0.2,0.0126305,-0.000684196,-0.0256653,0,0,-5,0.0126305,-0.000684196,4.97433,4.97435,0.00352509,-0.0382684,-0.00793886,0,0,0
1780639735605703,0.216,0.0124759,-0.000850751,-0.0256958,0,0,-5,0.0124759,-0.000850751,4.9743,4.97432,0.00290534,-0.0382739,-0.00842985,0,0,0
1780639735629703,0.24,0.0122438,-0.00114267,-0.0257568,0,0,-5,0.0122438,-0.00114267,4.97424,4.97426,0.00159405,-0.0377665,-0.00790945,0,0,0
1780639735653703,0.264,0.0120289,-0.0014799,-0.0258179,0,0,-5,0.0120289,-0.0014799,4.97418,4.9742,0.000632411,-0.038094,-0.00809772,0,0,0
1780639735669703,0.28,0.011897,-0.00174224,-0.0258789,0,0,-5,0.011897,-0.00174224,4.97412,4.97414,0.00178671,-0.0390837,-0.00716795,0,0,0
1780639735693703,0.304,0.0117612,-0.00221288,-0.0259399,0,0,-5,0.0117612,-0.00221288,4.97406,4.97407,0.00276974,-0.0394878,-0.0072498,0,0,0
1780639735709703,0.32,0.0117001,-0.00254219,-0.0259705,0,0,-5,0.0117001,-0.00254219,4.97403,4.97404,0.00268574,-0.0386548,-0.00856503,0,0,0
1780639735733703,0.344,0.0116498,-0.00308128,-0.0260925,0,0,-5,0.0116498,-0.00308128,4.97391,4.97392,0.00292718,-0.0404602,-0.00800704,0,0,0
1780639735749703,0.36,0.0116229,-0.00348208,-0.026123,0,0,-5,0.0116229,-0.00348208,4.97388,4.97389,0.00270556,-0.041565,-0.00887134,0,0,0
1780639735773703,0.384,0.0112808,-0.00341744,-0.0257568,0,0,-5,0.0112808,-0.00341744,4.97424,4.97426,-0.000282728,-0.0427055,-0.0084659,0,0,0
1780639735789703,0.4,0.0110483,-0.00343982,-0.0255432,0,0,-5,0.0110483,-0.00343982,4.97446,4.97447,-0.00111805,-0.0436343,-0.00851744,0,0,0
1780639735805703,0.416,0.0108165,-0.00351071,-0.0253601,0,0,-5,0.0108165,-0.00351071,4.97464,4.97465,-0.00140849,-0.0435777,-0.0088041,0,0,0
1780639735829786,0.440083,0.0104927,-0.00366362,-0.025116,0,0,-5,0.0104927,-0.00366362,4.97488,4.9749,-0.001753,-0.0436499,-0.00838963,0,0,0
1780639735853786,0.464083,0.0101955,-0.00391589,-0.0249023,0,0,-5,0.0101955,-0.00391589,4.9751,4.97511,-0.0022099,-0.044651,-0.00892989,0,0,0
1780639735869786,0.480083,0.00999966,-0.00413404,-0.0248108,0,0,-5,0.00999966,-0.00413404,4.97519,4.9752,-0.00292539,-0.0462322,-0.00991136,0,0,0
1780639735893786,0.504083,0.00972215,-0.00448952,-0.0246582,0,0,-5,0.00972215,-0.00448952,4.97534,4.97535,-0.00235949,-0.0450457,-0.00930432,0,0,0
1780639735909786,0.520083,0.00955433,-0.00475072,-0.0245972,0,0,-5,0.00955433,-0.00475072,4.9754,4.97541,-0.00278015,-0.0449261,-0.0104511,0,0,0
1780639735925786,0.536083,0.00938847,-0.00502786,-0.0245361,0,0,-5,0.00938847,-0.00502786,4.97546,4.97548,-0.0030467,-0.043865,-0.00993217,0,0,0
1780639735949786,0.560083,0.00916081,-0.00547377,-0.0244141,0,0,-5,0.00916081,-0.00547377,4.97559,4.9756,-0.00314367,-0.0442375,-0.0102271,0,0,0
1780639735973786,0.584083,0.00895187,-0.00598625,-0.0242615,0,0,-5,0.00895187,-0.00598625,4.97574,4.97575,-0.00299126,-0.0446153,-0.00925538,0,0,0
1780639735989786,0.600083,0.00883755,-0.00635897,-0.0242004,0,0,-5,0.00883755,-0.00635897,4.9758,4.97581,-0.00155492,-0.0450448,-0.0105899,0,0,0
1780639736005786,0.616083,0.00873433,-0.00676021,-0.0241699,0,0,-5,0.00873433,-0.00676021,4.97583,4.97584,-0.0021088,-0.0456125,-0.0113218,0,0,0
1780639736029786,0.640083,0.00858465,-0.00739931,-0.0241699,0,0,-5,0.00858465,-0.00739931,4.97583,4.97584,-0.00184717,-0.0460555,-0.010708,0,0,0
1780639736053786,0.664083,0.00846522,-0.00808906,-0.0241699,0,0,-5,0.00846522,-0.00808906,4.97583,4.97584,-0.00130117,-0.0456717,-0.0122519,0,0,0
1780639736069786,0.680083,0.00840963,-0.00856155,-0.0242004,0,0,-5,0.00840963,-0.00856155,4.9758,4.97581,-0.00179151,-0.0457113,-0.0113493,0,0,0
1780639736093786,0.704083,0.00833019,-0.00932381,-0.0242615,0,0,-5,0.00833019,-0.00932381,4.97574,4.97575,0.000116757,-0.0461694,-0.0113368,0,0,0
1780639736109786,0.720083,0.00829472,-0.00985568,-0.0243225,0,0,-5,0.00829472,-0.00985568,4.97568,4.97569,-0.000980185,-0.0458848,-0.0121361,0,0,0
1780639736133786,0.744083,0.00822816,-0.010672,-0.0244446,0,0,-5,0.00822816,-0.010672,4.97556,4.97557,-0.00184112,-0.0463749,-0.0125921,0,0,0
1780639736149786,0.760083,0.00817794,-0.0112364,-0.0245361,0,0,-5,0.00817794,-0.0112364,4.97546,4.97548,-0.0023989,-0.0470819,-0.0131637,0,0,0
