t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg,pose_source
0.027005,1.009951,0.979956,0.104159,1.009901,0.979946,-0.895841,-0.000050,-0.000010,-1.000000,1.000000,0.000051,0.002907,gazebo_link_pair
0.027028,1.009951,0.979956,0.104159,1.009901,0.979946,-0.895841,-0.000050,-0.000010,-1.000000,1.000000,0.000051,0.002908,gazebo_link_pair
0.027070,1.009951,0.979956,0.104159,1.009901,0.979946,-0.895841,-0.000050,-0.000010,-1.000000,1.000000,0.000051,0.002908,gazebo_link_pair
0.027082,1.009951,0.979956,0.104159,1.009901,0.979946,-0.895841,-0.000050,-0.000010,-1.000000,1.000000,0.000051,0.002908,gazebo_link_pair
0.033194,1.009951,0.979956,0.104159,1.009901,0.979946,-0.895841,-0.000050,-0.000010,-1.000000,1.000000,0.000051,0.002908,gazebo_link_pair
0.033217,1.009951,0.979956,0.104159,1.009901,0.979946,-0.895841,-0.000050,-0.000010,-1.000000,1.000000,0.000051,0.002907,gazebo_link_pair
0.043159,1.009951,0.979956,0.104159,1.009901,0.979946,-0.895841,-0.000050,-0.000010,-1.000000,1.000000,0.000051,0.002906,gazebo_link_pair
0.043184,1.009951,0.979956,0.104159,1.009901,0.979946,-0.895841,-0.000050,-0.000010,-1.000000,1.000000,0.000051,0.002904,gazebo_link_pair
0.053262,1.009951,0.979956,0.104159,1.009901,0.979946,-0.895841,-0.000050,-0.000010,-1.000000,1.000000,0.000051,0.002902,gazebo_link_pair
0.053298,1.009951,0.979956,0.104159,1.009901,0.979946,-0.895840,-0.000050,-0.000010,-1.000000,1.000000,0.000051,0.002899,gazebo_link_pair
0.053315,1.009951,0.979956,0.104160,1.009901,0.979946,-0.895840,-0.000050,-0.000010,-1.000000,1.000000,0.000051,0.002896,gazebo_link_pair
0.063281,1.009951,0.979956,0.104160,1.009901,0.979946,-0.895840,-0.000050,-0.000010,-1.000000,1.000000,0.000050,0.002893,gazebo_link_pair
0.063320,1.009951,0.979956,0.104160,1.009901,0.979946,-0.895840,-0.000050,-0.000010,-1.000000,1.000000,0.000050,0.002889,gazebo_link_pair
0.073376,1.009951,0.979956,0.104160,1.009901,0.979946,-0.895840,-0.000049,-0.000010,-1.000000,1.000000,0.000050,0.002884,gazebo_link_pair
0.073420,1.009951,0.979955,0.104160,1.009901,0.979946,-0.895840,-0.000049,-0.000010,-1.000000,1.000000,0.000050,0.002879,gazebo_link_pair
0.073442,1.009951,0.979955,0.104160,1.009902,0.979946,-0.895840,-0.000049,-0.000010,-1.000000,1.000000,0.000050,0.002874,gazebo_link_pair
0.083297,1.009951,0.979955,0.104160,1.009902,0.979946,-0.895840,-0.000049,-0.000010,-1.000000,1.000000,0.000050,0.002868,gazebo_link_pair
0.083339,1.009951,0.979955,0.104160,1.009902,0.979946,-0.895840,-0.000049,-0.000010,-1.000000,1.000000,0.000050,0.002862,gazebo_link_pair
0.093253,1.009951,0.979955,0.104160,1.009902,0.979946,-0.895840,-0.000049,-0.000010,-1.000000,1.000000,0.000050,0.002856,gazebo_link_pair
0.093301,1.009951,0.979955,0.104160,1.009902,0.979946,-0.895840,-0.000049,-0.000009,-1.000000,1.000000,0.000050,0.002848,gazebo_link_pair
0.093325,1.009951,0.979955,0.104160,1.009902,0.979946,-0.895840,-0.000049,-0.000009,-1.000000,1.000000,0.000050,0.002841,gazebo_link_pair
0.103349,1.009951,0.979955,0.104160,1.009902,0.979946,-0.895840,-0.000049,-0.000009,-1.000000,1.000000,0.000049,0.002833,gazebo_link_pair
0.103708,1.009951,0.979955,0.104160,1.009902,0.979946,-0.895840,-0.000048,-0.000009,-1.000000,1.000000,0.000049,0.002825,gazebo_link_pair
0.103752,1.009951,0.979955,0.104160,1.009903,0.979946,-0.895840,-0.000048,-0.000009,-1.000000,1.000000,0.000049,0.002816,gazebo_link_pair
0.113345,1.009951,0.979955,0.104160,1.009903,0.979946,-0.895839,-0.000048,-0.000009,-1.000000,1.000000,0.000049,0.002806,gazebo_link_pair
0.113380,1.009951,0.979955,0.104161,1.009903,0.979946,-0.895839,-0.000048,-0.000009,-1.000000,1.000000,0.000049,0.002797,gazebo_link_pair
0.123246,1.009951,0.979955,0.104161,1.009903,0.979946,-0.895839,-0.000048,-0.000009,-1.000000,1.000000,0.000049,0.002787,gazebo_link_pair
0.123284,1.009951,0.979955,0.104161,1.009903,0.979946,-0.895839,-0.000048,-0.000009,-1.000000,1.000000,0.000048,0.002776,gazebo_link_pair
0.123303,1.009951,0.979955,0.104161,1.009903,0.979946,-0.895839,-0.000047,-0.000009,-1.000000,1.000000,0.000048,0.002765,gazebo_link_pair
