timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1785647715142848,0,-0.0262819,0.00916985,0.0645187,0,0,-5,-0.0262819,0.00916985,5.06452,5.0646,-0.0505013,0.00576494,0.00871207,0,0,0
1785647715150848,0.008,-0.0261413,0.00900641,0.064526,0,0,-5,-0.0261413,0.00900641,5.06453,5.0646,-0.0502502,0.00586026,0.00916317,0,0,0
1785647715158848,0.016,-0.0260129,0.00884684,0.0645355,0,0,-5,-0.0260129,0.00884684,5.06454,5.06461,-0.0503215,0.00568155,0.00891535,0,0,0
1785647715166848,0.024,-0.0258964,0.00869124,0.0645453,0,0,-5,-0.0258964,0.00869124,5.06455,5.06462,-0.0499705,0.00574632,0.0088372,0,0,0
1785647715174848,0.032,-0.0257902,0.00853935,0.0645575,0,0,-5,-0.0257902,0.00853935,5.06456,5.06463,-0.0497964,0.00553987,0.0091254,0,0,0
1785647715182848,0.04,-0.0256936,0.00839292,0.0645663,0,0,-5,-0.0256936,0.00839292,5.06457,5.06464,-0.0493351,0.00600361,0.00912444,0,0,0
1785647715190848,0.048,-0.0256067,0.00825235,0.0645781,0,0,-5,-0.0256067,0.00825235,5.06458,5.06465,-0.049465,0.00592531,0.00948351,0,0,0
1785647715198848,0.056,-0.0255347,0.00811532,0.0645939,0,0,-5,-0.0255347,0.00811532,5.06459,5.06466,-0.0498795,0.00604523,0.00962363,0,0,0
1785647715206848,0.064,-0.0254744,0.00798389,0.0646122,0,0,-5,-0.0254744,0.00798389,5.06461,5.06468,-0.0496958,0.00603638,0.00972658,0,0,0
1785647715214848,0.072,-0.0254233,0.00785492,0.0646304,0,0,-5,-0.0254233,0.00785492,5.06463,5.0647,-0.049321,0.00590615,0.00917403,0,0,0
1785647715222848,0.08,-0.0253803,0.00773042,0.0646453,0,0,-5,-0.0253803,0.00773042,5.06465,5.06471,-0.0492118,0.00614054,0.00864084,0,0,0
1785647715230848,0.088,-0.0253503,0.00761255,0.0646595,0,0,-5,-0.0253503,0.00761255,5.06466,5.06473,-0.0496229,0.00653588,0.00864623,0,0,0
1785647715238848,0.096,-0.0253315,0.00749987,0.06471,0,0,-5,-0.0253315,0.00749987,5.06471,5.06478,-0.0494516,0.00650295,0.00878872,0,0,0
1785647715246848,0.104,-0.0253205,0.00738992,0.0647618,0,0,-5,-0.0253205,0.00738992,5.06476,5.06483,-0.0491255,0.00629974,0.00903565,0,0,0
1785647715254848,0.112,-0.0253194,0.00728064,0.0648161,0,0,-5,-0.0253194,0.00728064,5.06482,5.06488,-0.0493277,0.00578955,0.00911158,0,0,0
1785647715262848,0.12,-0.0253291,0.00717181,0.0648704,0,0,-5,-0.0253291,0.00717181,5.06487,5.06494,-0.0492986,0.00563571,0.00902126,0,0,0
1785647715270848,0.128,-0.0253489,0.007066,0.0649265,0,0,-5,-0.0253489,0.007066,5.06493,5.06499,-0.049572,0.00548416,0.00937296,0,0,0
1785647715278848,0.136,-0.0253817,0.00696082,0.0649843,0,0,-5,-0.0253817,0.00696082,5.06498,5.06505,-0.0500917,0.00509673,0.00932896,0,0,0
1785647715286848,0.144,-0.0254276,0.00685721,0.0650432,0,0,-5,-0.0254276,0.00685721,5.06504,5.06511,-0.0503628,0.00509924,0.00956505,0,0,0
1785647715294848,0.152,-0.0254825,0.00675852,0.0651053,0,0,-5,-0.0254825,0.00675852,5.06511,5.06517,-0.0503068,0.00537749,0.00994578,0,0,0
1785647715302848,0.16,-0.0255483,0.00666471,0.0651725,0,0,-5,-0.0255483,0.00666471,5.06517,5.06524,-0.0507124,0.00550573,0.00994018,0,0,0
1785647715310848,0.168,-0.025626,0.0065737,0.0652408,0,0,-5,-0.025626,0.0065737,5.06524,5.06531,-0.0512011,0.00529255,0.0100176,0,0,0
1785647715318848,0.176,-0.0257159,0.00648453,0.0653077,0,0,-5,-0.0257159,0.00648453,5.06531,5.06538,-0.051508,0.00517292,0.00959215,0,0,0
1785647715326848,0.184,-0.0258167,0.00639751,0.0653732,0,0,-5,-0.0258167,0.00639751,5.06537,5.06544,-0.0518066,0.00513683,0.00952338,0,0,0
