t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg,pose_source
0.021707,1.009949,0.979884,0.104517,1.009959,0.979887,-0.895483,0.000010,0.000003,-1.000000,1.000000,0.000010,0.000578,gazebo_link_pair
0.021730,1.009949,0.979884,0.104517,1.009958,0.979887,-0.895483,0.000009,0.000003,-1.000000,1.000000,0.000010,0.000545,gazebo_link_pair
0.021740,1.009949,0.979884,0.104517,1.009958,0.979887,-0.895483,0.000008,0.000003,-1.000000,1.000000,0.000009,0.000511,gazebo_link_pair
0.021748,1.009949,0.979884,0.104517,1.009957,0.979887,-0.895483,0.000008,0.000003,-1.000000,1.000000,0.000008,0.000477,gazebo_link_pair
0.021755,1.009949,0.979884,0.104517,1.009956,0.979887,-0.895483,0.000007,0.000003,-1.000000,1.000000,0.000008,0.000444,gazebo_link_pair
0.031982,1.009949,0.979884,0.104517,1.009956,0.979887,-0.895483,0.000007,0.000003,-1.000000,1.000000,0.000007,0.000411,gazebo_link_pair
0.032013,1.009949,0.979884,0.104517,1.009955,0.979887,-0.895483,0.000006,0.000003,-1.000000,1.000000,0.000007,0.000377,gazebo_link_pair
0.032054,1.009949,0.979884,0.104517,1.009955,0.979887,-0.895483,0.000005,0.000003,-1.000000,1.000000,0.000006,0.000344,gazebo_link_pair
0.041990,1.009949,0.979884,0.104517,1.009954,0.979887,-0.895483,0.000005,0.000003,-1.000000,1.000000,0.000005,0.000312,gazebo_link_pair
0.042014,1.009949,0.979884,0.104517,1.009953,0.979886,-0.895483,0.000004,0.000003,-1.000000,1.000000,0.000005,0.000280,gazebo_link_pair
0.052040,1.009949,0.979884,0.104517,1.009953,0.979886,-0.895483,0.000004,0.000003,-1.000000,1.000000,0.000004,0.000248,gazebo_link_pair
0.052058,1.009949,0.979884,0.104517,1.009952,0.979886,-0.895483,0.000003,0.000002,-1.000000,1.000000,0.000004,0.000218,gazebo_link_pair
0.052067,1.009949,0.979884,0.104517,1.009951,0.979886,-0.895483,0.000002,0.000002,-1.000000,1.000000,0.000003,0.000190,gazebo_link_pair
