t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg,pose_source
0.019878,1.009949,0.979884,0.104516,1.009991,0.979891,-0.895484,0.000041,0.000008,-1.000000,1.000000,0.000042,0.002408,gazebo_link_pair
0.019899,1.009949,0.979884,0.104516,1.009990,0.979891,-0.895484,0.000041,0.000008,-1.000000,1.000000,0.000042,0.002389,gazebo_link_pair
0.019909,1.009949,0.979884,0.104516,1.009990,0.979891,-0.895484,0.000041,0.000008,-1.000000,1.000000,0.000041,0.002370,gazebo_link_pair
0.019917,1.009949,0.979884,0.104516,1.009990,0.979891,-0.895484,0.000040,0.000008,-1.000000,1.000000,0.000041,0.002351,gazebo_link_pair
0.019925,1.009949,0.979884,0.104516,1.009989,0.979891,-0.895484,0.000040,0.000007,-1.000000,1.000000,0.000041,0.002331,gazebo_link_pair
0.031894,1.009949,0.979884,0.104516,1.009989,0.979891,-0.895484,0.000040,0.000007,-1.000000,1.000000,0.000040,0.002311,gazebo_link_pair
0.031915,1.009949,0.979884,0.104516,1.009989,0.979891,-0.895484,0.000039,0.000007,-1.000000,1.000000,0.000040,0.002291,gazebo_link_pair
0.031925,1.009949,0.979884,0.104516,1.009988,0.979891,-0.895484,0.000039,0.000007,-1.000000,1.000000,0.000040,0.002270,gazebo_link_pair
0.041901,1.009949,0.979884,0.104516,1.009988,0.979891,-0.895484,0.000039,0.000007,-1.000000,1.000000,0.000039,0.002249,gazebo_link_pair
0.041923,1.009949,0.979884,0.104516,1.009987,0.979891,-0.895483,0.000038,0.000007,-1.000000,1.000000,0.000039,0.002228,gazebo_link_pair
0.051920,1.009949,0.979883,0.104516,1.009987,0.979891,-0.895483,0.000038,0.000007,-1.000000,1.000000,0.000039,0.002206,gazebo_link_pair
0.051938,1.009949,0.979883,0.104516,1.009987,0.979891,-0.895483,0.000037,0.000007,-1.000000,1.000000,0.000038,0.002184,gazebo_link_pair
0.051947,1.009949,0.979883,0.104516,1.009986,0.979891,-0.895483,0.000037,0.000007,-1.000000,1.000000,0.000038,0.002161,gazebo_link_pair
0.061852,1.009949,0.979884,0.104517,1.009986,0.979891,-0.895483,0.000036,0.000007,-1.000000,1.000000,0.000037,0.002126,gazebo_link_pair
0.061869,1.009949,0.979884,0.104517,1.009985,0.979891,-0.895483,0.000036,0.000007,-1.000000,1.000000,0.000037,0.002103,gazebo_link_pair
0.071853,1.009949,0.979884,0.104517,1.009985,0.979891,-0.895483,0.000036,0.000007,-1.000000,1.000000,0.000036,0.002079,gazebo_link_pair
0.071867,1.009949,0.979884,0.104517,1.009985,0.979891,-0.895483,0.000035,0.000007,-1.000000,1.000000,0.000036,0.002055,gazebo_link_pair
0.071876,1.009949,0.979884,0.104517,1.009984,0.979891,-0.895483,0.000035,0.000007,-1.000000,1.000000,0.000035,0.002031,gazebo_link_pair
0.081909,1.009949,0.979884,0.104517,1.009984,0.979890,-0.895483,0.000034,0.000007,-1.000000,1.000000,0.000035,0.002007,gazebo_link_pair
0.081925,1.009949,0.979884,0.104517,1.009983,0.979890,-0.895483,0.000034,0.000007,-1.000000,1.000000,0.000035,0.001982,gazebo_link_pair
0.091940,1.009949,0.979884,0.104517,1.009983,0.979890,-0.895483,0.000033,0.000007,-1.000000,1.000000,0.000034,0.001957,gazebo_link_pair
0.091957,1.009949,0.979884,0.104517,1.009982,0.979890,-0.895483,0.000033,0.000007,-1.000000,1.000000,0.000034,0.001932,gazebo_link_pair
0.091966,1.009949,0.979884,0.104517,1.009982,0.979890,-0.895483,0.000033,0.000007,-1.000000,1.000000,0.000033,0.001906,gazebo_link_pair
0.101909,1.009949,0.979884,0.104517,1.009981,0.979890,-0.895483,0.000032,0.000007,-1.000000,1.000000,0.000033,0.001880,gazebo_link_pair
0.101926,1.009949,0.979884,0.104517,1.009981,0.979890,-0.895483,0.000032,0.000007,-1.000000,1.000000,0.000032,0.001854,gazebo_link_pair
0.111923,1.009949,0.979884,0.104517,1.009980,0.979890,-0.895483,0.000031,0.000007,-1.000000,1.000000,0.000032,0.001827,gazebo_link_pair
0.111939,1.009949,0.979884,0.104517,1.009980,0.979890,-0.895483,0.000031,0.000007,-1.000000,1.000000,0.000031,0.001800,gazebo_link_pair
0.111948,1.009949,0.979884,0.104517,1.009979,0.979890,-0.895483,0.000030,0.000006,-1.000000,1.000000,0.000031,0.001773,gazebo_link_pair
0.121931,1.009949,0.979884,0.104517,1.009979,0.979890,-0.895483,0.000030,0.000006,-1.000000,1.000000,0.000030,0.001746,gazebo_link_pair
0.121950,1.009949,0.979884,0.104517,1.009979,0.979890,-0.895483,0.000029,0.000006,-1.000000,1.000000,0.000030,0.001705,gazebo_link_pair
0.131946,1.009949,0.979884,0.104517,1.009978,0.979890,-0.895483,0.000029,0.000006,-1.000000,1.000000,0.000029,0.001677,gazebo_link_pair
0.131966,1.009949,0.979884,0.104517,1.009978,0.979890,-0.895483,0.000028,0.000006,-1.000000,1.000000,0.000029,0.001649,gazebo_link_pair
0.131976,1.009949,0.979884,0.104517,1.009977,0.979890,-0.895483,0.000028,0.000006,-1.000000,1.000000,0.000028,0.001620,gazebo_link_pair
0.141950,1.009949,0.979884,0.104517,1.009976,0.979890,-0.895483,0.000027,0.000006,-1.000000,1.000000,0.000028,0.001592,gazebo_link_pair
0.141971,1.009949,0.979884,0.104517,1.009976,0.979890,-0.895483,0.000027,0.000006,-1.000000,1.000000,0.000027,0.001563,gazebo_link_pair
0.151920,1.009949,0.979884,0.104517,1.009975,0.979890,-0.895483,0.000026,0.000006,-1.000000,1.000000,0.000027,0.001534,gazebo_link_pair
0.151949,1.009949,0.979884,0.104517,1.009975,0.979889,-0.895483,0.000026,0.000006,-1.000000,1.000000,0.000026,0.001504,gazebo_link_pair
0.151968,1.009949,0.979884,0.104517,1.009974,0.979889,-0.895483,0.000025,0.000006,-1.000000,1.000000,0.000026,0.001474,gazebo_link_pair
