timestamp_us,t_s,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,error_x,error_y,error_z,error_norm,actual_vx,actual_vy,actual_vz,reference_vx,reference_vy,reference_vz
1781252196819394,0,0.040666,0.0100118,0.00878906,0,0,-0.00232903,0.040666,0.0100118,0.0111181,0.043331,0.0287714,-0.00336914,0.00138238,0,0,-0.0463366
1781252196835394,0.016,0.0404712,0.00981994,0.00881958,0,0,-0.00334853,0.0404712,0.00981994,0.0121681,0.0433867,0.0288929,-0.00311824,0.00147189,0,0,-0.055466
1781252196859394,0.04,0.0402396,0.00955586,0.00881958,0,0,-0.00454454,0.0402396,0.00955586,0.0133641,0.0434642,0.0281415,-0.00387575,0.00156269,0,0,-0.0645073
1781252196875394,0.056,0.0401254,0.00937509,0.0088501,0,0,-0.00592501,0.0401254,0.00937509,0.0147751,0.0437749,0.0289892,-0.00345271,0.00227567,0,0,-0.0735307
1781252196891394,0.072,0.0400612,0.00921621,0.00888062,0,0,-0.0074834,0.0400612,0.00921621,0.016364,0.044245,0.0299807,-0.00302639,0.00174818,0,0,-0.0824958
1781252196915394,0.096,0.04002,0.00898644,0.0088501,0,0,-0.00922234,0.04002,0.00898644,0.0180724,0.0448215,0.0291929,-0.00516035,0.000852833,0,0,-0.0914237
1781252196939394,0.12,0.0400242,0.00873748,0.00881958,0,0,-0.0111393,0.0400242,0.00873748,0.0199589,0.0455701,0.0286028,-0.00619995,0.000511023,0,0,-0.100305
1781252196955394,0.136,0.0400691,0.0085507,0.00881958,0,0,-0.0132353,0.0400691,0.0085507,0.0220549,0.0465303,0.0303394,-0.00868778,2.84716e-05,0,0,-0.109146
1781252196979394,0.16,0.040192,0.00825031,0.00878906,0,0,-0.0155061,0.040192,0.00825031,0.0242952,0.0476836,0.0296853,-0.00914511,0.00128084,0,0,-0.117935
1781252196995394,0.176,0.0403013,0.00807134,0.00875854,0,0,-0.0179499,0.0403013,0.00807134,0.0267084,0.0490172,0.0296808,-0.00752929,0.000752069,0,0,-0.126669
1781252197019394,0.2,0.0404902,0.00783349,0.00869751,0,0,-0.0205696,0.0404902,0.00783349,0.0292671,0.0505706,0.0295495,-0.00751038,-0.000688579,0,0,-0.135362
1781252197035394,0.216,0.0406483,0.00767556,0.00863647,0,0,-0.023363,0.0406483,0.00767556,0.0319995,0.0522988,0.0304539,-0.00763342,-0.000370588,0,0,-0.144009
1781252197059394,0.24,0.040928,0.00743464,0.00860596,0,0,-0.0263292,0.040928,0.00743464,0.0349351,0.0543216,0.0311884,-0.00802023,2.1483e-05,0,0,-0.15261
1781252197075394,0.256,0.0411528,0.00727272,0.00857544,0,0,-0.0294662,0.0411528,0.00727272,0.0380416,0.0565121,0.0320952,-0.00899467,-0.000663387,0,0,-0.161163
1781252197091394,0.272,0.0413804,0.00710107,0.00854492,0,0,-0.0327741,0.0413804,0.00710107,0.041319,0.0589069,0.0306194,-0.00947093,-0.00033764,0,0,-0.169669
1781252197115394,0.296,0.0409346,0.00687845,0.00848389,0,0,-0.0362526,0.0409346,0.00687845,0.0447364,0.0610271,0.0314481,-0.0103553,0.000568271,0,0,-0.178131
1781252197131394,0.312,0.0404323,0.00673348,0.00842285,0,0,-0.0398976,0.0404323,0.00673348,0.0483204,0.0633638,0.0310593,-0.0101059,-0.000135601,0,0,-0.186541
1781252197155394,0.336,0.0397648,0.0065332,0.0083313,0,0,-0.0437119,0.0397648,0.0065332,0.0520432,0.0658211,0.0303554,-0.0102649,-0.00181751,0,0,-0.194908
1781252197171394,0.352,0.0393734,0.0063882,0.00823975,0,0,-0.0476931,0.0393734,0.0063882,0.0559329,0.068699,0.0301075,-0.0114548,-0.00352835,0,0,-0.203228
1781252197195394,0.376,0.0388779,0.00614917,0.00814819,0,0,-0.0518392,0.0388779,0.00614917,0.0599874,0.0717481,0.0305242,-0.012567,-0.00310374,0,0,-0.211499
