t_s,uav_x_m,uav_y_m,uav_z_gazebo_m,payload_x_m,payload_y_m,payload_z_m,cable_dx_m,cable_dy_m,cable_dz_m,cable_length_m,lateral_swing_m,cable_angle_deg,pose_source
0.023425,1.009951,0.979939,0.104231,1.009918,0.979932,-0.895769,-0.000033,-0.000007,-1.000000,1.000000,0.000034,0.001929,gazebo_link_pair
0.023451,1.009951,0.979939,0.104231,1.009918,0.979932,-0.895769,-0.000032,-0.000007,-1.000000,1.000000,0.000033,0.001901,gazebo_link_pair
0.023463,1.009951,0.979939,0.104231,1.009919,0.979932,-0.895769,-0.000032,-0.000007,-1.000000,1.000000,0.000033,0.001874,gazebo_link_pair
0.023477,1.009951,0.979939,0.104231,1.009919,0.979932,-0.895769,-0.000032,-0.000007,-1.000000,1.000000,0.000032,0.001846,gazebo_link_pair
0.023486,1.009951,0.979939,0.104231,1.009920,0.979932,-0.895769,-0.000031,-0.000007,-1.000000,1.000000,0.000032,0.001818,gazebo_link_pair
0.032772,1.009951,0.979939,0.104231,1.009920,0.979932,-0.895769,-0.000031,-0.000007,-1.000000,1.000000,0.000031,0.001790,gazebo_link_pair
0.032809,1.009951,0.979939,0.104231,1.009921,0.979932,-0.895769,-0.000030,-0.000006,-1.000000,1.000000,0.000031,0.001761,gazebo_link_pair
0.032827,1.009951,0.979939,0.104231,1.009921,0.979932,-0.895769,-0.000030,-0.000006,-1.000000,1.000000,0.000030,0.001732,gazebo_link_pair
0.042908,1.009951,0.979939,0.104231,1.009922,0.979932,-0.895769,-0.000029,-0.000006,-1.000000,1.000000,0.000030,0.001703,gazebo_link_pair
0.042971,1.009951,0.979939,0.104231,1.009922,0.979932,-0.895769,-0.000029,-0.000006,-1.000000,1.000000,0.000029,0.001674,gazebo_link_pair
0.052970,1.009951,0.979939,0.104231,1.009923,0.979932,-0.895769,-0.000028,-0.000006,-1.000000,1.000000,0.000029,0.001644,gazebo_link_pair
0.053051,1.009951,0.979939,0.104231,1.009923,0.979933,-0.895769,-0.000028,-0.000006,-1.000000,1.000000,0.000028,0.001614,gazebo_link_pair
0.053097,1.009951,0.979939,0.104232,1.009924,0.979933,-0.895768,-0.000027,-0.000006,-1.000000,1.000000,0.000028,0.001584,gazebo_link_pair
0.062968,1.009951,0.979939,0.104232,1.009924,0.979933,-0.895768,-0.000026,-0.000006,-1.000000,1.000000,0.000027,0.001553,gazebo_link_pair
0.063019,1.009951,0.979939,0.104232,1.009925,0.979933,-0.895768,-0.000026,-0.000006,-1.000000,1.000000,0.000027,0.001523,gazebo_link_pair
0.072715,1.009951,0.979939,0.104232,1.009925,0.979933,-0.895768,-0.000025,-0.000006,-1.000000,1.000000,0.000026,0.001492,gazebo_link_pair
0.072763,1.009951,0.979938,0.104232,1.009926,0.979933,-0.895768,-0.000025,-0.000006,-1.000000,1.000000,0.000025,0.001461,gazebo_link_pair
0.072788,1.009951,0.979938,0.104232,1.009926,0.979933,-0.895768,-0.000024,-0.000005,-1.000000,1.000000,0.000025,0.001429,gazebo_link_pair
0.082726,1.009951,0.979938,0.104232,1.009927,0.979933,-0.895768,-0.000024,-0.000005,-1.000000,1.000000,0.000024,0.001398,gazebo_link_pair
0.082752,1.009951,0.979938,0.104232,1.009928,0.979933,-0.895768,-0.000023,-0.000005,-1.000000,1.000000,0.000024,0.001366,gazebo_link_pair
0.092789,1.009951,0.979938,0.104232,1.009928,0.979933,-0.895768,-0.000023,-0.000005,-1.000000,1.000000,0.000023,0.001334,gazebo_link_pair
0.092833,1.009951,0.979938,0.104232,1.009929,0.979933,-0.895768,-0.000022,-0.000005,-1.000000,1.000000,0.000023,0.001302,gazebo_link_pair
0.092867,1.009951,0.979938,0.104232,1.009929,0.979933,-0.895768,-0.000022,-0.000005,-1.000000,1.000000,0.000022,0.001270,gazebo_link_pair
0.102842,1.009951,0.979938,0.104232,1.009930,0.979934,-0.895768,-0.000021,-0.000005,-1.000000,1.000000,0.000022,0.001237,gazebo_link_pair
0.102908,1.009951,0.979938,0.104232,1.009930,0.979934,-0.895768,-0.000020,-0.000005,-1.000000,1.000000,0.000021,0.001204,gazebo_link_pair
0.112791,1.009951,0.979938,0.104232,1.009931,0.979934,-0.895768,-0.000020,-0.000005,-1.000000,1.000000,0.000020,0.001171,gazebo_link_pair
0.112839,1.009951,0.979938,0.104232,1.009931,0.979934,-0.895768,-0.000019,-0.000005,-1.000000,1.000000,0.000020,0.001138,gazebo_link_pair
